Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
L. Villalba,Cruzeiro,ZAGUEIRO,ARG1,1.79,0.91,8.76,94.0,81.0,100.0
N. Breitenbruch,Atlético Tucumán,ZAGUEIRO,ARG1,0.03,0.87,-0.37,55.0,78.0,49.0
N. Capraro,Barracas Central,ZAGUEIRO,ARG1,2.36,2.78,0.15,97.0,99.0,58.0
N. Paz,Unión Santa Fe,ZAGUEIRO,ARG1,-1.74,-0.88,-0.79,9.0,26.0,39.0
E. Parnisari,Unión La Calera,ZAGUEIRO,ARG1,0.3,0.18,-0.73,62.0,55.0,43.0
B. Bianchi,Independiente Rivadavia,ZAGUEIRO,ARG1,-1.47,-0.46,0.05,12.0,34.0,57.0
F. Pereyra,Huracán,ZAGUEIRO,ARG1,0.33,0.85,-1.62,65.0,75.0,9.0
G. Canto,Gimnasia La Plata,ZAGUEIRO,ARG1,-0.43,0.95,0.2,32.0,84.0,61.0
J. Pombo,Independiente del Valle,ZAGUEIRO,ARG1,-0.38,0.64,-1.17,36.0,66.0,29.0
F. Mallo,Rosario Central,ZAGUEIRO,ARG1,-0.12,1.07,-1.38,48.0,87.0,19.0
J. Báez,Cerro Porteño,ZAGUEIRO,ARG1,-0.42,-1.83,1.74,34.0,10.0,90.0
V. Gómez,Vélez Sarsfield,ZAGUEIRO,ARG1,-0.14,-1.53,-0.77,47.0,14.0,40.0
L. Giannetti,Udinese,ZAGUEIRO,ARG1,-0.49,0.68,-1.26,31.0,69.0,25.0
C. Quintana,Rosario Central,ZAGUEIRO,ARG1,0.37,1.18,-1.76,66.0,91.0,5.0
C. Lema,Boca Juniors,ZAGUEIRO,ARG1,1.69,-0.26,1.82,91.0,39.0,91.0
F. Alarcón,Instituto,ZAGUEIRO,ARG1,0.6,1.43,-0.7,75.0,92.0,44.0
A. Quirós,Banfield,ZAGUEIRO,ARG1,-1.51,-2.52,-1.72,10.0,3.0,6.0
F. Garcés,Colón,ZAGUEIRO,ARG1,-0.06,0.54,-0.85,49.0,61.0,38.0
F. Álvarez,Argentinos Juniors,ZAGUEIRO,ARG1,-0.99,0.03,-1.53,19.0,49.0,13.0
G. Velázquez,Newell's Old Boys,ZAGUEIRO,ARG1,0.04,-0.17,0.41,56.0,42.0,65.0
J. Insaurralde,Sarmiento,ZAGUEIRO,ARG1,-1.2,-1.94,-0.88,13.0,8.0,36.0
A. Maciel,Banfield,ZAGUEIRO,ARG1,0.09,-0.7,-1.35,58.0,29.0,21.0
N. Romero,Atlético Tucumán,ZAGUEIRO,ARG1,-0.68,-0.63,-0.26,25.0,31.0,56.0
A. Luciatti,Lanús,ZAGUEIRO,ARG1,-0.05,-1.03,-1.5,51.0,22.0,14.0
A. Rébola,Belgrano,ZAGUEIRO,ARG1,-0.52,-1.28,0.45,27.0,16.0,66.0
L. Morales,Gimnasia La Plata,ZAGUEIRO,ARG1,-1.1,-0.28,-1.08,16.0,38.0,31.0
P. Barrios,Godoy Cruz,ZAGUEIRO,ARG1,-0.31,-1.24,0.17,43.0,18.0,60.0
C. Corvalán,Unión Santa Fe,ZAGUEIRO,ARG1,-0.52,-0.03,1.46,29.0,47.0,84.0
F. Rasmussen,Godoy Cruz,ZAGUEIRO,ARG1,0.69,1.11,-1.27,77.0,88.0,23.0
I. Vázquez,Platense,ZAGUEIRO,ARG1,-1.13,0.79,-0.99,14.0,74.0,35.0
N. Herranz,Brown de Adrogué,ZAGUEIRO,ARG2,-1.08,-0.42,-0.75,17.0,37.0,35.0
D. Rentería,San Miguel,ZAGUEIRO,ARG2,-0.79,-1.38,-1.2,21.0,15.0,20.0
F. Lorenzón,Estudiantes Caseros,ZAGUEIRO,ARG2,1.47,1.73,-1.41,89.0,90.0,13.0
M. Mariatti,Defensores Unidos,ZAGUEIRO,ARG2,-0.1,0.19,-1.33,44.0,60.0,15.0
C. Moreno,Academia Puerto Cabello,ZAGUEIRO,ARG2,1.1,0.67,0.4,85.0,72.0,65.0
F. Rosso,UAI Urquiza,ZAGUEIRO,ARG2,-2.57,0.16,-2.1,2.0,59.0,7.0
V. Gelos,Racing Club Res.,ZAGUEIRO,ARG2,0.19,-1.35,-0.16,56.0,17.0,50.0
Enzo Lettieri,Agropecuario,ZAGUEIRO,ARG2,0.5,3.57,-3.05,69.0,100.0,2.0
S. Zurbriggen,COS Sarrabus-Ogliastra,ZAGUEIRO,ARG2,0.28,0.04,-1.63,62.0,56.0,12.0
A. Tabares,All Boys,ZAGUEIRO,ARG2,0.2,1.7,-0.04,57.0,90.0,53.0
F. Evangelista,Atlanta,ZAGUEIRO,ARG2,1.48,-0.04,-0.08,90.0,52.0,51.0
G. Mottes,Aldosivi,ZAGUEIRO,ARG2,0.32,-0.64,-2.91,64.0,33.0,3.0
F. Melillán,Club Atlético Mitre,ZAGUEIRO,ARG2,0.1,-1.07,-1.16,51.0,24.0,24.0
F. Vázquez,Antofagasta,ZAGUEIRO,ARG2,1.78,-0.29,-0.27,97.0,41.0,47.0
F. Butti,Godoy Cruz,ZAGUEIRO,ARG2,0.62,0.88,-1.17,72.0,78.0,22.0
K. Ceceri,CSA Steaua Bucureşti,ZAGUEIRO,ARG2,0.67,2.03,-0.92,73.0,92.0,31.0
J. Segovia,Temperley,ZAGUEIRO,ARG2,0.14,-2.95,-0.59,53.0,1.0,38.0
B. Bernardi,Arsenal,ZAGUEIRO,ARG2,1.56,0.54,1.35,94.0,70.0,83.0
T. Mantía,Agropecuario,ZAGUEIRO,ARG2,-0.45,0.46,-1.07,34.0,69.0,26.0
M. Almirón,Comerciantes Unidos,ZAGUEIRO,ARG2,-0.94,0.04,-1.32,19.0,56.0,16.0
T. Rossi,Nueva Chicago,ZAGUEIRO,ARG2,-0.74,-1.2,0.12,22.0,22.0,58.0
A. Morales,Defensores Unidos,ZAGUEIRO,ARG2,0.32,-0.21,-2.4,63.0,46.0,4.0
S. Laquidaín,Central Córdoba SdE,ZAGUEIRO,ARG2,1.23,2.93,-0.58,86.0,98.0,38.0
I. Cabrera,Arsenal,ZAGUEIRO,ARG2,1.8,2.76,3.13,98.0,97.0,98.0
J. Marchio,San Martín San Juan,ZAGUEIRO,ARG2,-0.48,-0.35,-0.28,32.0,39.0,47.0
A. Aguirre,Tigre,ZAGUEIRO,ARG2,-0.65,-0.03,0.91,28.0,53.0,72.0
T. Ferreyra,Club Atlético Mitre,ZAGUEIRO,ARG2,0.45,-0.25,0.96,67.0,44.0,74.0
F. Cosciuc,Cipolletti,ZAGUEIRO,ARG2,-0.4,0.35,-0.83,35.0,65.0,33.0
F. Lopez,Deportivo Morón Res.,ZAGUEIRO,ARG2,-1.13,0.27,-2.13,17.0,65.0,6.0
N. Monserrat,Talleres Remedios,ZAGUEIRO,ARG2,-2.73,-0.65,-1.01,1.0,32.0,27.0
F. Petrasso,Independiente Rivadavia,ZAGUEIRO,ARG2,0.98,-0.3,1.22,83.0,40.0,79.0
B. Negro,Tristán Suárez,ZAGUEIRO,ARG2,0.41,-0.82,-1.64,65.0,28.0,12.0
S. Flores,Estudiantes,ZAGUEIRO,ARG2,0.78,0.19,-0.36,76.0,61.0,44.0
J. Ostachuk,Deportivo Maipú,ZAGUEIRO,ARG2,-1.2,-0.32,2.08,14.0,40.0,92.0
I. Sanabria,Gimnasia y Tiro,ZAGUEIRO,ARG2,-0.7,-0.61,0.85,25.0,34.0,71.0
L. Quiroz,Almirante Brown,ZAGUEIRO,ARG2,-0.15,1.46,1.17,42.0,83.0,78.0
M. Contreras,Defensores Unidos,ZAGUEIRO,ARG2,-1.17,-1.53,-2.35,15.0,12.0,5.0
L. Falabella,Almagro,ZAGUEIRO,ARG2,1.51,2.04,-1.3,93.0,93.0,17.0
A. Aguirre,Atlanta,ZAGUEIRO,ARG2,1.46,1.16,2.45,88.0,80.0,97.0
P. Alvarado,Ferro Carril Oeste,ZAGUEIRO,ARG2,0.53,0.22,2.0,69.0,62.0,90.0
N. Pantaleone,Portuguesa,ZAGUEIRO,ARG2,-1.32,-0.19,2.38,10.0,47.0,96.0
A. Sandoná,Douglas Haig,ZAGUEIRO,ARG2,-0.5,-0.1,0.17,31.0,50.0,60.0
K. Jappert,Atlético Rafaela,ZAGUEIRO,ARG2,-0.01,0.84,-0.33,49.0,78.0,45.0
Y. Marín,San Martín Mendoza,ZAGUEIRO,ARG2,-0.48,-1.8,-2.2,33.0,8.0,6.0
D. Gissi,Atlanta,ZAGUEIRO,ARG2,-0.53,-2.13,3.76,31.0,4.0,99.0
A. Irazoque,Barracas Central,ZAGUEIRO,ARG2,-0.43,1.28,0.94,35.0,81.0,73.0
N. Malvacio,Talleres Remedios,ZAGUEIRO,ARG2,0.82,1.28,-1.16,77.0,81.0,23.0
G. Bottino,Estudiantes Caseros,ZAGUEIRO,ARG2,-0.31,-1.24,-1.05,37.0,20.0,26.0
S. Olivarez,Almirante Brown,ZAGUEIRO,ARG2,0.16,-0.07,-0.21,55.0,51.0,48.0
A. Sosa,Arsenal,ZAGUEIRO,ARG2,0.61,-0.38,-0.98,71.0,38.0,28.0
F. Ledesma,Agropecuario,ZAGUEIRO,ARG2,-0.71,-1.28,1.34,24.0,19.0,82.0
M. Mansilla,Deportivo Madryn,ZAGUEIRO,ARG2,-0.09,-2.28,0.15,46.0,3.0,59.0
N. Demartini,Barracas Central,ZAGUEIRO,ARG2,0.9,1.68,-1.15,79.0,89.0,24.0
D. Abello,Gimnasia y Tiro,ZAGUEIRO,ARG2,-1.73,-2.07,-0.62,5.0,5.0,37.0
T. López,Chaco For Ever,ZAGUEIRO,ARG2,-0.15,1.65,-0.49,41.0,88.0,41.0
C. González,Comerciantes Unidos,ZAGUEIRO,ARG2,0.94,0.44,-0.88,81.0,68.0,32.0
M. Leyendeker,Chaco For Ever,ZAGUEIRO,ARG2,0.01,0.83,-1.38,49.0,76.0,15.0
E. Neira,Gimnasia y Tiro,ZAGUEIRO,ARG2,-1.19,-0.79,1.15,15.0,28.0,77.0
F. Giacopuzzi,Tigre,ZAGUEIRO,ARG2,-0.2,0.67,0.18,40.0,73.0,60.0
F. Cardozo,San Miguel,ZAGUEIRO,ARG2,0.11,-0.27,0.08,53.0,42.0,56.0
N. Caro Torres,Deportivo Riestra,ZAGUEIRO,ARG2,2.04,0.99,4.72,100.0,79.0,100.0
M. Ferreira,Quilmes,ZAGUEIRO,ARG2,0.11,2.04,2.36,52.0,94.0,95.0
A. Gutiérrez,Gimnasia Mendoza,ZAGUEIRO,ARG2,1.69,0.37,4.25,96.0,66.0,99.0
M. Guzmán,Temperley,ZAGUEIRO,ARG2,-0.3,-1.71,-0.01,38.0,9.0,54.0
T. Oneto,Chacarita Juniors,ZAGUEIRO,ARG2,0.94,0.79,1.89,81.0,76.0,88.0
H. Lópes,Colón,ZAGUEIRO,ARG2,1.01,-1.37,-0.58,83.0,16.0,39.0
Ó. Piris,Club Atlético Mitre,ZAGUEIRO,ARG2,1.5,0.16,1.36,91.0,60.0,83.0
G. Barbieri,Macará,ZAGUEIRO,ARG2,-0.2,-0.18,0.21,40.0,48.0,63.0
D. Ledesma,Estudiantes Caseros,ZAGUEIRO,ARG2,-1.31,-1.34,-0.65,10.0,17.0,36.0
E. Iñíguez,Aldosivi,ZAGUEIRO,ARG2,1.84,2.67,2.28,99.0,96.0,94.0
N. Agorreca,Club Atlético Mitre,ZAGUEIRO,ARG2,0.02,-1.32,-1.68,50.0,19.0,10.0
T. Berra,Club Atlético Güemes,ZAGUEIRO,ARG2,-0.69,0.38,-0.99,26.0,67.0,28.0
E. Calderón,Defensa y Justicia,ZAGUEIRO,ARG2,0.48,2.96,1.04,68.0,99.0,75.0
N. Del Grecco,Orense,ZAGUEIRO,ARG2,1.5,-0.22,0.07,92.0,45.0,56.0
P. Goltz,Colón,ZAGUEIRO,ARG2,0.82,-1.19,-0.19,78.0,22.0,49.0
F. Oliver,Atlético Rafaela,ZAGUEIRO,ARG2,-0.09,0.02,1.81,45.0,55.0,85.0
N. Bazzana,Guillermo Brown,ZAGUEIRO,ARG2,-0.25,-1.71,-0.83,38.0,8.0,33.0
R. Moreira,Deportes Limache,ZAGUEIRO,ARG2,0.77,0.83,0.9,76.0,77.0,72.0
F. Gómez,Flandria,ZAGUEIRO,ARG2,-1.14,-0.27,-0.76,16.0,43.0,35.0
A. Zanini,LDU Quito,ZAGUEIRO,ARG2,0.91,2.12,-0.32,80.0,94.0,46.0
M. Maidana,Independiente Rivadavia,ZAGUEIRO,ARG2,-1.65,-1.67,1.97,6.0,10.0,89.0
A. Lamosa,San Telmo,ZAGUEIRO,ARG2,0.27,-0.77,0.49,62.0,30.0,67.0
D. Valdez,Chaco For Ever,ZAGUEIRO,ARG2,-0.66,0.76,-0.95,27.0,75.0,30.0
M. Coronel,All Boys,ZAGUEIRO,ARG2,-1.24,-1.58,0.12,12.0,11.0,58.0
F. Moreyra,Deportes Limache,ZAGUEIRO,ARG2,1.64,-1.1,1.86,94.0,24.0,87.0
N. Arrechea,Brown de Adrogué,ZAGUEIRO,ARG2,-1.21,-0.89,0.46,13.0,26.0,66.0
M. Osores,Gimnasia Jujuy,ZAGUEIRO,ARG2,0.05,-1.45,-0.08,51.0,13.0,51.0
J. Fedorco,Independiente,ZAGUEIRO,ARG2,-0.23,0.73,1.11,39.0,74.0,76.0
R. Cáseres,San Martín San Juan,ZAGUEIRO,ARG2,-0.69,1.29,2.07,26.0,82.0,92.0
G. Maffini,Belgrano,ZAGUEIRO,ARG2,0.54,0.54,-1.22,70.0,69.0,19.0
P. Calderón,Deportivo Madryn,ZAGUEIRO,ARG2,0.46,1.53,-0.92,67.0,85.0,31.0
J. De Tomasso,Defensores de Belgrano,ZAGUEIRO,ARG2,-0.55,0.21,0.47,30.0,62.0,67.0
J. Scolari,Temperley,ZAGUEIRO,ARG2,-0.06,-0.41,-0.95,47.0,38.0,29.0
J. Benítez,Estudiantes Caseros,ZAGUEIRO,ARG2,-1.08,1.9,-1.3,18.0,92.0,17.0
N. Iribarren,Deportivo Riestra,ZAGUEIRO,ARG2,-1.91,-0.58,-3.17,4.0,35.0,1.0
R. Giampaoli,Defensor Sporting,ZAGUEIRO,ARG2,0.86,3.45,-1.23,78.0,99.0,19.0
P. Boolsen,Ferro Carril Oeste,ZAGUEIRO,ARG2,-1.44,-1.82,-1.4,7.0,7.0,14.0
D. Mondino,UTC Cajamarca,ZAGUEIRO,ARG2,0.45,-0.43,-0.05,66.0,36.0,52.0
H. Pellerano,Gimnasia Jujuy,ZAGUEIRO,ARG2,0.16,-0.75,0.32,54.0,31.0,65.0
A. Bravo,Rosario Central,ZAGUEIRO,ARG2,1.45,0.23,1.27,88.0,63.0,81.0
E. Tovo,Alianza Atlético,ZAGUEIRO,ARG2,-1.38,-0.63,-2.04,8.0,33.0,8.0
F. Miño,Almirante Brown,ZAGUEIRO,ARG2,-0.71,1.47,-0.2,23.0,84.0,49.0
V. Perales,Estudiantes Caseros,ZAGUEIRO,ARG2,0.24,-0.78,-0.36,60.0,29.0,44.0
N. Tecilla,Alvarado,ZAGUEIRO,ARG2,1.27,2.88,1.82,87.0,97.0,86.0
M. Gómez Pereyra,Estudiantes Río Cuarto,ZAGUEIRO,ARG2,0.65,-0.75,-1.19,72.0,31.0,21.0
F. Fontanini,Atlético Rafaela,ZAGUEIRO,ARG2,-0.06,-1.6,-3.31,47.0,10.0,1.0
N. Brunet,Chacarita Juniors,ZAGUEIRO,ARG2,0.38,-0.12,0.09,65.0,49.0,57.0
M. Ferreyra,Patronato,ZAGUEIRO,ARG2,-0.15,-0.04,-1.85,42.0,53.0,9.0
D. Achucarro,Talleres Remedios,ZAGUEIRO,ARG2,-0.71,0.24,0.06,24.0,64.0,55.0
N. Dematei,Deportivo Riestra,ZAGUEIRO,ARG2,-3.38,-2.57,2.24,1.0,1.0,93.0
G. Ferrero,Racing Córdoba,ZAGUEIRO,ARG2,-1.28,-1.38,-1.28,11.0,15.0,18.0
A. Pérez,Cusco,ZAGUEIRO,ARG2,-0.63,-0.53,1.48,29.0,35.0,84.0
F. Tévez,Quilmes,ZAGUEIRO,ARG2,1.48,1.83,-0.51,90.0,91.0,40.0
I. González,Huachipato,ZAGUEIRO,ARG2,-1.25,-1.98,-1.12,12.0,6.0,25.0
A. Barrionuevo,Deportivo Riestra,ZAGUEIRO,ARG2,0.22,2.32,1.51,59.0,95.0,85.0
S. Callegari,Nueva Chicago,ZAGUEIRO,ARG2,0.21,0.04,1.18,58.0,57.0,78.0
J. Orellana,San Martín Tucumán,ZAGUEIRO,ARG2,0.75,0.08,2.29,74.0,58.0,94.0
W. Olivera,Racing Córdoba,ZAGUEIRO,ARG2,-2.24,-1.33,-1.64,3.0,18.0,11.0
M. Padilla,Gimnasia Mendoza,ZAGUEIRO,ARG2,1.85,0.7,0.73,99.0,74.0,69.0
A. Sienra,San Martín San Juan,ZAGUEIRO,ARG2,1.15,1.5,2.0,85.0,85.0,90.0
F. Mattia,Almagro,ZAGUEIRO,ARG2,-1.0,-1.0,-1.81,19.0,26.0,10.0
L. Martínez,Defensores de Belgrano,ZAGUEIRO,ARG2,0.75,1.67,0.19,75.0,88.0,62.0
D. Zadel,Defensores Unidos,ZAGUEIRO,ARG2,1.5,1.64,-0.43,92.0,87.0,43.0
F. Coronel,Deportivo Maipú,ZAGUEIRO,ARG2,1.07,-1.23,0.78,84.0,21.0,70.0
J. Zules Caicedo,Deportivo Madryn,ZAGUEIRO,ARG2,1.74,-0.13,1.09,97.0,49.0,76.0
I. Iriarte,Tristán Suárez,ZAGUEIRO,ARG2,-0.79,-0.01,-0.04,22.0,54.0,53.0
A. Kippes,San Miguel,ZAGUEIRO,ARG2,-0.13,-1.45,0.97,43.0,14.0,74.0
J. Ferrari,All Boys,ZAGUEIRO,ARG2,-0.05,-0.27,-2.42,48.0,42.0,3.0
F. Meritello,Gimnasia Mendoza,ZAGUEIRO,ARG2,-1.65,-2.28,2.82,6.0,2.0,97.0
H. González,San Telmo,ZAGUEIRO,ARG2,0.24,1.4,0.19,60.0,83.0,61.0
N. Arena,Ferro Carril Oeste,ZAGUEIRO,ARG2,-0.11,-0.2,2.05,44.0,47.0,91.0
M. Escudero,Club Atlético Güemes,ZAGUEIRO,ARG2,-1.4,0.56,-0.82,8.0,71.0,34.0
A. Masuero,Brown de Adrogué,ZAGUEIRO,ARG2,-2.26,-2.19,1.24,3.0,3.0,80.0
G. Soto,Aldosivi,ZAGUEIRO,ARG2,0.69,-0.84,-0.43,74.0,27.0,42.0
G. Díaz,Ferro Carril Oeste,ZAGUEIRO,ARG2,-0.65,-2.04,0.6,28.0,6.0,69.0
B. Machuca,Deportivo Morón,ZAGUEIRO,ARG2,-0.47,-1.01,-2.03,33.0,25.0,8.0
F. Laumann,Defensores de Belgrano,ZAGUEIRO,ARG2,-1.36,-0.26,-1.17,9.0,44.0,22.0
A. Robledo,Alvarado,ZAGUEIRO,ARG2,0.22,0.66,-0.5,58.0,72.0,40.0
G. Cosaro,Gimnasia Jujuy,ZAGUEIRO,ARG2,-0.82,-1.5,1.92,20.0,12.0,88.0
N. Ortiz,Alvarado,ZAGUEIRO,ARG2,0.17,0.14,0.29,56.0,58.0,64.0
A. Dattola,San Martín Tucumán,ZAGUEIRO,ARG2,0.96,1.58,0.5,82.0,86.0,68.0
A. Gómez,Deportivo Morón,ZAGUEIRO,ARG2,0.25,-0.09,-0.43,61.0,51.0,42.0
F. González,Racing Córdoba,ZAGUEIRO,ARG2,-0.33,-1.17,0.19,36.0,23.0,62.0
G. Arturia,Estudiantes Río Cuarto,ZAGUEIRO,ARG2,1.67,0.39,1.26,95.0,67.0,81.0
J. Donachie,Western United,ZAGUEIRO,AUS,-0.57,-1.94,-0.67,26.0,6.0,45.0
J. Tratt,Western United,ZAGUEIRO,AUS,0.5,2.61,1.35,71.0,94.0,81.0
M. Beevers,Perth Glory,ZAGUEIRO,AUS,-0.67,2.62,-1.36,19.0,97.0,19.0
A. Bonetig,Western Sydney Wanderers,ZAGUEIRO,AUS,-0.28,-1.78,1.95,39.0,10.0,97.0
Javi López,Adelaide United,ZAGUEIRO,AUS,0.78,2.99,1.77,81.0,100.0,90.0
B. Warland,Adelaide United,ZAGUEIRO,AUS,0.31,1.12,-1.34,65.0,81.0,23.0
K. Vidmar,Western United,ZAGUEIRO,AUS,-0.68,1.07,-1.33,16.0,77.0,26.0
A. Popovic,Gwangju,ZAGUEIRO,AUS,-0.21,0.63,1.42,45.0,71.0,84.0
T. Beadling,Western Sydney Wanderers,ZAGUEIRO,AUS,0.22,-0.26,-2.29,61.0,48.0,3.0
Nuno Reis,Melbourne City,ZAGUEIRO,AUS,0.99,1.45,1.77,87.0,90.0,94.0
H. Matthews,Sydney,ZAGUEIRO,AUS,0.5,1.21,-0.66,68.0,84.0,48.0
M. Jurman,Macarthur,ZAGUEIRO,AUS,-1.51,-0.98,0.48,6.0,26.0,61.0
N. Ansell,Adelaide United,ZAGUEIRO,AUS,-0.23,-0.5,-2.1,42.0,45.0,6.0
P. Cancar,Newcastle Jets,ZAGUEIRO,AUS,0.17,0.31,-1.62,58.0,55.0,16.0
J. Girdwood-Reich,Sydney,ZAGUEIRO,AUS,0.59,1.23,-1.64,77.0,87.0,13.0
C. Good,Melbourne City,ZAGUEIRO,AUS,0.78,0.43,1.01,84.0,61.0,71.0
S. Souprayen,Melbourne City,ZAGUEIRO,AUS,1.57,0.01,-0.95,97.0,52.0,32.0
Gabriel Lacerda,Sydney,ZAGUEIRO,AUS,-2.4,-0.89,-0.76,3.0,32.0,39.0
D. Lachman,Perth Glory,ZAGUEIRO,AUS,-0.02,-1.1,1.01,52.0,23.0,74.0
M. Natta,Newcastle Jets,ZAGUEIRO,AUS,1.32,-0.63,0.5,94.0,42.0,65.0
T. Imai,Western United,ZAGUEIRO,AUS,0.53,0.5,-0.68,74.0,68.0,42.0
K. Trewin,Brisbane Roar,ZAGUEIRO,AUS,1.11,0.93,1.68,90.0,74.0,87.0
T. Aldred,Brisbane Roar,ZAGUEIRO,AUS,-0.29,-1.4,-0.51,35.0,13.0,52.0
Marcelo,Western Sydney Wanderers,ZAGUEIRO,AUS,-0.53,0.48,5.18,29.0,65.0,100.0
T. Uskok,Macarthur,ZAGUEIRO,AUS,-1.39,-0.83,-1.81,10.0,39.0,10.0
D. Hall,Central Coast Mariners,ZAGUEIRO,AUS,-0.67,-1.2,-0.78,23.0,19.0,35.0
