Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
S. Quirós,Racing Club,ZAGUEIRO,ARG1,-2.02,-2.46,0.88,6.0,4.0,77.0
L. Jara,Vélez Sarsfield,ZAGUEIRO,ARG1,0.5,0.96,1.14,70.0,86.0,82.0
B. Blasi,Nacional Asunción,ZAGUEIRO,ARG1,-0.38,0.67,-1.61,38.0,68.0,10.0
I. Glavinovich,Newell's Old Boys,ZAGUEIRO,ARG1,0.85,0.77,0.99,79.0,73.0,81.0
M. Moreno,Belgrano,ZAGUEIRO,ARG1,0.43,-0.15,-1.38,69.0,44.0,18.0
L. Suárez,Talleres Córdoba,ZAGUEIRO,ARG1,0.43,0.32,-1.21,68.0,56.0,27.0
E. Godoy,Argentinos Juniors,ZAGUEIRO,ARG1,0.55,0.59,-1.1,71.0,64.0,30.0
F. Sánchez,Gimnasia La Plata,ZAGUEIRO,ARG1,0.31,-1.88,-0.74,64.0,9.0,42.0
S. Ramos Mingo,Defensa y Justicia,ZAGUEIRO,ARG1,-0.61,-0.51,-1.25,26.0,32.0,26.0
L. Lollo,Estudiantes,ZAGUEIRO,ARG1,0.23,-0.32,0.64,60.0,35.0,75.0
G. Luján,San Lorenzo,ZAGUEIRO,ARG1,-2.17,-1.63,-1.42,4.0,13.0,17.0
N. Valentini,Boca Juniors,ZAGUEIRO,ARG1,-0.32,-1.03,0.38,42.0,23.0,64.0
J. Malatini,Werder Bremen,ZAGUEIRO,ARG1,1.1,0.73,0.97,86.0,70.0,79.0
B. Valdez,Cerro Porteño,ZAGUEIRO,ARG1,1.91,0.93,-1.44,95.0,83.0,16.0
Z. Romero,Estudiantes,ZAGUEIRO,ARG1,0.94,0.47,-0.48,81.0,58.0,47.0
J. Komar,Rosario Central,ZAGUEIRO,ARG1,-0.17,-0.06,-1.57,44.0,45.0,12.0
N. Colombo,Racing Club,ZAGUEIRO,ARG1,2.31,0.74,4.17,96.0,71.0,99.0
M. Torrén,Unión Santa Fe,ZAGUEIRO,ARG1,-0.52,-1.79,3.11,30.0,12.0,96.0
T. Cardona,Fortaleza,ZAGUEIRO,ARG1,-0.14,-0.02,1.2,45.0,48.0,83.0
M. García,Sarmiento,ZAGUEIRO,ARG1,-0.36,0.92,-1.9,40.0,82.0,4.0
N. Figal,Boca Juniors,ZAGUEIRO,ARG1,1.25,-0.29,1.58,88.0,36.0,86.0
R. Rojas,Vasco da Gama,ZAGUEIRO,ARG1,-0.37,-1.06,-1.01,39.0,21.0,32.0
P. Goltz,Colón,ZAGUEIRO,ARG1,0.55,0.58,0.51,73.0,62.0,70.0
G. Goñi,Barracas Central,ZAGUEIRO,ARG1,0.24,0.86,-2.06,61.0,77.0,3.0
J. Rodríguez,Talleres Córdoba,ZAGUEIRO,ARG1,-0.42,0.54,-0.28,35.0,60.0,55.0
S. Valdez,Central Córdoba SdE,ZAGUEIRO,ARG1,0.97,0.91,-0.43,82.0,79.0,48.0
G. Campi,San Lorenzo,ZAGUEIRO,ARG1,-1.98,-1.11,0.47,8.0,19.0,68.0
C. Sánchez,San Lorenzo,ZAGUEIRO,ARG1,-2.22,-3.07,-1.3,3.0,1.0,22.0
F. Paredes,Sarmiento,ZAGUEIRO,ARG1,-1.0,1.16,0.37,18.0,90.0,62.0
J. Díaz,O'Higgins,ZAGUEIRO,ARG1,0.6,2.28,1.6,74.0,97.0,88.0
M. Catalán,Talleres Córdoba,ZAGUEIRO,ARG1,0.01,-0.16,1.58,52.0,43.0,87.0
F. Aguilar,Independiente,ZAGUEIRO,ARG1,1.06,0.07,-0.37,84.0,51.0,51.0
G. Ortíz,Audax Italiano,ZAGUEIRO,ARG1,1.65,0.17,0.97,90.0,53.0,78.0
M. Di Cesare,Racing Club,ZAGUEIRO,ARG1,1.72,1.9,0.6,92.0,94.0,73.0
Y. Cabral,Gimnasia La Plata,ZAGUEIRO,ARG1,0.03,3.45,-1.7,53.0,100.0,8.0
L. Sigali,Racing Club,ZAGUEIRO,ARG1,-0.83,-1.96,2.16,23.0,6.0,95.0
S. Núñez,Santos Laguna,ZAGUEIRO,ARG1,1.24,2.22,0.63,87.0,96.0,74.0
G. Hernández,San Lorenzo,ZAGUEIRO,ARG1,-2.23,-1.24,-0.29,1.0,17.0,53.0
F. Tobio,Huracán,ZAGUEIRO,ARG1,1.05,0.63,-0.33,83.0,65.0,52.0
F. Calderón,Universidad de Chile,ZAGUEIRO,ARG1,-0.92,-0.76,-2.34,22.0,27.0,1.0
J. Laso,Independiente,ZAGUEIRO,ARG1,0.08,-0.64,0.51,57.0,30.0,69.0
L. González Pírez,River Plate,ZAGUEIRO,ARG1,0.74,0.15,0.52,78.0,52.0,71.0
R. Pérez,Junior,ZAGUEIRO,ARG1,-1.02,-2.17,-0.58,17.0,5.0,45.0
G. Suso,Platense,ZAGUEIRO,ARG1,-2.16,-1.01,-1.0,5.0,25.0,34.0
G. Piovi,Cruz Azul,ZAGUEIRO,ARG1,2.57,1.93,3.88,100.0,95.0,97.0
P. Díaz,River Plate,ZAGUEIRO,ARG1,2.43,0.35,1.84,99.0,57.0,92.0
L. Carrizo,Huracán,ZAGUEIRO,ARG1,-0.94,-0.22,1.89,21.0,40.0,94.0
