Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Ataque,Último passe,Ameaça Ofensiva,Drible,Participação_percentil,Defesa_percentil,Construção_percentil,Ataque_percentil,Último passe_percentil,Ameaça ofensiva_percentil,Drible_percentil
J. Chicco,Leganés,MEIO-CAMPO,ARG1,0.31,0.4,0.72,-0.54,-1.8,-1.16,-1.26,60,60,74,41,12,31,1
C. Ordoñez,Vélez Sarsfield,MEIO-CAMPO,ARG1,0.48,2.06,-1.89,-1.55,0.62,-1.68,-0.28,65,92,7,13,72,20,50
D. Calcaterra,Sarmiento,MEIO-CAMPO,ARG1,-0.74,1.28,-1.82,-1.98,-1.79,-0.43,-0.81,28,77,9,5,13,50,23
C. Vega,Colón,MEIO-CAMPO,ARG1,1.21,2.16,0.83,-0.9,-2.02,-1.02,-0.66,88,93,76,27,7,36,32
S. Moreyra,Colón,MEIO-CAMPO,ARG1,0.49,2.65,-0.73,-1.63,-1.67,-1.91,-0.74,66,99,39,10,18,9,25
C. Zabala,Tigre,MEIO-CAMPO,ARG1,1.27,0.17,1.55,1.34,-0.15,0.2,0.74,91,53,85,83,55,65,80
J. Fernández,Lanús,MEIO-CAMPO,ARG1,-0.45,2.51,-0.93,-1.42,-2.03,-1.97,-1.26,35,95,31,17,6,7,1
L. Picco,Platense,MEIO-CAMPO,ARG1,1.2,3.87,-0.73,-1.79,-1.77,-1.6,-0.92,87,100,41,7,14,22,12
T. O'Connor,Rosario Central,MEIO-CAMPO,ARG1,0.03,0.38,-0.1,-0.01,1.79,0.25,1.12,50,59,53,58,82,66,88
D. Ortegoza,Talleres Córdoba,MEIO-CAMPO,ARG1,0.89,1.02,-1.7,-1.74,-1.5,-0.42,0.16,80,72,12,9,23,50,66
B. Kociubinski,Atlético Tucumán,MEIO-CAMPO,ARG1,0.19,0.35,0.65,-0.54,-1.12,0.05,-0.83,55,58,73,42,30,60,22
J. Mosqueira,Unión Santa Fe,MEIO-CAMPO,ARG1,-1.54,-0.93,-1.42,-1.37,-1.57,-0.79,-0.97,11,26,18,18,21,41,8
A. Varela,Porto,MEIO-CAMPO,ARG1,1.04,-0.5,0.1,-1.1,-1.2,-2.11,-0.68,85,38,61,23,29,2,29
E. Fernández,Boca Juniors,MEIO-CAMPO,ARG1,4.35,1.83,2.01,0.09,-0.05,-1.47,0.23,100,90,91,60,58,26,67
I. Miramón,Lille,MEIO-CAMPO,ARG1,1.07,2.57,0.05,0.44,-1.42,-1.89,1.58,85,97,61,69,25,11,92
S. Prediger,Tigre,MEIO-CAMPO,ARG1,1.51,1.53,-0.18,-1.16,-1.97,-1.72,-0.29,93,85,51,23,9,19,49
N. de la Cruz,River Plate,MEIO-CAMPO,ARG1,2.79,-0.83,5.01,3.4,2.37,5.26,0.87,98,29,99,99,91,99,82
T. Belmonte,Toluca,MEIO-CAMPO,ARG1,-1.0,0.18,-2.14,-2.24,-2.19,0.65,-1.07,21,54,5,1,1,73,4
E. Méndez,Racing,MEIO-CAMPO,ARG1,0.6,2.52,-1.54,-2.05,-2.03,-1.37,-0.51,72,96,14,4,5,28,42
K. Gutiérrez,Defensa y Justicia,MEIO-CAMPO,ARG1,1.2,0.7,1.74,0.24,0.24,-1.1,-0.24,88,66,88,66,64,32,53
R. Aliendro,River Plate,MEIO-CAMPO,ARG1,2.39,1.45,2.79,1.8,0.54,0.03,0.48,97,82,96,89,69,59,75
A. Cardozo,Tigre,MEIO-CAMPO,ARG1,0.66,-0.3,-0.22,-0.81,-1.82,-1.42,-0.09,72,44,49,32,12,26,59
F. Moyano,Argentinos Juniors,MEIO-CAMPO,ARG1,-0.14,-2.33,-0.2,-0.74,-1.26,-2.09,-1.04,45,6,50,34,28,4,6
G. Abrego,Cremonese,MEIO-CAMPO,ARG1,-0.78,-1.15,-0.8,-0.59,-1.08,1.1,0.03,27,23,35,37,31,77,63
Y. Gordillo,Vélez Sarsfield,MEIO-CAMPO,ARG1,0.29,2.6,-1.99,-2.08,-2.0,-1.07,-0.89,58,98,6,4,7,34,15
A. Moreno,Racing Club,MEIO-CAMPO,ARG1,2.11,0.54,1.77,1.33,-1.23,-0.02,-0.4,95,63,88,82,28,57,46
J. López,Defensa y Justicia,MEIO-CAMPO,ARG1,0.4,0.38,-1.09,-1.16,-1.3,-1.51,0.08,64,58,26,22,27,25,64
B. Leyes,Godoy Cruz,MEIO-CAMPO,ARG1,0.14,1.48,-0.39,-1.52,-1.59,-2.13,-0.92,54,84,47,15,20,1,12
F. Redondo,Argentinos Juniors,MEIO-CAMPO,ARG1,1.83,-0.76,0.45,0.06,-0.38,-0.23,-0.56,94,32,69,58,50,55,37
E. Pérez,River Plate,MEIO-CAMPO,ARG1,2.82,0.22,4.83,1.29,-0.78,-1.4,-0.6,99,55,99,82,37,28,34
F. Peña,Lanús,MEIO-CAMPO,ARG1,-0.37,0.16,0.01,-0.86,-1.74,-1.88,-0.43,37,53,59,29,15,12,45
K. Ortíz,Rosario Central,MEIO-CAMPO,ARG1,0.79,3.57,-1.47,-1.53,-2.1,-2.03,-0.82,76,99,16,14,2,6,23
E. Remedi,Banfield,MEIO-CAMPO,ARG1,-0.21,1.91,-1.64,-1.5,-2.05,-1.95,0.35,42,91,12,15,4,8,70
J. Sforza,Newell's Old Boys,MEIO-CAMPO,ARG1,1.26,0.57,-0.03,-0.96,-1.47,-0.83,-0.93,90,64,56,25,23,39,11
I. Marcone,Independiente,MEIO-CAMPO,ARG1,-0.65,-0.51,0.21,-0.87,-1.82,-1.63,-0.45,31,36,65,28,11,20,42
J. Rodríguez,Estudiantes,MEIO-CAMPO,ARG1,1.16,0.11,2.6,0.48,-0.44,-0.95,-0.85,86,52,94,71,47,37,20
R. Villagra,Talleres Córdoba,MEIO-CAMPO,ARG1,0.82,-0.51,0.61,-0.4,-0.49,-1.82,-0.12,77,37,72,45,45,15,58
N. Fernández,Godoy Cruz,MEIO-CAMPO,ARG1,0.89,1.43,-0.53,-0.36,0.29,0.15,0.3,80,82,43,47,65,63,69
S. Longo,Belgrano,MEIO-CAMPO,ARG1,-0.1,1.07,-0.04,-0.61,-1.46,-2.09,-0.95,45,73,55,36,24,3,9
J. Cacciabue,Platense,MEIO-CAMPO,ARG1,-1.65,-0.76,-2.17,-1.46,-2.04,-2.06,-1.15,8,31,4,16,4,4,2
F. Domínguez,Argentinos Juniors,MEIO-CAMPO,ARG1,-0.01,1.1,-0.01,3.47,4.57,0.1,1.96,49,74,58,99,99,62,96
P. De Blasis,Gimnasia La Plata,MEIO-CAMPO,ARG1,0.51,0.88,1.21,1.24,0.55,-0.03,-0.74,68,68,82,80,69,56,26
M. Marín,Belgrano,MEIO-CAMPO,ARG1,-2.1,-1.87,-0.41,0.44,0.41,0.28,-0.21,4,13,47,69,66,66,55
W. Alarcón,Huracán,MEIO-CAMPO,ARG1,-2.84,-3.93,3.17,0.4,-0.55,-1.74,-1.06,1,1,96,68,41,18,5
J. Soraire,Banfield,MEIO-CAMPO,ARG1,-0.02,0.96,-0.79,-0.17,-0.86,3.55,-0.85,48,69,37,55,36,95,20
E. Kalinski,Central Córdoba SdE,MEIO-CAMPO,ARG1,0.07,1.25,-0.46,-0.52,0.0,0.54,-0.66,52,77,45,42,60,71,31
M. Quiroz,Sarmiento,MEIO-CAMPO,ARG1,0.32,1.68,-1.31,-1.24,-1.08,-1.53,-0.31,61,88,20,20,31,23,48
W. Montoya,Rosario Central,MEIO-CAMPO,ARG1,0.12,0.46,-0.75,-0.33,-0.3,-1.83,-0.22,53,61,39,48,51,14,54
K. López,Independiente,MEIO-CAMPO,ARG1,0.03,-1.47,0.44,1.26,0.95,-1.87,1.01,50,18,68,81,77,13,86
C. Arrúa,Colón,MEIO-CAMPO,ARG1,-1.92,-2.29,1.05,1.37,0.93,-0.67,0.23,6,7,80,84,76,44,68
Ó. Romero,Pendikspor,MEIO-CAMPO,ARG1,2.12,-1.36,7.5,4.98,3.3,1.81,1.26,96,20,100,100,96,83,88
A. Franco,Atlético Mineiro,MEIO-CAMPO,ARG1,-1.33,-1.11,-2.77,-2.2,-0.53,-1.57,-1.09,15,23,1,2,42,23,4
E. Rolón,Belgrano,MEIO-CAMPO,ARG1,1.0,1.92,0.18,-0.41,-1.06,-0.23,-0.58,84,91,64,45,32,54,36
F. Baldassarra,Panetolikos FC,MEIO-CAMPO,ARG1,-1.39,-0.31,-1.87,-1.57,-0.25,2.16,-0.42,14,42,7,12,54,86,45
J. Rosso,Sarmiento,MEIO-CAMPO,ARG1,-0.34,1.67,0.01,0.48,-0.05,-1.52,-0.34,39,88,58,72,58,24,47
A. Palavecino,River Plate,MEIO-CAMPO,ARG1,3.07,1.55,2.2,2.57,-0.49,3.46,0.4,99,87,91,93,45,94,73
A. Rojas,Belgrano,MEIO-CAMPO,ARG1,-0.18,0.49,0.84,0.95,1.83,-1.88,-0.86,42,62,77,77,83,12,19
F. Álvarez,Colón,MEIO-CAMPO,ARG1,-0.34,-1.62,4.71,1.14,2.02,-0.54,-0.29,38,15,98,79,86,47,50
R. Saravia,Gimnasia La Plata,MEIO-CAMPO,ARG1,-1.0,-0.19,-0.84,-0.26,-1.36,-1.62,-0.25,22,47,34,51,26,21,52
M. Portillo,Newell's Old Boys,MEIO-CAMPO,ARG1,1.32,-0.24,1.24,0.77,-0.31,-0.64,0.91,91,45,82,75,50,45,83
F. Mac Allister,Rosario Central,MEIO-CAMPO,ARG1,0.85,1.02,-0.42,0.06,1.11,-0.57,-0.89,77,71,46,59,79,46,15
G. Maroni,San Lorenzo,MEIO-CAMPO,ARG1,-1.08,-1.83,-0.91,0.09,2.74,2.05,1.84,18,14,31,61,93,84,96
M. Mónaco,Sarmiento,MEIO-CAMPO,ARG1,-0.89,0.31,-1.61,-0.19,-0.16,2.54,1.62,23,57,13,53,55,90,93
L. Aued,Instituto,MEIO-CAMPO,ARG1,-0.68,-0.13,-0.8,-0.85,-0.14,-0.25,-0.77,29,47,36,30,56,53,24
R. Echeverría,Huracán,MEIO-CAMPO,ARG1,0.98,1.39,-1.47,-1.76,-0.47,-0.48,-0.91,83,81,17,8,46,48,14
A. Toledo,Rosario Central,MEIO-CAMPO,ARG1,0.89,2.56,-0.15,-0.82,-2.06,-1.78,-0.71,79,96,52,31,3,17,27
T. Banega,Unión Santa Fe,MEIO-CAMPO,ARG1,0.5,1.03,1.44,0.74,1.04,-0.74,-0.44,66,72,83,74,77,42,44
L. Acosta,Lanús,MEIO-CAMPO,ARG1,-0.39,-0.04,-1.8,-1.22,-0.61,1.37,0.53,36,50,9,20,40,80,76
R. Herrera,Barracas Central,MEIO-CAMPO,ARG1,0.87,2.22,-1.02,-1.25,-0.91,-1.81,-0.68,78,93,28,19,36,15,28
E. Cañete,Banfield,MEIO-CAMPO,ARG1,-0.18,0.85,-0.8,0.15,-0.54,-0.84,-0.52,43,67,36,63,42,39,40
J. Sosa,Estudiantes,MEIO-CAMPO,ARG1,0.37,-1.63,1.54,1.72,3.32,1.72,-0.67,62,15,85,86,96,82,30
R. Bochi,Instituto,MEIO-CAMPO,ARG1,-0.08,1.28,-0.09,-0.88,-1.7,-1.1,-1.15,47,78,53,28,17,33,3
N. Oroz,Racing Club,MEIO-CAMPO,ARG1,-0.49,-1.6,1.14,0.61,1.3,2.2,0.37,34,17,81,73,81,88,71
A. Bolívar,Gimnasia La Plata,MEIO-CAMPO,ARG1,-1.53,0.26,-0.31,-0.55,-0.3,-1.9,-0.98,12,56,48,39,53,10,7
I. Rossi,Platense,MEIO-CAMPO,ARG1,0.36,2.29,-1.25,-1.59,-1.71,-2.16,-0.87,61,94,21,12,16,1,17
F. Martínez,Sarmiento,MEIO-CAMPO,ARG1,-1.04,0.45,-1.73,-1.77,-1.88,-1.77,-0.87,20,61,11,7,9,18,17
S. Ortíz,Independiente,MEIO-CAMPO,ARG1,0.31,1.39,-0.84,-1.25,-1.6,-0.8,-0.45,59,80,34,18,19,40,43
I. Méndez,Vélez Sarsfield,MEIO-CAMPO,ARG1,-0.47,-0.79,-1.08,-1.22,-1.53,-1.03,-0.65,34,31,27,21,22,36,33
A. Cabrera,Banfield,MEIO-CAMPO,ARG1,0.6,1.55,-0.04,-0.76,-1.62,-1.25,-0.56,71,86,55,33,18,29,38
S. Quiroga,Sarmiento,MEIO-CAMPO,ARG1,-2.11,-0.92,-1.08,-0.9,0.36,-0.01,-0.16,3,27,26,26,66,58,57
I. Rodríguez,Banfield,MEIO-CAMPO,ARG1,-2.09,-1.46,-2.16,-0.55,-1.37,0.3,1.34,4,19,4,40,26,68,90
E. Roldán,Unión Santa Fe,MEIO-CAMPO,ARG1,-0.56,-0.62,-1.52,-0.25,0.18,-0.63,0.01,33,35,15,52,63,45,62
R. Loaiza,Lanús,MEIO-CAMPO,ARG1,-0.83,-0.7,-1.48,-1.63,-0.63,0.18,-0.57,24,34,15,9,39,64,36
B. Rivero,Arsenal,MEIO-CAMPO,ARG1,-0.08,-0.41,0.58,-0.17,-0.38,-1.24,-0.52,47,41,72,55,49,30,39
L. Boggio,Lanús,MEIO-CAMPO,ARG1,-0.78,-0.46,-1.02,-0.28,2.11,-0.54,0.4,26,39,28,50,90,47,72
B. Alemán,Al Batin,MEIO-CAMPO,ARG1,-1.31,-0.2,1.9,2.87,2.17,-0.46,-0.1,16,46,89,96,91,49,58
C. Medina,Boca Juniors,MEIO-CAMPO,ARG1,1.33,-0.88,-0.06,-0.07,0.56,2.07,0.64,93,28,54,56,70,85,77
F. Fattori,Huracán,MEIO-CAMPO,ARG1,0.25,-0.27,2.0,0.3,-1.58,-2.05,-0.88,58,45,90,66,20,5,16
A. Castro,Tigre,MEIO-CAMPO,ARG1,0.78,0.78,1.02,1.57,2.64,1.11,1.0,75,66,79,85,93,77,85
J. Gómez,Racing Club,MEIO-CAMPO,ARG1,-0.15,-1.24,-0.01,0.2,0.85,0.86,0.14,44,21,57,65,74,74,65
G. Fernández,Boca Juniors,MEIO-CAMPO,ARG1,0.76,-0.43,0.24,-0.39,0.05,0.46,-0.58,74,40,66,46,61,69,35
S. Hezze,Olympiacos Piraeus,MEIO-CAMPO,ARG1,0.38,0.9,0.42,0.17,-0.94,0.48,-0.64,63,69,67,64,35,70,34
F. Zuqui,Estudiantes,MEIO-CAMPO,ARG1,0.9,0.26,2.26,2.21,2.09,-0.42,-0.23,81,55,92,91,89,51,53
C. Arce,Barracas Central,MEIO-CAMPO,ARG1,-0.21,1.17,1.56,-0.58,-1.75,0.1,-0.94,41,75,87,39,15,61,9
A. Rodríguez,Argentinos Juniors,MEIO-CAMPO,ARG1,0.76,0.57,-0.98,0.37,0.81,0.9,0.41,74,64,29,67,74,75,74
G. Muscia,Arsenal,MEIO-CAMPO,ARG1,0.08,1.72,-0.44,-1.61,-1.97,-2.02,-0.87,53,89,45,11,8,7,18
J. Florentín,Vélez Sarsfield,MEIO-CAMPO,ARG1,0.24,0.98,-0.9,-1.06,-0.94,1.53,-0.39,56,70,32,24,34,81,47
C. Ferreira,Newell's Old Boys,MEIO-CAMPO,ARG1,-1.49,-2.73,0.16,-0.65,-0.3,2.06,0.9,13,4,63,35,53,85,82
F. Díaz,Platense,MEIO-CAMPO,ARG1,0.74,1.46,-0.2,-0.3,-1.0,-0.89,0.45,73,83,50,49,34,38,74
F. González,Argentinos Juniors,MEIO-CAMPO,ARG1,-1.49,-2.24,-1.18,-0.28,2.08,4.05,0.37,12,8,23,50,88,96,72
C. Sánchez,San Lorenzo,MEIO-CAMPO,ARG1,-1.99,-2.32,-2.44,-2.48,-2.2,-1.91,-1.0,5,7,2,1,1,9,7
N. Linares,Instituto,MEIO-CAMPO,ARG1,-1.05,-0.1,-1.86,-2.13,-1.88,-1.15,-0.66,19,49,8,3,10,31,31
L. Maciel,Central Córdoba SdE,MEIO-CAMPO,ARG1,-0.83,-0.59,-0.89,-0.58,-0.52,1.24,-0.93,25,36,33,38,43,79,10
A. Sánchez,Atlético Tucumán,MEIO-CAMPO,ARG1,0.48,1.33,-0.66,0.89,-0.03,-1.04,-0.2,64,79,42,77,59,35,55
B. Perlaza,Colón,MEIO-CAMPO,ARG1,-1.03,-0.4,-1.78,-1.91,0.17,0.29,-0.07,20,42,10,6,62,67,61
G. Acosta,Atlético Tucumán,MEIO-CAMPO,ARG1,-0.87,-1.09,0.13,-0.49,-0.39,-1.42,-0.71,23,24,62,44,48,27,28
L. Menossi,Tigre,MEIO-CAMPO,ARG1,0.51,-1.2,2.32,2.02,0.58,-0.36,-0.52,69,22,93,90,71,52,41
I. Gómez,Newell's Old Boys,MEIO-CAMPO,ARG1,0.15,1.18,-1.34,-0.59,-1.01,-1.09,0.24,55,76,19,36,33,34,69
J. Nardoni,Racing Club,MEIO-CAMPO,ARG1,0.54,0.01,-1.09,-0.81,-0.08,-0.19,-0.07,70,50,25,31,57,55,60
M. Luna Diale,Unión Santa Fe,MEIO-CAMPO,ARG1,-0.66,-0.13,-1.44,-0.18,1.16,2.19,1.0,30,48,18,54,80,88,85
S. Ascacíbar,Estudiantes,MEIO-CAMPO,ARG1,1.33,1.37,0.18,-0.03,-0.5,1.08,-0.72,92,80,64,57,44,76,26
N. Castro,Platense,MEIO-CAMPO,ARG1,-1.13,0.66,-1.15,0.17,-0.76,1.17,0.16,18,65,23,64,38,78,66
M. Pittón,Central Córdoba SdE,MEIO-CAMPO,ARG1,0.25,1.55,-0.72,-0.51,-0.3,-1.79,-0.28,57,85,42,43,52,16,51
J. Elías,San Lorenzo,MEIO-CAMPO,ARG1,-0.82,-2.09,1.48,0.98,-0.66,-0.76,-0.91,26,10,84,78,39,42,13
G. Lódico,Instituto,MEIO-CAMPO,ARG1,0.05,-0.91,1.55,2.32,0.43,-0.69,0.68,51,28,86,91,67,43,79
I. Tapia,Barracas Central,MEIO-CAMPO,ARG1,-1.9,-2.86,-0.79,0.51,1.22,1.54,-0.83,7,3,38,72,80,82,21
M. Godoy,Estudiantes,MEIO-CAMPO,ARG1,-0.61,-0.72,-3.54,0.12,2.8,4.52,3.29,31,33,1,62,94,99,99
L. Castro,Gimnasia La Plata,MEIO-CAMPO,ARG1,0.51,0.06,1.1,2.53,2.01,0.05,1.38,67,51,80,93,85,61,91
M. García,Belgrano,MEIO-CAMPO,ARG1,0.91,1.11,0.76,0.88,0.53,0.55,1.75,82,74,75,76,68,72,94
M. Lanzini,River Plate,MEIO-CAMPO,ARG1,2.31,-2.01,2.74,2.38,0.79,-0.24,1.84,96,12,95,92,73,53,95
W. Bou,Vélez Sarsfield,MEIO-CAMPO,ARG1,-1.36,-0.93,-2.27,-0.38,0.86,5.42,0.7,15,26,3,47,75,100,80
E. Cabrera,Vélez Sarsfield,MEIO-CAMPO,ARG1,-0.45,-0.72,0.03,-0.24,2.02,0.64,1.3,36,34,60,53,87,72,89
R. Bogarín,Defensa y Justicia,MEIO-CAMPO,ARG1,-1.8,-2.38,-1.15,-0.92,-0.41,0.19,-0.55,7,5,24,26,47,64,39
R. Botta,Colón,MEIO-CAMPO,ARG1,-0.76,-0.49,0.94,1.44,1.97,3.22,4.31,28,39,77,85,85,93,100
F. Watson,Lanús,MEIO-CAMPO,ARG1,-1.57,-2.07,-1.2,1.19,0.24,0.02,-0.02,9,12,22,80,64,58,61
A. Lescano,Argentinos Juniors,MEIO-CAMPO,ARG1,-1.54,-1.57,0.48,0.76,1.08,2.4,-0.18,10,18,70,74,78,89,56
V. Taborda,Boca Juniors,MEIO-CAMPO,ARG1,-0.3,-1.05,-0.96,-0.72,0.71,0.44,1.99,39,25,30,34,72,69,97
D. Barbona,Defensa y Justicia,MEIO-CAMPO,ARG1,-2.28,-3.19,0.96,2.84,3.74,1.4,0.07,2,2,78,96,98,80,64
A. Molinas,Tigre,MEIO-CAMPO,ARG1,-0.59,-2.16,0.47,3.18,2.04,0.76,0.78,32,9,69,98,88,74,81
S. Toloza,Independiente,MEIO-CAMPO,ARG1,-1.62,-2.7,-1.34,0.1,0.13,2.96,1.06,9,4,20,61,61,92,87
F. Colidio,River Plate,MEIO-CAMPO,ARG1,-1.3,-2.09,-0.53,0.47,3.01,4.51,1.43,17,11,44,70,95,98,91
J. Paradela,Tigre,MEIO-CAMPO,ARG1,0.97,-0.31,0.33,1.76,1.33,2.67,2.18,82,43,66,88,82,91,98
H. López Muñoz,Godoy Cruz,MEIO-CAMPO,ARG1,-0.23,-0.81,0.54,1.77,1.83,2.17,3.49,40,30,71,88,84,87,99
I. Fernández,River Plate,MEIO-CAMPO,ARG1,1.24,-1.37,2.55,2.73,6.87,4.42,0.65,89,20,93,95,100,97,78
B. Rollheiser,Estudiantes,MEIO-CAMPO,ARG1,0.52,-1.6,0.69,2.62,2.4,3.0,1.67,69,16,74,94,92,93,93
R. Garro,Talleres Córdoba,MEIO-CAMPO,ARG1,-0.1,-2.21,4.19,2.94,5.83,2.63,0.93,46,9,97,97,99,91,84
V. Malcorra,Rosario Central,MEIO-CAMPO,ARG1,-2.62,-3.77,-0.73,1.73,3.46,3.76,0.6,1,1,40,87,97,96,77
K. Mrabti,Mechelen,MEIO-CAMPO,BEL1,-1.59,-1.36,-0.97,-0.73,0.29,0.18,-1.18,10,21,35,33,63,63,8
O. El Azzouzi,Union Saint-Gilloise,MEIO-CAMPO,BEL1,0.39,0.07,-1.36,-1.6,-2.08,-2.05,-0.14,64,53,24,9,12,8,55
J. Jeggo,Eupen,MEIO-CAMPO,BEL1,0.47,2.78,-0.9,-2.28,-2.71,-2.41,-1.2,65,96,36,3,1,1,6
R. Morioka,Charleroi,MEIO-CAMPO,BEL1,1.45,1.46,1.07,0.11,1.72,0.77,-0.79,83,82,78,62,85,69,23
S. Lončar,Kortrijk,MEIO-CAMPO,BEL1,-1.03,0.11,-1.14,-0.85,-1.09,-1.73,0.27,22,54,31,29,31,18,67
J. Dom,OH Leuven,MEIO-CAMPO,BEL1,-1.87,0.13,-2.09,-1.64,-2.03,-0.36,-1.04,8,55,10,8,14,55,14
N. Raskin,Standard Liège,MEIO-CAMPO,BEL1,2.15,0.85,0.7,-0.11,2.08,-0.78,1.05,95,72,68,56,87,47,87
M. Keita,Antwerp,MEIO-CAMPO,BEL1,1.88,2.02,-1.35,-1.33,-1.25,-1.65,0.51,90,88,26,15,28,22,78
P. Gerkens,Antwerp,MEIO-CAMPO,BEL1,-1.77,-1.78,-0.77,-0.98,-0.73,-0.17,-1.27,9,14,37,23,36,60,4
S. Lahssaini,RFC Seraing,MEIO-CAMPO,BEL1,0.68,1.3,-1.43,-1.07,-2.68,-2.25,0.35,71,81,22,22,3,4,69
A. Diawara,Anderlecht,MEIO-CAMPO,BEL1,-0.39,-1.37,1.85,-0.59,-0.47,-1.74,-0.54,42,19,83,37,44,15,36
A. Yusuf,Antwerp,MEIO-CAMPO,BEL1,2.06,1.83,-0.03,-0.09,-1.99,-1.71,-0.05,92,87,56,58,17,19,58
B. Verstraete,Mechelen,MEIO-CAMPO,BEL1,0.07,0.7,-0.54,-0.32,-1.9,-1.33,-1.11,59,67,44,50,18,31,12
D. Lavalée,Mechelen,MEIO-CAMPO,BEL1,1.62,2.72,0.91,-0.94,-2.42,-1.89,-0.8,88,95,76,27,6,12,22
M. Konaté,Sint-Truiden,MEIO-CAMPO,BEL1,-0.94,-0.57,-1.91,-1.54,-2.05,-1.74,-0.29,24,42,12,13,13,17,44
C. Lepoint,RFC Seraing,MEIO-CAMPO,BEL1,-2.61,-0.91,-2.5,-2.32,-2.43,-0.98,-1.06,1,32,5,1,5,41,13
A. Vermeeren,Antwerp,MEIO-CAMPO,BEL1,-0.18,0.38,-0.74,-0.58,-0.6,-0.91,-0.63,51,59,38,40,40,45,33
R. Schoofs,Mechelen,MEIO-CAMPO,BEL1,-0.38,-1.09,0.37,0.8,1.55,2.66,0.38,45,26,63,74,82,87,72
F. Boya,Sint-Truiden,MEIO-CAMPO,BEL1,0.35,2.35,-2.1,-1.55,-2.01,-0.95,-0.09,62,92,9,12,15,42,56
R. Onyedika,Club Brugge,MEIO-CAMPO,BEL1,1.94,1.21,-0.15,-0.94,-2.26,-1.7,-0.8,91,79,54,24,9,21,19
N. Rommens,Zulte-Waregem,MEIO-CAMPO,BEL1,-0.91,-1.06,-1.15,-0.84,-0.09,-1.6,-1.16,28,27,29,31,54,26,9
S. Lynen,Union Saint-Gilloise,MEIO-CAMPO,BEL1,-0.38,0.22,0.54,-0.07,-0.39,-1.6,-1.02,44,56,65,59,46,24,15
B. Heynen,Genk,MEIO-CAMPO,BEL1,-1.39,0.06,-0.24,-0.19,0.86,3.68,-0.71,15,51,50,55,71,99,27
P. Hrošovský,Genk,MEIO-CAMPO,BEL1,0.86,1.18,0.76,0.15,-1.33,-1.13,-0.05,74,78,69,63,27,36,59
S. Tanaka,Kortrijk,MEIO-CAMPO,BEL1,-0.85,0.68,-2.36,-2.21,-2.27,-2.06,-0.98,29,65,6,4,8,6,17
C. Puertas,Union Saint-Gilloise,MEIO-CAMPO,BEL1,2.44,2.16,-1.46,-0.87,-0.28,2.84,1.94,97,90,19,28,50,90,94
A. Hosseinzadeh,Charleroi,MEIO-CAMPO,BEL1,-0.94,-0.93,-2.21,-0.53,0.75,1.56,1.01,23,31,8,45,69,78,86
S. Mvoué,RFC Seraing,MEIO-CAMPO,BEL1,-1.54,-1.5,-2.55,-1.94,-2.64,-1.41,-0.18,13,18,4,6,4,29,53
H. Keita,Kortrijk,MEIO-CAMPO,BEL1,0.84,1.75,0.86,-0.94,-0.7,-1.01,-0.19,73,86,74,26,37,40,51
A. Kadri,Kortrijk,MEIO-CAMPO,BEL1,1.22,0.75,-0.07,-0.29,0.17,1.51,2.91,79,69,55,51,55,76,100
Kenny Rocha Santos,Oostende,MEIO-CAMPO,BEL1,-0.77,-0.51,1.06,1.0,-1.68,-2.27,-0.76,31,45,77,78,22,3,26
H. Van der Bruggen,Cercle Brugge,MEIO-CAMPO,BEL1,-0.53,0.79,2.13,1.37,2.22,-1.62,-0.31,36,71,91,86,90,23,42
K. Arnstad,Anderlecht,MEIO-CAMPO,BEL1,-0.3,0.0,-1.38,-0.5,-0.16,0.26,0.68,49,50,23,46,53,65,81
A. Amade,Oostende,MEIO-CAMPO,BEL1,-0.52,1.47,-0.25,-1.07,-2.23,-1.86,-0.71,37,83,49,21,10,13,28
S. Dewaele,Oostende,MEIO-CAMPO,BEL1,0.25,2.91,0.85,0.31,-0.19,-1.81,-1.25,60,97,73,67,51,14,5
K. Malinov,OH Leuven,MEIO-CAMPO,BEL1,1.55,2.41,0.14,-1.21,-1.59,-2.06,-1.16,85,94,59,18,24,5,10
I. Christie-Davies,Eupen,MEIO-CAMPO,BEL1,-0.33,-0.62,-0.43,-0.36,-0.4,-1.1,-0.21,47,40,46,49,45,38,49
L. Refaelov,Anderlecht,MEIO-CAMPO,BEL1,-0.67,-2.51,2.05,1.72,3.4,2.08,0.93,33,4,88,91,95,82,85
V. Odjidja-Ofoe,Gent,MEIO-CAMPO,BEL1,1.19,-1.24,4.34,2.79,4.94,-0.26,1.06,78,23,99,95,100,58,88
C. McGeehan,Oostende,MEIO-CAMPO,BEL1,-1.57,-0.82,-0.49,-0.57,-0.5,3.58,-0.44,12,36,45,41,42,97,38
M. Cachbach,RFC Seraing,MEIO-CAMPO,BEL1,-0.92,-0.04,-1.17,-1.19,0.63,-2.01,0.07,26,49,28,19,67,9,62
M. Fixelles,Westerlo,MEIO-CAMPO,BEL1,0.74,0.53,0.09,0.52,-0.96,-0.26,0.45,72,63,58,72,32,56,76
M. Ashimeru,Anderlecht,MEIO-CAMPO,BEL1,0.65,-0.99,0.22,-0.2,0.89,-0.69,0.89,69,29,62,54,72,50,83
C. Vanhoutte,Cercle Brugge,MEIO-CAMPO,BEL1,1.04,4.07,0.76,0.4,1.0,-1.18,-0.22,77,100,71,68,76,35,47
