Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Apoio,Ataque,Último passe,Drible,Participação_percentil,Defesa_percentil,Apoio_percentil,Ataque_percentil,ùltimo_passe_percentil,Drible_percentil
R. Cabral,Argentinos Juniors,LATERAL,ARG1,-1.51,-3.6,-1.06,0.53,1.09,3.93,10.0,1.0,16.0,71.0,81.0,100.0
L. Montoya,Tigre,LATERAL,ARG1,1.2,0.18,-0.54,0.44,-1.12,0.74,83.0,57.0,35.0,68.0,23.0,85.0
J. Bay,Instituto,LATERAL,ARG1,-0.74,-0.33,-2.42,-0.84,0.69,-0.32,33.0,39.0,2.0,31.0,74.0,42.0
L. Sánchez,Argentinos Juniors,LATERAL,ARG1,1.75,1.08,-0.42,-0.07,-1.48,-0.88,92.0,79.0,40.0,50.0,18.0,19.0
C. Ibáñez,Huracán,LATERAL,ARG1,1.77,2.54,-0.72,-0.15,-1.89,-0.49,93.0,98.0,28.0,47.0,8.0,34.0
M. Ortega,Tigre,LATERAL,ARG1,0.8,-0.91,0.22,0.35,0.16,0.0,76.0,26.0,57.0,64.0,61.0,58.0
L. Gómez,Gimnasia La Plata,LATERAL,ARG1,-0.42,0.16,0.92,2.57,3.13,-0.22,39.0,56.0,85.0,96.0,96.0,48.0
M. Saracchi,Boca Juniors,LATERAL,ARG1,2.38,-0.18,0.77,-0.64,1.75,-0.12,98.0,43.0,83.0,39.0,88.0,51.0
M. Isla,Independiente,LATERAL,ARG1,-0.52,-2.53,-0.1,0.21,-1.14,-0.95,38.0,5.0,51.0,57.0,22.0,16.0
L. Rodríguez,Instituto,LATERAL,ARG1,-1.68,-0.58,-0.83,1.45,-1.31,-1.42,7.0,32.0,24.0,89.0,20.0,2.0
G. Compagnucci,U Craiova 1948,LATERAL,ARG1,-1.97,-2.64,-0.41,0.44,0.56,0.16,2.0,3.0,42.0,67.0,73.0,66.0
A. Sández,Rosario Central,LATERAL,ARG1,-0.75,-0.53,-0.43,-2.35,-2.6,0.03,31.0,34.0,39.0,1.0,1.0,60.0
L. Esquivel,Athletico Paranaense,LATERAL,ARG1,0.64,1.65,1.45,0.58,-0.27,0.09,72.0,88.0,90.0,73.0,47.0,62.0
L. Jara,Vélez Sarsfield,LATERAL,ARG1,0.46,1.33,-0.3,-1.48,-0.74,-0.63,66.0,83.0,43.0,12.0,35.0,25.0
S. Simón,River Plate,LATERAL,ARG1,3.93,-0.03,2.13,2.81,0.53,0.22,100.0,48.0,95.0,97.0,72.0,68.0
T. Escalante,Defensa y Justicia,LATERAL,ARG1,0.17,0.1,-0.86,0.6,3.27,-1.17,57.0,53.0,22.0,74.0,97.0,9.0
M. Herrera,River Plate,LATERAL,ARG1,1.9,1.96,0.35,1.84,-0.0,-1.19,96.0,92.0,62.0,92.0,55.0,8.0
L. Diarte,Belgrano,LATERAL,ARG1,-1.04,0.23,-0.97,-0.3,-1.15,-1.24,25.0,60.0,19.0,43.0,21.0,5.0
H. De La Fuente,Atlético Tucumán,LATERAL,ARG1,0.25,0.9,-0.72,-1.94,-2.15,-0.0,60.0,76.0,29.0,4.0,7.0,56.0
E. Mancuso,Estudiantes,LATERAL,ARG1,1.36,0.93,-0.74,0.77,0.48,0.0,86.0,77.0,27.0,80.0,70.0,57.0
R. Lozano,Platense,LATERAL,ARG1,-0.39,0.74,0.26,1.12,-0.51,-0.85,41.0,71.0,58.0,86.0,39.0,21.0
B. Barros Schelotto,Gimnasia La Plata,LATERAL,ARG1,-1.13,-1.33,-1.3,0.99,0.41,-1.02,22.0,19.0,7.0,83.0,69.0,12.0
B. Pittón,Newell's Old Boys,LATERAL,ARG1,0.21,-0.92,0.42,-0.67,0.36,-1.03,59.0,25.0,70.0,36.0,67.0,11.0
V. Barco,Boca Juniors,LATERAL,ARG1,1.89,-1.1,2.88,2.95,4.53,2.62,95.0,24.0,100.0,98.0,99.0,99.0
M. Benítez,Central Córdoba SdE,LATERAL,ARG1,-0.17,-1.95,-0.74,0.87,-1.1,-0.89,49.0,10.0,26.0,81.0,24.0,17.0
M. Melluso,Pafos,LATERAL,ARG1,1.31,5.72,0.28,0.94,0.4,-0.26,85.0,100.0,59.0,82.0,68.0,45.0
D. Cáceres,Defensa y Justicia,LATERAL,ARG1,-0.31,-0.79,1.74,0.45,-0.48,-0.42,42.0,28.0,92.0,69.0,43.0,40.0
N. Tripichio,Defensa y Justicia,LATERAL,ARG1,1.73,1.89,-0.6,-0.94,1.52,-0.08,91.0,90.0,34.0,26.0,86.0,53.0
J. Gómez,Central Córdoba SdE,LATERAL,ARG1,0.08,0.86,-1.41,-0.69,-1.85,-0.85,55.0,75.0,6.0,35.0,9.0,20.0
J. García,Vélez Sarsfield,LATERAL,ARG1,0.13,0.2,-1.19,-0.89,-1.77,-0.71,56.0,58.0,10.0,29.0,11.0,24.0
M. Romero,Instituto,LATERAL,ARG1,-1.08,0.65,-1.06,-1.36,-1.66,-0.8,24.0,68.0,17.0,16.0,12.0,23.0
D. Pérez,Independiente,LATERAL,ARG1,-0.07,0.41,1.78,0.77,-0.4,-0.18,53.0,64.0,93.0,79.0,44.0,50.0
M. Garay,Tigre,LATERAL,ARG1,1.66,-0.33,0.59,0.53,3.28,0.23,89.0,38.0,76.0,70.0,98.0,70.0
N. Colazo,Gimnasia La Plata,LATERAL,ARG1,-1.65,-1.16,-1.12,0.06,-0.17,-1.21,8.0,23.0,14.0,55.0,53.0,6.0
M. Barcia,Independiente,LATERAL,ARG1,0.43,1.7,-0.74,-0.4,1.0,2.33,65.0,89.0,25.0,42.0,79.0,98.0
Elías Gómez,Vélez Sarsfield,LATERAL,ARG1,-0.96,-1.75,-0.1,0.55,-0.26,-0.04,26.0,14.0,52.0,72.0,48.0,55.0
F. Fabra,Boca Juniors,LATERAL,ARG1,0.92,-2.06,2.75,1.55,0.89,0.28,78.0,9.0,99.0,91.0,78.0,71.0
M. Weigandt,Boca Juniors,LATERAL,ARG1,0.58,-1.24,-0.69,-1.65,1.07,0.32,70.0,21.0,31.0,9.0,80.0,73.0
Á. Martino,Newell's Old Boys,LATERAL,ARG1,-0.4,0.13,0.76,-0.73,-0.31,0.6,40.0,55.0,81.0,33.0,46.0,82.0
J. Meli,Central Córdoba SdE,LATERAL,ARG1,0.18,1.37,-0.89,-1.4,-1.65,-0.22,58.0,85.0,20.0,15.0,14.0,47.0
J. Mosquera,Newell's Old Boys,LATERAL,ARG1,0.85,-0.27,-0.25,-0.91,-0.06,-0.31,77.0,41.0,45.0,28.0,54.0,43.0
T. Guidara,Vélez Sarsfield,LATERAL,ARG1,0.77,0.94,-0.29,-1.26,-1.57,0.47,74.0,78.0,44.0,17.0,15.0,80.0
G. Cerato,Instituto,LATERAL,ARG1,1.04,0.81,0.31,2.34,-0.4,-1.5,81.0,74.0,60.0,94.0,45.0,1.0
J. Sánchez Miño,Lanús,LATERAL,ARG1,0.57,0.37,0.75,0.34,0.23,-0.23,69.0,61.0,80.0,62.0,65.0,46.0
G. Soto,Baltika,LATERAL,ARG1,-0.14,0.02,0.33,0.3,-0.82,0.34,50.0,50.0,61.0,61.0,33.0,74.0
A. Méndez,Newell's Old Boys,LATERAL,ARG1,-0.88,-1.28,2.14,-0.15,-0.48,2.33,27.0,20.0,96.0,48.0,42.0,97.0
G. Luján,San Lorenzo,LATERAL,ARG1,-1.38,-0.39,-2.61,-0.75,-1.33,-0.6,15.0,35.0,1.0,32.0,19.0,27.0
L. Blondel,Boca Juniors,LATERAL,ARG1,2.03,2.42,1.39,2.54,0.18,0.31,97.0,97.0,88.0,95.0,62.0,72.0
L. Advíncula,Boca Juniors,LATERAL,ARG1,-0.2,-1.63,0.48,1.06,1.85,0.11,48.0,15.0,72.0,85.0,89.0,64.0
E. Más,Colón,LATERAL,ARG1,-1.47,-1.62,-1.12,0.24,-0.2,-1.41,11.0,16.0,12.0,58.0,51.0,3.0
A. Giay,San Lorenzo,LATERAL,ARG1,-0.08,0.37,-1.08,-1.19,-1.84,1.33,52.0,62.0,15.0,20.0,10.0,89.0
J. Franco,Instituto,LATERAL,ARG1,-0.84,0.22,-1.24,-1.78,-2.2,0.35,29.0,59.0,8.0,5.0,6.0,75.0
A. Ibacache,Belgrano,LATERAL,ARG1,-1.68,-2.46,0.39,-1.23,-1.5,-0.55,6.0,6.0,66.0,19.0,16.0,31.0
F. Mura,Racing Club,LATERAL,ARG1,0.51,-0.64,-0.87,-0.07,-0.19,-1.08,68.0,31.0,21.0,51.0,52.0,10.0
N. Morgantini,Platense,LATERAL,ARG1,-1.23,0.05,-1.54,-1.54,-0.87,-0.48,19.0,51.0,5.0,10.0,30.0,35.0
J. Infante,Platense,LATERAL,ARG1,-0.52,0.57,-0.98,-1.67,-2.23,-0.08,36.0,66.0,18.0,8.0,5.0,52.0
T. Galdames,Godoy Cruz,LATERAL,ARG1,-1.21,-0.06,-1.13,-0.55,-0.2,-1.01,20.0,47.0,11.0,41.0,49.0,14.0
S. Corda,Instituto,LATERAL,ARG1,-1.25,-1.24,-0.11,-0.27,0.07,0.05,16.0,22.0,49.0,44.0,58.0,61.0
B. Blasi,Central Córdoba SdE,LATERAL,ARG1,-1.69,-0.29,-1.81,-1.68,-2.41,-1.35,5.0,40.0,3.0,7.0,2.0,4.0
G. Enrique,Gimnasia La Plata,LATERAL,ARG1,-0.85,2.05,-0.42,-1.24,0.33,2.13,28.0,93.0,41.0,18.0,66.0,96.0
G. Benedetti,Estudiantes,LATERAL,ARG1,1.07,1.11,-0.23,0.3,-1.0,-0.53,82.0,80.0,47.0,60.0,27.0,32.0
F. Ortega,Olympiacos Piraeus,LATERAL,ARG1,1.0,-0.1,0.42,-1.1,-0.5,1.99,79.0,45.0,69.0,22.0,41.0,94.0
B. Aguirre,Lanús,LATERAL,ARG1,-0.75,-0.26,0.68,-0.87,-0.0,0.54,32.0,42.0,78.0,30.0,56.0,81.0
J. Cabrera,Argentinos Juniors,LATERAL,ARG1,-0.25,-2.39,0.61,4.47,5.02,1.11,45.0,7.0,77.0,100.0,100.0,88.0
A. Sant'Anna,Defensa y Justicia,LATERAL,ARG1,0.51,1.93,0.36,-0.7,2.11,-0.46,67.0,91.0,65.0,34.0,91.0,36.0
E. Meza,Colón,LATERAL,ARG1,-0.76,-0.34,2.21,1.2,2.75,1.33,30.0,36.0,97.0,88.0,94.0,90.0
M. Peinipil,Barracas Central,LATERAL,ARG1,-2.1,-2.54,0.02,-0.93,-1.03,-0.62,1.0,4.0,55.0,27.0,26.0,26.0
J. Barinaga,Belgrano,LATERAL,ARG1,-0.11,1.23,-0.7,0.05,0.12,0.69,51.0,82.0,30.0,53.0,60.0,84.0
R. Insúa,Barracas Central,LATERAL,ARG1,-1.25,-1.36,-0.09,0.38,1.38,0.36,17.0,18.0,53.0,65.0,83.0,76.0
S. Montiel,Argentinos Juniors,LATERAL,ARG1,-1.17,-1.79,0.39,-0.18,2.39,1.76,21.0,12.0,67.0,46.0,93.0,93.0
J. Portillo,Talleres Córdoba,LATERAL,ARG1,1.86,2.15,0.49,-0.96,-2.23,-0.45,94.0,95.0,73.0,24.0,4.0,38.0
G. Rojas,Racing Club,LATERAL,ARG1,-0.23,-1.53,0.0,0.13,0.51,0.23,46.0,17.0,54.0,56.0,71.0,69.0
R. Delgado,Colón,LATERAL,ARG1,0.28,2.09,0.76,0.64,0.81,-0.41,62.0,94.0,82.0,75.0,76.0,41.0
A. Costa,Independiente,LATERAL,ARG1,1.25,2.7,-0.24,-0.2,0.06,-0.6,84.0,99.0,46.0,45.0,57.0,28.0
S. Marcich,Platense,LATERAL,ARG1,-1.39,-0.57,-1.7,-0.95,-0.55,-0.28,14.0,33.0,4.0,25.0,38.0,44.0
M. Casco,River Plate,LATERAL,ARG1,1.71,-1.88,2.11,4.27,2.16,-0.88,90.0,11.0,94.0,99.0,92.0,18.0
G. Díaz,Sarmiento,LATERAL,ARG1,-1.7,-0.06,-0.62,-0.64,-0.82,-0.59,4.0,46.0,33.0,40.0,32.0,29.0
E. Díaz,River Plate,LATERAL,ARG1,2.7,1.37,0.68,0.65,1.41,-0.07,99.0,84.0,79.0,76.0,84.0,54.0
S. Prieto,Tigre,LATERAL,ARG1,0.79,0.01,0.4,1.04,-0.65,0.17,75.0,49.0,68.0,84.0,36.0,67.0
J. Cáceres,Lanús,LATERAL,ARG1,1.58,2.4,-0.67,-0.07,1.49,-0.18,88.0,96.0,32.0,49.0,85.0,49.0
L. Godoy,Estudiantes,LATERAL,ARG1,-1.93,-3.34,-0.45,0.25,3.1,0.37,3.0,2.0,38.0,59.0,95.0,77.0
G. Benítez,Huracán,LATERAL,ARG1,0.06,0.61,-0.84,-1.13,-0.2,0.01,54.0,67.0,23.0,21.0,50.0,59.0
K. Zenón,Unión Santa Fe,LATERAL,ARG1,-1.08,-2.1,2.26,2.23,2.03,2.1,23.0,8.0,98.0,93.0,90.0,95.0
A. Soto,Defensa y Justicia,LATERAL,ARG1,0.26,0.71,0.35,-1.01,0.07,-0.57,61.0,70.0,64.0,23.0,59.0,30.0
L. Souto,Huracán,LATERAL,ARG1,-0.72,-0.66,0.11,-2.08,-0.8,0.4,34.0,30.0,56.0,3.0,34.0,79.0
F. Vera,Unión Santa Fe,LATERAL,ARG1,0.34,0.68,-0.2,-1.68,-1.0,0.83,64.0,69.0,48.0,6.0,28.0,86.0
G. Bettini,Sarmiento,LATERAL,ARG1,-1.51,0.13,-0.11,0.74,-0.9,-1.19,9.0,54.0,50.0,77.0,29.0,7.0
E. Insúa,Banfield,LATERAL,ARG1,-0.3,1.49,0.9,-1.47,-1.48,1.71,43.0,86.0,84.0,14.0,17.0,92.0
D. Martínez,Rosario Central,LATERAL,ARG1,-1.42,-0.76,-1.22,-2.29,-2.32,-0.44,12.0,29.0,9.0,2.0,3.0,39.0
E. Coronel,Banfield,LATERAL,ARG1,-0.21,0.55,0.97,0.01,-0.51,0.37,47.0,65.0,86.0,52.0,40.0,78.0
A. Spörle,Arsenal,LATERAL,ARG1,1.04,0.78,1.57,-0.65,-1.07,0.62,80.0,72.0,91.0,38.0,25.0,83.0
A. Rodríguez,Rosario Central,LATERAL,ARG1,-1.24,-0.9,0.44,0.75,0.84,-0.96,18.0,27.0,71.0,78.0,77.0,15.0
L. Arce,Godoy Cruz,LATERAL,ARG1,0.77,0.78,0.55,0.06,0.22,-0.52,73.0,73.0,74.0,54.0,64.0,33.0
M. Braida,San Lorenzo,LATERAL,ARG1,0.63,1.13,0.56,1.45,1.22,1.68,71.0,81.0,75.0,90.0,82.0,91.0
M. Orihuela,Atlético Tucumán,LATERAL,ARG1,-0.65,0.08,-0.46,-1.53,-0.85,0.11,35.0,52.0,36.0,11.0,31.0,65.0
G. Benavídez,Talleres Córdoba,LATERAL,ARG1,-0.28,-0.12,1.43,0.41,0.74,-0.82,44.0,44.0,89.0,66.0,75.0,22.0
M. N'Diaye,Anderlecht,LATERAL,BEL1,2.19,2.09,1.66,-1.15,-0.93,0.24,95.0,97.0,97.0,22.0,34.0,72.0
N. Bitumazala,Eupen,LATERAL,BEL1,-2.27,-3.06,-1.36,-2.39,-2.2,0.08,2.0,5.0,9.0,2.0,5.0,69.0
R. Decostere,Cercle Brugge,LATERAL,BEL1,-2.15,-0.18,-0.85,-1.5,-2.25,-1.14,3.0,38.0,17.0,10.0,3.0,5.0
J. Barrett Laursen,Standard Liège,LATERAL,BEL1,-0.71,-1.5,-0.71,-0.17,-2.4,-0.62,31.0,16.0,22.0,50.0,2.0,31.0
Núrio Fortuna,Gent,LATERAL,BEL1,1.24,1.94,-0.76,-0.56,-1.47,-1.02,79.0,95.0,21.0,33.0,19.0,12.0
A. Preciado,Genk,LATERAL,BEL1,0.79,0.9,0.56,1.99,3.15,0.89,71.0,74.0,72.0,93.0,95.0,84.0
K. Sardella,Anderlecht,LATERAL,BEL1,0.85,-0.9,0.52,0.62,-0.91,-1.06,72.0,28.0,71.0,71.0,36.0,10.0
B. Bolingoli,Mechelen,LATERAL,BEL1,1.8,1.61,0.46,0.11,-1.76,-0.4,91.0,88.0,67.0,60.0,12.0,38.0
R. D'Haese,Oostende,LATERAL,BEL1,-0.54,1.19,-0.64,-0.31,-0.54,-0.27,38.0,79.0,24.0,45.0,48.0,57.0
O. Sych,Kortrijk,LATERAL,BEL1,-0.29,1.89,-1.14,-0.54,-1.85,-0.22,48.0,91.0,16.0,36.0,10.0,59.0
M. Bruno,Kortrijk,LATERAL,BEL1,-0.48,-0.59,-0.56,-0.4,1.97,0.65,41.0,33.0,29.0,43.0,91.0,81.0
F. Melegoni,Standard Liège,LATERAL,BEL1,0.38,0.3,-0.5,-0.15,-0.43,-0.03,59.0,57.0,36.0,53.0,52.0,66.0
T. Ndicka,Oostende,LATERAL,BEL1,-1.92,-1.58,-1.3,-0.88,-0.94,-0.38,10.0,14.0,10.0,26.0,33.0,41.0
O. Drambaev,Zulte-Waregem,LATERAL,BEL1,-0.44,0.6,0.0,-1.81,-1.08,-0.07,43.0,64.0,52.0,5.0,31.0,64.0
S. Vines,Antwerp,LATERAL,BEL1,-0.19,-2.86,-0.59,-0.76,-0.21,-0.94,50.0,9.0,26.0,28.0,57.0,16.0
A. Koita,Sint-Truiden,LATERAL,BEL1,-0.48,-0.11,0.48,-0.68,-0.73,2.88,40.0,40.0,69.0,31.0,41.0,100.0
E. Bocat,Sint-Truiden,LATERAL,BEL1,-1.28,0.09,0.99,-1.19,-0.57,1.23,24.0,48.0,83.0,21.0,45.0,88.0
H. Siquet,Cercle Brugge,LATERAL,BEL1,-1.4,0.55,-0.34,2.94,1.64,-0.6,21.0,60.0,41.0,97.0,88.0,33.0
G. Ávila,Antwerp,LATERAL,BEL1,2.63,1.91,0.64,-0.16,-1.16,-0.99,100.0,93.0,76.0,52.0,26.0,14.0
J. Tchatchoua,Charleroi,LATERAL,BEL1,-1.02,-1.04,0.02,-1.1,0.44,-0.32,26.0,22.0,53.0,24.0,69.0,48.0
J. Van Hecke,Mechelen,LATERAL,BEL1,1.92,0.9,-1.17,-1.42,-2.14,-1.1,93.0,72.0,14.0,14.0,7.0,7.0
A. Skov Olsen,Club Brugge,LATERAL,BEL1,-1.49,-3.85,1.06,3.58,6.49,2.21,17.0,2.0,84.0,100.0,100.0,95.0
E. Jordanov,Westerlo,LATERAL,BEL1,1.08,0.09,0.9,0.03,-1.13,0.45,76.0,47.0,79.0,57.0,29.0,76.0
A. van Hoorenbeeck,Mechelen,LATERAL,BEL1,0.57,0.23,-0.51,-1.43,-1.57,-1.26,66.0,53.0,33.0,12.0,14.0,2.0
Clinton Mata,Club Brugge,LATERAL,BEL1,1.56,0.74,1.18,2.52,0.23,0.38,86.0,69.0,88.0,95.0,62.0,74.0
M. Fossey,Standard Liège,LATERAL,BEL1,-1.62,-0.73,-0.07,-0.21,-0.58,-0.31,12.0,31.0,48.0,47.0,43.0,52.0
H. Mendyl,OH Leuven,LATERAL,BEL1,-1.42,-0.8,-0.52,-1.21,0.31,-0.33,19.0,29.0,31.0,19.0,66.0,45.0
J. Mansoni,RFC Seraing,LATERAL,BEL1,-0.68,1.58,-0.46,-2.08,-1.55,1.12,33.0,84.0,38.0,3.0,16.0,86.0
M. Poaty,RFC Seraing,LATERAL,BEL1,-1.98,-1.44,1.36,0.44,-1.2,0.15,7.0,17.0,95.0,67.0,24.0,71.0
K. Nkuba,Charleroi,LATERAL,BEL1,-0.4,-0.29,-0.32,0.7,1.01,1.37,45.0,34.0,43.0,76.0,74.0,90.0
A. Ciranni,Zulte-Waregem,LATERAL,BEL1,-0.32,-0.05,-0.58,1.19,0.27,-0.64,47.0,43.0,28.0,88.0,64.0,29.0
S. Walsh,Mechelen,LATERAL,BEL1,-1.97,-2.02,-1.61,-1.69,-1.26,-1.24,9.0,12.0,5.0,9.0,22.0,3.0
R. De Laet,Antwerp,LATERAL,BEL1,0.46,-1.2,0.18,-0.44,-0.43,-0.64,62.0,19.0,59.0,41.0,53.0,28.0
A. Castro-Montes,Gent,LATERAL,BEL1,2.47,1.75,1.91,3.36,1.51,0.58,98.0,90.0,98.0,98.0,84.0,78.0
R. Charles-Cook,Eupen,LATERAL,BEL1,-1.01,-1.08,-0.36,-0.71,0.07,0.6,28.0,21.0,40.0,29.0,60.0,79.0
D. Odoi,Club Brugge,LATERAL,BEL1,2.21,0.85,0.39,0.31,-1.93,-0.87,97.0,71.0,66.0,66.0,9.0,19.0
N. Miroshi,Zulte-Waregem,LATERAL,BEL1,0.88,1.59,-0.22,1.04,-1.14,-1.08,74.0,86.0,47.0,86.0,28.0,9.0
S. Adingra,Union Saint-Gilloise,LATERAL,BEL1,-2.08,-3.44,0.66,1.0,3.73,1.72,5.0,3.0,78.0,84.0,97.0,91.0
K. D'Haene,Kortrijk,LATERAL,BEL1,-1.51,-3.01,-0.23,1.0,-0.13,-0.7,16.0,7.0,45.0,83.0,59.0,24.0
Y. Van Genechten,Eupen,LATERAL,BEL1,-1.52,0.31,-1.61,-1.32,-0.78,-0.68,14.0,59.0,3.0,16.0,40.0,26.0
B. Reynolds,Westerlo,LATERAL,BEL1,0.76,0.11,0.61,-0.47,-0.56,-0.27,69.0,50.0,74.0,40.0,47.0,53.0
M. Samoise,Gent,LATERAL,BEL1,1.59,0.58,1.1,-0.04,0.33,-0.32,88.0,62.0,86.0,55.0,67.0,47.0
M. Murillo,Anderlecht,LATERAL,BEL1,-0.19,-0.06,0.24,0.54,2.01,-0.11,52.0,41.0,60.0,69.0,93.0,60.0
J. Bataille,Antwerp,LATERAL,BEL1,1.18,-0.02,1.31,0.03,0.85,-0.42,78.0,45.0,93.0,59.0,71.0,36.0
T. Sakamoto,Oostende,LATERAL,BEL1,-0.66,1.1,-0.85,0.24,1.74,0.82,34.0,78.0,19.0,64.0,90.0,83.0
J. Davidson,Eupen,LATERAL,BEL1,0.52,-0.2,1.24,0.89,-1.55,-0.73,64.0,36.0,91.0,78.0,17.0,22.0
A. Fadera,Zulte-Waregem,LATERAL,BEL1,0.71,1.06,0.08,-1.23,1.17,2.17,67.0,76.0,55.0,17.0,79.0,93.0
B. Nieuwkoop,Union Saint-Gilloise,LATERAL,BEL1,-0.57,0.27,-1.36,-0.19,-0.83,-0.92,36.0,55.0,7.0,48.0,38.0,17.0
D. Hashioka,Sint-Truiden,LATERAL,BEL1,0.44,1.21,-0.51,0.17,-0.54,-0.0,60.0,81.0,34.0,62.0,50.0,67.0
B. Meijer,Club Brugge,LATERAL,BEL1,0.32,-0.97,0.25,0.65,1.2,-0.38,57.0,24.0,62.0,72.0,81.0,43.0
L. Lapoussin,Union Saint-Gilloise,LATERAL,BEL1,1.36,0.67,1.2,1.79,1.48,2.43,81.0,67.0,90.0,91.0,83.0,98.0
L. Patris,OH Leuven,LATERAL,BEL1,1.45,3.48,0.0,-1.7,-0.38,-0.49,84.0,100.0,50.0,7.0,55.0,34.0
O. Deman,Cercle Brugge,LATERAL,BEL1,-0.1,2.09,-1.25,0.93,1.61,-0.09,53.0,98.0,12.0,79.0,86.0,62.0
A. Dønnum,Standard Liège,LATERAL,BEL1,-0.72,-2.07,0.14,1.24,4.17,2.41,29.0,10.0,57.0,90.0,98.0,97.0
T. Somers,Cercle Brugge,LATERAL,BEL1,-1.3,0.21,-2.27,-0.54,0.99,-0.31,22.0,52.0,2.0,38.0,72.0,50.0
D. Muñoz,Genk,LATERAL,BEL1,1.74,1.49,2.22,0.69,1.03,-0.74,90.0,83.0,100.0,74.0,76.0,21.0
G. Arteaga,Genk,LATERAL,BEL1,0.25,-0.97,0.32,-0.55,-1.43,-0.39,55.0,26.0,64.0,34.0,21.0,40.0
M. De Cuyper,Westerlo,LATERAL,BEL1,1.36,0.63,0.97,0.98,1.17,-0.27,83.0,66.0,81.0,81.0,78.0,55.0
João Lucas,Santos,LATERAL,BRA1,-1.28,-0.3,-1.22,-1.42,-1.62,-1.15,14.0,43.0,14.0,11.0,12.0,5.0
Daniel Borges,América Mineiro,LATERAL,BRA1,0.2,0.72,0.02,1.18,0.1,-0.7,54.0,69.0,58.0,78.0,54.0,29.0
Paulo Henrique,Vasco da Gama,LATERAL,BRA1,1.58,1.6,0.67,0.26,0.28,2.03,91.0,88.0,78.0,63.0,58.0,94.0
Fábio,Grêmio,LATERAL,BRA1,0.41,0.93,-0.23,1.36,-0.41,-1.05,65.0,78.0,40.0,83.0,45.0,9.0
Vitor Jacaré,Bahia,LATERAL,BRA1,0.67,1.45,0.14,1.41,0.42,1.83,75.0,83.0,62.0,85.0,63.0,92.0
Vanderlan,Palmeiras,LATERAL,BRA1,-1.42,0.11,-1.42,-0.8,1.37,0.47,11.0,58.0,8.0,38.0,85.0,77.0
Welington,São Paulo,LATERAL,BRA1,-0.37,-1.57,0.97,1.57,-0.41,2.65,40.0,17.0,85.0,86.0,48.0,100.0
Khellven,CSKA Moskva,LATERAL,BRA1,-2.46,-1.23,-0.96,-0.62,3.45,-0.73,5.0,22.0,23.0,42.0,98.0,26.0
Kevyson,Santos,LATERAL,BRA1,-0.5,0.03,-0.68,-1.08,-1.22,2.47,37.0,55.0,31.0,26.0,25.0,98.0
Dieguinho,Goiás,LATERAL,BRA1,-0.32,-0.73,0.94,-1.06,-0.26,1.14,42.0,35.0,82.0,29.0,49.0,86.0
Luan Cândido,Red Bull Bragantino,LATERAL,BRA1,0.21,0.9,-0.96,-1.67,-1.57,-0.67,55.0,77.0,22.0,8.0,14.0,31.0
Nathan,São Paulo,LATERAL,BRA1,1.14,-0.84,1.38,-1.97,-1.96,-0.43,85.0,31.0,89.0,5.0,8.0,42.0
C. Cándido,Bahia,LATERAL,BRA1,-0.87,-1.04,-1.23,0.06,1.47,-0.76,20.0,28.0,12.0,55.0,86.0,25.0
Marcos Rocha,Palmeiras,LATERAL,BRA1,2.03,-1.05,1.52,1.32,0.09,-0.61,95.0,25.0,91.0,80.0,52.0,34.0
Rodriguinho,América Mineiro,LATERAL,BRA1,0.8,0.12,-0.21,2.23,3.52,0.71,78.0,60.0,43.0,92.0,100.0,78.0
Marcelo,Fluminense,LATERAL,BRA1,1.49,-2.08,2.08,4.63,3.18,1.35,89.0,8.0,95.0,100.0,97.0,89.0
Gabriel Inocêncio,Santos,LATERAL,BRA1,0.47,1.36,-0.09,-1.18,-2.76,0.9,68.0,82.0,49.0,20.0,3.0,83.0
Rubens,Atlético Mineiro,LATERAL,BRA1,2.62,4.01,-0.94,-1.62,-1.76,-0.1,100.0,100.0,25.0,9.0,9.0,57.0
Mádson,Athletico Paranaense,LATERAL,BRA1,-2.94,-1.6,-2.26,-1.36,2.9,-0.84,2.0,15.0,2.0,14.0,95.0,22.0
Hugo,Goiás,LATERAL,BRA1,-1.15,0.61,-0.98,-0.54,0.8,-1.01,15.0,68.0,20.0,43.0,72.0,11.0
Hugo,Botafogo,LATERAL,BRA1,0.49,1.54,0.03,-0.23,-0.41,-0.54,71.0,86.0,60.0,48.0,43.0,38.0
Aderlan,Red Bull Bragantino,LATERAL,BRA1,2.1,2.51,-0.11,0.55,0.88,-0.41,97.0,94.0,46.0,69.0,75.0,48.0
Dodô,Santos,LATERAL,BRA1,-0.47,-0.22,-0.02,-1.35,-1.43,-0.9,38.0,48.0,55.0,15.0,18.0,15.0
Guga,Fluminense,LATERAL,BRA1,0.45,-1.15,-0.71,-1.06,0.69,-0.85,66.0,23.0,28.0,28.0,66.0,18.0
Diogo Barbosa,Fluminense,LATERAL,BRA1,-0.52,-1.94,0.43,-0.83,1.13,-0.0,35.0,9.0,71.0,34.0,80.0,58.0
Victor Luís,Coritiba,LATERAL,BRA1,-1.55,-0.39,-0.7,-0.81,-1.14,-0.89,9.0,42.0,29.0,37.0,31.0,17.0
