,Atleta,Equipe Janela Análise,Idade,Liga,Posição
2289,A. Aleo,Boyacá Chicó,25,COL,LATERAL
2290,Á. Angulo,Atlético Nacional,26,COL,LATERAL
2291,A. Correa,La Equidad,29,COL,LATERAL
2292,A. Guerrero,Unión Magdalena,22,COL,LATERAL
2293,A. Gutiérrez,Deportivo Cali,25,COL,LATERAL
2294,A. Rivera,Atlético Huila,28,COL,LATERAL
2295,B. Correa,Unión Magdalena,30,COL,LATERAL
2296,B. Montaño,Deportivo Cali,21,COL,LATERAL
2297,C. Arboleda,Águilas Doradas,37,COL,LATERAL
2298,C. Flórez,Atlético Bucaramanga,28,COL,LATERAL
2299,C. Mafla,Deportivo Pasto,30,COL,LATERAL
2300,C. Pájaro,Jaguares de Córdoba,25,COL,LATERAL
2301,C. Subero,Atlético Bucaramanga,32,COL,LATERAL
2302,D. Alfonzo,Boyacá Chicó,23,COL,LATERAL
2303,D. Banguero,Águilas Doradas,34,COL,LATERAL
2304,D. Delgado,Atlético Huila,31,COL,LATERAL
2305,D. Gómez,Atlético Bucaramanga,35,COL,LATERAL
2306,D. Londoño,Medellín,28,COL,LATERAL
2307,D. Mosquera,Santa Fe,31,COL,LATERAL
2308,E. Banguero,Boyacá Chicó,22,COL,LATERAL
2309,E. Herrera,Junior,25,COL,LATERAL
2310,E. Mena,América de Cali,26,COL,LATERAL
2311,E. Moreno,Deportivo Pereira,21,COL,LATERAL
2312,E. Navarro,Alianza Petrolera,24,COL,LATERAL
2313,É. Ocampo,Atlético Nacional,20,COL,LATERAL
2314,E. Perlaza,Millonarios,34,COL,LATERAL
2315,E. Velasco,América de Cali,32,COL,LATERAL
2316,F. Delgado,Santa Fe,24,COL,LATERAL
2317,F. Román,Atlético Nacional,28,COL,LATERAL
2318,F. Viáfara,Santa Fe,31,COL,LATERAL
2319,G. Fuentes,Junior,26,COL,LATERAL
2320,I. Alba,Deportivo Pasto,28,COL,LATERAL
2321,J. Angulo,Unión Magdalena,35,COL,LATERAL
2322,J. Arboleda,Tolima,34,COL,LATERAL
2323,J. Cardona,Once Caldas,24,COL,LATERAL
2324,J. Castro,La Equidad,26,COL,LATERAL
2325,J. Cuesta,Once Caldas,25,COL,LATERAL
2326,J. Díaz,Jaguares de Córdoba,23,COL,LATERAL
2327,J. Escobar,América de Cali,18,COL,LATERAL
2328,J. Fory,Deportivo Pereira,21,COL,LATERAL
2329,J. Franco,Deportivo Cali,21,COL,LATERAL
2330,J. Hernández,Tolima,24,COL,LATERAL
2331,J. Lerma,Atlético Huila,20,COL,LATERAL
2332,J. Marcelin,Atlético Bucaramanga,23,COL,LATERAL
2333,J. Marulanda,Medellín,27,COL,LATERAL
2334,J. Mercado,Unión Magdalena,20,COL,LATERAL
2335,J. Monroy,Deportivo Pereira,27,COL,LATERAL
2336,J. Moreno,La Equidad,23,COL,LATERAL
2337,J. Patiño,Alianza Petrolera,25,COL,LATERAL
2338,J. Tello,Llaneros,21,COL,LATERAL
2339,L. Chaverra,Medellín,26,COL,LATERAL
2340,L. Moran,Once Caldas,18,COL,LATERAL
2341,L. Orejuela,Medellín,28,COL,LATERAL
2342,L. Riascos,Tolima,23,COL,LATERAL
2343,L. Saldaña,Alianza Petrolera,33,COL,LATERAL
2344,M. Castaño,Jaguares de Córdoba,29,COL,LATERAL
2345,M. Garavito,Santa Fe,23,COL,LATERAL
2346,M. Mina,América de Cali,24,COL,LATERAL
2347,M. Piedrahita,Once Caldas,38,COL,LATERAL
2348,M. Puerta,Águilas Doradas,26,COL,LATERAL
2349,N. Giraldo,Tolima,30,COL,LATERAL
2350,O. Acosta,Deportivo Cali,23,COL,LATERAL
2351,O. Bertel,Millonarios,27,COL,LATERAL
2352,O. Hernández,Águilas Doradas,30,COL,LATERAL
2353,S. Asprilla,Millonarios,19,COL,LATERAL
2354,S. Cuervo,Envigado,22,COL,LATERAL
2355,S. Jiménez,Atlético Bucaramanga,25,COL,LATERAL
2356,S. Navarro de la Cruz,Millonarios,20,COL,LATERAL
2357,S. Velásquez,Atlético Nacional,20,COL,LATERAL
2358,W. Pacheco,Junior,28,COL,LATERAL
2359,Y. Celedón,Envigado,23,COL,LATERAL
2360,Y. Hurtado,Tolima,26,COL,LATERAL
2361,Y. Rodallega,Envigado,22,COL,LATERAL
2362,Y. Rosales,Deportivo Pasto,22,COL,LATERAL
2363,Yulian Gomez,Medellín,26,COL,LATERAL
2364,A. Arroyo,Deportivo Cali,21,COL,MEIO-CAMPO
2365,A. Mejía,Unión Magdalena,35,COL,MEIO-CAMPO
2366,A. Montaño,Once Caldas,23,COL,MEIO-CAMPO
2367,Á. Peña,Boyacá Chicó,33,COL,MEIO-CAMPO
2368,A. Ricaurte,Medellín,32,COL,MEIO-CAMPO
2369,A. Zárate,Atlético Bucaramanga,24,COL,MEIO-CAMPO
2370,B. Arce,Once Caldas,25,COL,MEIO-CAMPO
2371,B. Díaz,Atlético Huila,32,COL,MEIO-CAMPO
2372,C. Ayala,Deportivo Pasto,37,COL,MEIO-CAMPO
2373,C. Marrugo,Santa Fe,38,COL,MEIO-CAMPO
2374,C. Robles,Atlético Huila,31,COL,MEIO-CAMPO
2375,C. Trujillo,Tolima,25,COL,MEIO-CAMPO
2376,D. Arcila,Envigado,21,COL,MEIO-CAMPO
2377,D. Chávez,Atlético Bucaramanga,26,COL,MEIO-CAMPO
2378,D. Giraldo,Millonarios,31,COL,MEIO-CAMPO
2379,D. Loaiza,Medellín,30,COL,MEIO-CAMPO
2380,D. Moreno,Junior,32,COL,MEIO-CAMPO
2381,D. Moreno,Medellín,27,COL,MEIO-CAMPO
2382,D. Padilla,Jaguares de Córdoba,29,COL,MEIO-CAMPO
2383,D. Pino,Deportivo Pasto,28,COL,MEIO-CAMPO
2384,D. Quiñonez,Rosario Central,22,COL,MEIO-CAMPO
2385,D. Quintero,América de Cali,36,COL,MEIO-CAMPO
2386,D. Silva,Millonarios,36,COL,MEIO-CAMPO
2387,D. Torres,Medellín,34,COL,MEIO-CAMPO
2388,D. Zapata,Envigado,19,COL,MEIO-CAMPO
2389,E. Camargo,Deportivo Cali,21,COL,MEIO-CAMPO
2390,E. Moreno,Deportivo Pereira,21,COL,MEIO-CAMPO
2391,E. Murillo,Deportivo Pereira,23,COL,MEIO-CAMPO
2392,F. Acosta,La Equidad,29,COL,MEIO-CAMPO
2393,F. Cantillo,Unión Magdalena,26,COL,MEIO-CAMPO
2394,F. Castro,Deportivo Cali,31,COL,MEIO-CAMPO
2395,F. Flórez,Alianza Petrolera,30,COL,MEIO-CAMPO
2396,F. Jaramillo,Envigado,27,COL,MEIO-CAMPO
2397,F. Leys,América de Cali,30,COL,MEIO-CAMPO
2398,F. Lozano,Boyacá Chicó,30,COL,MEIO-CAMPO
2399,F. Mosquera,Tolima,28,COL,MEIO-CAMPO
2400,F. Sambueza,Santa Fe,35,COL,MEIO-CAMPO
2401,G. Baier,Unión Magdalena,24,COL,MEIO-CAMPO
2402,G. Cabezas,Deportivo Cali,20,COL,MEIO-CAMPO
2403,G. Celis,Águilas Doradas,30,COL,MEIO-CAMPO
2404,H. Martínez,Junior,26,COL,MEIO-CAMPO
2405,H. Mojica,Alianza Petrolera,30,COL,MEIO-CAMPO
2406,H. Rivera,Santa Fe,30,COL,MEIO-CAMPO
2407,I. Rojas,Santa Fe,26,COL,MEIO-CAMPO
2408,Iago Falqué,América de Cali,33,COL,MEIO-CAMPO
2409,J. Alvarado,Medellín,24,COL,MEIO-CAMPO
2410,J. Becerra,Atlético Bucaramanga,25,COL,MEIO-CAMPO
2411,J. Bocanegra,Deportivo Pereira,25,COL,MEIO-CAMPO
2412,J. Caicedo,Deportivo Pasto,19,COL,MEIO-CAMPO
2413,J. Castillo,Alianza Petrolera,26,COL,MEIO-CAMPO
2414,J. Colorado,Unión Magdalena,23,COL,MEIO-CAMPO
2415,J. Guevara,Jaguares de Córdoba,31,COL,MEIO-CAMPO
2416,J. Mahecha,La Equidad,36,COL,MEIO-CAMPO
2417,J. Nieto,Tolima,30,COL,MEIO-CAMPO
2418,J. Pereira,Millonarios,30,COL,MEIO-CAMPO
2419,J. Pérez,Atlético Bucaramanga,35,COL,MEIO-CAMPO
2420,J. Pineda,Águilas Doradas,26,COL,MEIO-CAMPO
2421,J. Portilla,América de Cali,25,COL,MEIO-CAMPO
2422,J. Quiñónes,América de Cali,22,COL,MEIO-CAMPO
2423,J. Reina,Atlético Bucaramanga,34,COL,MEIO-CAMPO
2424,J. Ríos,Tolima,32,COL,MEIO-CAMPO
2425,J. Roa,Deportivo Pasto,29,COL,MEIO-CAMPO
2426,J. Rodríguez,Atlético Bucaramanga,31,COL,MEIO-CAMPO
2427,J. Solís,Girona,19,COL,MEIO-CAMPO
2428,J. Torres,Santa Fe,19,COL,MEIO-CAMPO
2429,J. Torres,Atlético Nacional,19,COL,MEIO-CAMPO
2430,J. Vásquez,Deportivo Pereira,36,COL,MEIO-CAMPO
2431,J. Vélez,Junior,20,COL,MEIO-CAMPO
2432,J. Zapata,Atlas,23,COL,MEIO-CAMPO
2433,J. Zuluaga,Deportivo Pereira,30,COL,MEIO-CAMPO
2434,Jesus Rivas,Águilas Doradas,26,COL,MEIO-CAMPO
2435,Jhon Duque,Atlético Nacional,31,COL,MEIO-CAMPO
2436,K. Castaño,Cruz Azul,23,COL,MEIO-CAMPO
2437,K. Londoño,Boyacá Chicó,23,COL,MEIO-CAMPO
2438,K. Salazar,Deportivo Cali,26,COL,MEIO-CAMPO
2439,K. Velasco,Puebla,26,COL,MEIO-CAMPO
2440,L. González,Junior,32,COL,MEIO-CAMPO
2441,L. Mosquera,América de Cali,21,COL,MEIO-CAMPO
2442,L. Paz,América de Cali,35,COL,MEIO-CAMPO
2443,L. Pérez,Once Caldas,27,COL,MEIO-CAMPO
2444,L. Vásquez,Millonarios,31,COL,MEIO-CAMPO
2445,M. Medina,Deportivo Pereira,26,COL,MEIO-CAMPO
2446,M. Monsalve,Medellín,19,COL,MEIO-CAMPO
2447,Moisés Villarroel,Águilas Doradas,25,COL,MEIO-CAMPO
2448,N. Palacio,Real Salt Lake,22,COL,MEIO-CAMPO
2449,P. Lima,La Equidad,33,COL,MEIO-CAMPO
2450,R. Bustamante,Vizela,24,COL,MEIO-CAMPO
2451,R. Colpa,Alianza Petrolera,28,COL,MEIO-CAMPO
2452,R. Hinojosa,Unión Magdalena,24,COL,MEIO-CAMPO
2453,R. Manjarrés,Santa Fe,23,COL,MEIO-CAMPO
2454,R. Mejía,Atlético Nacional,23,COL,MEIO-CAMPO
2455,R. Tavera,Atlético Huila,28,COL,MEIO-CAMPO
2456,S. Acosta,Alianza Petrolera,29,COL,MEIO-CAMPO
2457,S. Cárdenas,Once Caldas,34,COL,MEIO-CAMPO
2458,S. Gómez,Coritiba,27,COL,MEIO-CAMPO
2459,S. Hernández,Atlético Huila,37,COL,MEIO-CAMPO
2460,S. Orozco,Alianza Petrolera,27,COL,MEIO-CAMPO
2461,S. Támara,Boyacá Chicó,27,COL,MEIO-CAMPO
2462,S. Vega,Millonarios,25,COL,MEIO-CAMPO
2463,V. Mejía,Atlético Bucaramanga,30,COL,MEIO-CAMPO
2464,Y. Arboleda,Jaguares de Córdoba,24,COL,MEIO-CAMPO
2465,Y. Congo,Deportivo Pereira,25,COL,MEIO-CAMPO
2466,Y. Guzmán,Tolima,25,COL,MEIO-CAMPO
2467,Y. Torres,Deportivo Pasto,24,COL,MEIO-CAMPO
2468,Y. Velásquez,Santa Fe,24,COL,MEIO-CAMPO
2469,A. Angulo,Tolima,27,COL,ZAGUEIRO
2470,A. Ariza,Atlético Huila,25,COL,ZAGUEIRO
2471,A. Bedoya,Unión Magdalena,27,COL,ZAGUEIRO
2472,A. Cadavid,Envigado,37,COL,ZAGUEIRO
2473,A. Correa,Once Caldas,39,COL,ZAGUEIRO
2474,A. Llinás,Millonarios,26,COL,ZAGUEIRO
2475,A. Moreno,Millonarios,21,COL,ZAGUEIRO
2476,A. Prieto,La Equidad,32,COL,ZAGUEIRO
2477,A. Simarra,Alianza Petrolera,23,COL,ZAGUEIRO
2478,B. Córdoba,CSKA Sofia,24,COL,ZAGUEIRO
2479,B. Paz,Independiente,26,COL,ZAGUEIRO
2480,C. Castro Devenish,Atlético Nacional,22,COL,ZAGUEIRO
2481,C. Garcés,Deportivo Pereira,22,COL,ZAGUEIRO
2482,C. Haydar,Tolima,22,COL,ZAGUEIRO
2483,C. Henao,Atlético Bucaramanga,34,COL,ZAGUEIRO
2484,C. Páez,Jaguares de Córdoba,25,COL,ZAGUEIRO
2485,C. Ramírez,Deportivo Pereira,35,COL,ZAGUEIRO
2486,C. Tovar,Sheriff,25,COL,ZAGUEIRO
2487,C. Zapata,Atlético Nacional,37,COL,ZAGUEIRO
2488,D. Bueno,Sheriff,22,COL,ZAGUEIRO
2489,D. Hernández,Deportivo Pereira,23,COL,ZAGUEIRO
2490,D. Polanco,La Equidad,24,COL,ZAGUEIRO
2491,D. Ramírez,Santa Fe,21,COL,ZAGUEIRO
2492,E. Mosquera,Jaguares de Córdoba,32,COL,ZAGUEIRO
2493,E. Mosquera,Boyacá Chicó,33,COL,ZAGUEIRO
2494,É. Munive,Unión Magdalena,34,COL,ZAGUEIRO
2495,E. Olivera,Junior,33,COL,ZAGUEIRO
2496,F. Andueza,Liverpool,26,COL,ZAGUEIRO
2497,F. Meza,Atlético Bucaramanga,32,COL,ZAGUEIRO
2498,F. Rodríguez,Atlético Bucaramanga,36,COL,ZAGUEIRO
2499,F. Torijano,Once Caldas,35,COL,ZAGUEIRO
2500,G. Del Castillo,Boyacá Chicó,32,COL,ZAGUEIRO
2501,G. Meléndez,Jaguares de Córdoba,28,COL,ZAGUEIRO
2502,G. Mera,Deportivo Cali,33,COL,ZAGUEIRO
2503,G. Perea,Deportivo Pereira,32,COL,ZAGUEIRO
2504,H. Plazas,Boyacá Chicó,30,COL,ZAGUEIRO
2505,I. Scarpeta,Santa Fe,27,COL,ZAGUEIRO
2506,J. Aguirre,Atlético Nacional,27,COL,ZAGUEIRO
2507,J. Aja,Santa Fe,30,COL,ZAGUEIRO
2508,J. Arias,Millonarios,31,COL,ZAGUEIRO
2509,J. Banguera,Lommel SK,19,COL,ZAGUEIRO
2510,J. Cuenú,Águilas Doradas,28,COL,ZAGUEIRO
2511,J. Díaz,Deportivo Cali,23,COL,ZAGUEIRO
2512,J. Figueroa,Deportivo Pasto,27,COL,ZAGUEIRO
2513,J. Fuentes,Metropolitanos,26,COL,ZAGUEIRO
2514,J. García,América de Cali,34,COL,ZAGUEIRO
2515,J. Lopera,Atlético Huila,36,COL,ZAGUEIRO
2516,J. Malagón,Deportivo Pasto,30,COL,ZAGUEIRO
2517,J. Mena,Atlético Bucaramanga,34,COL,ZAGUEIRO
2518,J. Millán,Santa Fe,25,COL,ZAGUEIRO
2519,J. Ortiz,Medellín,25,COL,ZAGUEIRO
2520,J. Palacios,Envigado,20,COL,ZAGUEIRO
2521,J. Palacios,Medellín,24,COL,ZAGUEIRO
2522,J. Peña,Junior,24,COL,ZAGUEIRO
2523,J. Pestaña,Águilas Doradas,26,COL,ZAGUEIRO
2524,J. Quiñónes,Tolima,34,COL,ZAGUEIRO
2525,J. Quiñónes,Águilas Doradas,26,COL,ZAGUEIRO
2526,J. Quintero,Deportivo Pereira,28,COL,ZAGUEIRO
2527,J. Riquett,Once Caldas,33,COL,ZAGUEIRO
2528,J. Varela,Medellín,25,COL,ZAGUEIRO
2529,J. Vargas,Millonarios,28,COL,ZAGUEIRO
2530,K. Andrade,América de Cali,24,COL,ZAGUEIRO
2531,L. Caicedo,Atlético Huila,31,COL,ZAGUEIRO
2532,L. Escorcia,Atlético Huila,27,COL,ZAGUEIRO
2533,L. Haquín,Deportivo Cali,25,COL,ZAGUEIRO
2534,L. Ospina,Alianza Petrolera,32,COL,ZAGUEIRO
2535,M. Payares,La Equidad,28,COL,ZAGUEIRO
2536,M. Torres,Tolima,27,COL,ZAGUEIRO
2537,N. Gil,Unión Magdalena,26,COL,ZAGUEIRO
2538,N. Marotta,Athens Kallithea,26,COL,ZAGUEIRO
2539,O. Vanegas,Millonarios,27,COL,ZAGUEIRO
2540,P. Franco,Alianza Petrolera,32,COL,ZAGUEIRO
2541,R. Lora,Unión Magdalena,26,COL,ZAGUEIRO
2542,S. Mosquera,Atlético Nacional,29,COL,ZAGUEIRO
2543,S. Noreña,Envigado,25,COL,ZAGUEIRO
2544,V. Moreno,Medellín,29,COL,ZAGUEIRO
2545,Y. González,La Equidad,33,COL,ZAGUEIRO
2546,Y. Mosquera,Envigado,22,COL,ZAGUEIRO
2547,Y. Súarez,Deportivo Pereira,26,COL,ZAGUEIRO
2548,A. Cabeza,Emelec,26,ECU,ATACANTE
2549,A. Maziero,Cumbayá,26,ECU,ATACANTE
2550,A. Rodríguez,Delfin,27,ECU,ATACANTE
2551,B. Palacios,El Nacional,28,ECU,ATACANTE
2552,C. Martínez Borja,Orense,35,ECU,ATACANTE
2553,D. Coronel,Orense,21,ECU,ATACANTE
2554,D. Ledesma,Mushuc Runa,30,ECU,ATACANTE
2555,D. Porozo,Libertad,26,ECU,ATACANTE
2556,E. López,Deportivo Cuenca,25,ECU,ATACANTE
2557,F. Castelli,Delfin,28,ECU,ATACANTE
2558,F. Fydriszewski,Barcelona,30,ECU,ATACANTE
2559,G. Cortéz,Barcelona,28,ECU,ATACANTE
2560,H. Batalla,Cumbayá,26,ECU,ATACANTE
2561,J. Alman,Delfin,28,ECU,ATACANTE
2562,J. Andrade,Orense,30,ECU,ATACANTE
2563,J. Angulo,LDU Quito,28,ECU,ATACANTE
2564,J. Ayoví,Emelec,35,ECU,ATACANTE
2565,J. Bauman,Barcelona,32,ECU,ATACANTE
2566,J. Blanco,Técnico Universitario,31,ECU,ATACANTE
2567,J. Cifuente,Aucas,31,ECU,ATACANTE
2568,J. Medina,Aucas,28,ECU,ATACANTE
2569,J. Ordoñez,El Nacional,28,ECU,ATACANTE
2570,J. Sornoza,Independiente del Valle,29,ECU,ATACANTE
2571,L. Díaz,Independiente del Valle,25,ECU,ATACANTE
2572,M. Bolaños,Emelec,33,ECU,ATACANTE
2573,M. Hoyos,Independiente del Valle,32,ECU,ATACANTE
2574,M. Parrales,Guayaquil City,27,ECU,ATACANTE
2575,Marcelo Moreno,Independiente del Valle,36,ECU,ATACANTE
2576,R. Becerra,Deportivo Cuenca,36,ECU,ATACANTE
2577,R. Carrillo,Portimonense,26,ECU,ATACANTE
2578,R. Rivas,Orense,26,ECU,ATACANTE
2579,S. González,Mushuc Runa,28,ECU,ATACANTE
2580,V. Angulo,Gualaceo,35,ECU,ATACANTE
2581,A. Alvarado,LDU Quito,24,ECU,EXTREMO
2582,A. Bolaños,Técnico Universitario,23,ECU,EXTREMO
2583,A. Muñoz,Técnico Universitario,25,ECU,EXTREMO
2584,A. Naula,Libertad,25,ECU,EXTREMO
2585,A. Preciado,Barcelona,26,ECU,EXTREMO
2586,A. Rodríguez,Universidad Católica,24,ECU,EXTREMO
2587,B. Angulo,Universidad Católica,27,ECU,EXTREMO
2588,B. Delgado,Mushuc Runa,28,ECU,EXTREMO
2589,B. Oyola,Delfin,27,ECU,EXTREMO
2590,C. Ortiz,Barcelona,31,ECU,EXTREMO
2591,C. Solano,Orense,24,ECU,EXTREMO
2592,D. Clavijo,Universidad Católica,23,ECU,EXTREMO
2593,D. García,Emelec,26,ECU,EXTREMO
2594,D. Vera,Emelec,20,ECU,EXTREMO
2595,E. Castillo,Aucas,28,ECU,EXTREMO
2596,E. Dávila,Deportivo Cuenca,27,ECU,EXTREMO
2597,H. Patta,Gualaceo,36,ECU,EXTREMO
2598,I. Díaz,Universidad Católica,26,ECU,EXTREMO
2599,J. Almagro,Cumbayá,22,ECU,EXTREMO
2600,J. Caicedo,Técnico Universitario,28,ECU,EXTREMO
2601,J. Carabalí,Orense,26,ECU,EXTREMO
2602,J. Corozo,Barcelona,28,ECU,EXTREMO
2603,J. Evans,Mushuc Runa,24,ECU,EXTREMO
2604,J. Preciado,Gualaceo,29,ECU,EXTREMO
2605,J. Ruiz,Delfin,29,ECU,EXTREMO
2606,J. Sánchez,Emelec,24,ECU,EXTREMO
2607,Klebinho,Guayaquil City,25,ECU,EXTREMO
2608,L. Alzugaray,LDU Quito,33,ECU,EXTREMO
2609,L. Cano,Aucas,24,ECU,EXTREMO
2610,L. Estupiñán,Técnico Universitario,24,ECU,EXTREMO
2611,L. Mancinelli,Deportivo Cuenca,34,ECU,EXTREMO
2612,M. Alonso,Guayaquil City,29,ECU,EXTREMO
2613,M. Solís,El Nacional,29,ECU,EXTREMO
2614,M. Valencia,Cumbayá,23,ECU,EXTREMO
2615,R. Burbano,Orense,28,ECU,EXTREMO
2616,R. Ibarra,LDU Quito,32,ECU,EXTREMO
2617,R. Simisterra,Libertad,25,ECU,EXTREMO
2618,S. Sosa,Emelec,23,ECU,EXTREMO
2619,T. Minda,Gualaceo,22,ECU,EXTREMO
2620,A. Chalá,Emelec,27,ECU,LATERAL
2621,A. López,Deportivo Cuenca,30,ECU,LATERAL
2622,B. Carabalí,Emelec,25,ECU,LATERAL
2623,B. Nazareno,El Nacional,23,ECU,LATERAL
2624,B. Ramírez,LDU Quito,23,ECU,LATERAL
2625,B. Rivera,Deportivo Cuenca,26,ECU,LATERAL
2626,B. Torrez,Gualaceo,29,ECU,LATERAL
2627,C. Arboleda,Técnico Universitario,32,ECU,LATERAL
2628,C. Cuero,Aucas,27,ECU,LATERAL
2629,C. Fara,Emelec,29,ECU,LATERAL
2630,D. Patiño,El Nacional,30,ECU,LATERAL
2631,D. Romero,LDU Quito,22,ECU,LATERAL
2632,D. Suarez,Cumbayá,28,ECU,LATERAL
2633,E. Mesa,Gualaceo,25,ECU,LATERAL
2634,E. Patta,Técnico Universitario,33,ECU,LATERAL
2635,F. Arbeláez,Libertad,27,ECU,LATERAL
2636,G. Anangonó,Universidad Católica,25,ECU,LATERAL
2637,G. Cortez,Independiente del Valle,26,ECU,LATERAL
2638,G. Mina,Orense,27,ECU,LATERAL
2639,J. Chillambo,Libertad,28,ECU,LATERAL
2640,J. Cuero,Delfin,22,ECU,LATERAL
2641,J. Mina,Cumbayá,24,ECU,LATERAL
2642,J. Mina,Delfin,28,ECU,LATERAL
2643,J. Monaga,Mushuc Runa,25,ECU,LATERAL
2644,J. Quintero,LDU Quito,33,ECU,LATERAL
2645,L. Gustavino,Universidad Católica,24,ECU,LATERAL
2646,L. Loor,Universidad Católica,22,ECU,LATERAL
2647,L. Quiñónez,LDU Quito,30,ECU,LATERAL
2648,M. Bolaños,Libertad,31,ECU,LATERAL
2649,M. Fernández,Independiente del Valle,28,ECU,LATERAL
2650,M. Hernández,Oleksandria,26,ECU,LATERAL
2651,M. Montaño,Mushuc Runa,31,ECU,LATERAL
2652,M. Pineida,Barcelona,31,ECU,LATERAL
2653,M. Quiñones,Orense,22,ECU,LATERAL
2654,M. Reyes,Delfin,20,ECU,LATERAL
2655,O. Quiñónez,El Nacional,29,ECU,LATERAL
2656,P. Perlaza,Barcelona,32,ECU,LATERAL
2657,P. Velasco,Barcelona,30,ECU,LATERAL
2658,R. Arias,Guayaquil City,23,ECU,LATERAL
2659,R. Caicedo,Emelec,33,ECU,LATERAL
2660,R. Requene,Libertad,31,ECU,LATERAL
2661,R. Zambrano,Mushuc Runa,30,ECU,LATERAL
2662,S. Portocarrero,Barcelona,27,ECU,LATERAL
2663,W. Vargas,Guayaquil City,26,ECU,LATERAL
2664,Y. Candelo,Aucas,31,ECU,LATERAL
2665,Y. Medina,Independiente del Valle,19,ECU,LATERAL
2666,A. Assis,Orense,30,ECU,MEIO-CAMPO
2667,A. Mina,Aucas,24,ECU,MEIO-CAMPO
2668,A. Valverde,Libertad,32,ECU,MEIO-CAMPO
2669,B. Tana,El Nacional,25,ECU,MEIO-CAMPO
2670,B. Téliz,Mushuc Runa,32,ECU,MEIO-CAMPO
2671,C. Pellerano,Independiente del Valle,41,ECU,MEIO-CAMPO
2672,C. Valencia,Emelec B,24,ECU,MEIO-CAMPO
2673,C. Vélez,Mushuc Runa,30,ECU,MEIO-CAMPO
2674,C. Villalba,Emelec,25,ECU,MEIO-CAMPO
2675,Cristian Gabriel Garcia,Delfin,27,ECU,MEIO-CAMPO
2676,D. Díaz,Barcelona,37,ECU,MEIO-CAMPO
2677,D. Jiménez,Técnico Universitario,29,ECU,MEIO-CAMPO
2678,E. Caicedo,Aucas,33,ECU,MEIO-CAMPO
2679,É. Vega,Aucas,33,ECU,MEIO-CAMPO
2680,Erick Pluas,Orense,21,ECU,MEIO-CAMPO
2681,F. Ávila,Libertad,29,ECU,MEIO-CAMPO
2682,F. Flores,Gualaceo,31,ECU,MEIO-CAMPO
2683,F. Gaibor,Barcelona,32,ECU,MEIO-CAMPO
2684,F. Martínez,Universidad Católica,38,ECU,MEIO-CAMPO
2685,F. Mera,Deportivo Cuenca,31,ECU,MEIO-CAMPO
2686,J. Alcívar,Independiente del Valle,24,ECU,MEIO-CAMPO
2687,J. Cevallos,Emelec,28,ECU,MEIO-CAMPO
2688,J. Espinoza,Emelec,23,ECU,MEIO-CAMPO
2689,J. Estacio,Mushuc Runa,26,ECU,MEIO-CAMPO
2690,J. Góngora,Gualaceo,31,ECU,MEIO-CAMPO
2691,J. Humanante,Guayaquil City,27,ECU,MEIO-CAMPO
2692,J. Julio,LDU Quito,25,ECU,MEIO-CAMPO
2693,J. Montaño,Guayaquil City,24,ECU,MEIO-CAMPO
2694,J. Paredes,Cumbayá,36,ECU,MEIO-CAMPO
2695,J. Quiñónez,Aucas,25,ECU,MEIO-CAMPO
2696,J. Rezabala,Guayaquil City,23,ECU,MEIO-CAMPO
2697,J. Trindade,Barcelona,30,ECU,MEIO-CAMPO
2698,J. Valverde,LDU Quito,24,ECU,MEIO-CAMPO
2699,J. Vergés,Gualaceo,31,ECU,MEIO-CAMPO
2700,K. Minda,Universidad Católica,25,ECU,MEIO-CAMPO
2701,K. Páez,Independiente del Valle,16,ECU,MEIO-CAMPO
2702,L. Faravelli,Independiente del Valle,30,ECU,MEIO-CAMPO
2703,L. Piovi,LDU Quito,31,ECU,MEIO-CAMPO
2704,Leonai Souza,Barcelona,28,ECU,MEIO-CAMPO
2705,M. Balda,El Nacional,31,ECU,MEIO-CAMPO
2706,M. Díaz,Universidad Católica,32,ECU,MEIO-CAMPO
2707,M. Julio,El Nacional,26,ECU,MEIO-CAMPO
2708,M. Martínez,LDU Quito,30,ECU,MEIO-CAMPO
2709,N. Molina,Delfin,30,ECU,MEIO-CAMPO
2710,N. Rinaldi,Deportivo Cuenca,30,ECU,MEIO-CAMPO
2711,O. Mejía,Técnico Universitario,37,ECU,MEIO-CAMPO
2712,Ó. Zambrano,LDU Quito,19,ECU,MEIO-CAMPO
2713,P. Larrea,Libertad,37,ECU,MEIO-CAMPO
2714,P. Mercado,Independiente del Valle,20,ECU,MEIO-CAMPO
2715,R. Borja,El Nacional,18,ECU,MEIO-CAMPO
2716,R. Calderón,Orense,30,ECU,MEIO-CAMPO
2717,R. César,Guayaquil City,30,ECU,MEIO-CAMPO
2718,R. Garcés,Libertad,30,ECU,MEIO-CAMPO
2719,R. Jaramillo,Delfin,25,ECU,MEIO-CAMPO
2720,R. Melo,Deportivo Cuenca,28,ECU,MEIO-CAMPO
2721,R. Morocho Roldán,Gualaceo,25,ECU,MEIO-CAMPO
2722,R. Otero,Aucas,31,ECU,MEIO-CAMPO
2723,R. Tapia,Cumbayá,31,ECU,MEIO-CAMPO
2724,S. González,LDU Quito,20,ECU,MEIO-CAMPO
2725,S. López,Deportivo Cuenca,34,ECU,MEIO-CAMPO
2726,S. Tapiero,Técnico Universitario,32,ECU,MEIO-CAMPO
