,Atleta,Equipe Janela Análise,Idade,Liga,Posição
0,A. Marinelli,Platense,25,ARG1,ATACANTE
1,S. Rondón,Pachuca,34,ARG1,ATACANTE
2,P. Vegetti,Vasco da Gama,35,ARG1,ATACANTE
3,L. Pratto,Olimpia,35,ARG1,ATACANTE
4,A. Fontana,Sarmiento,27,ARG1,ATACANTE
5,M. Romero,Argentinos Juniors,25,ARG1,ATACANTE
6,M. Pellegrino,Platense,22,ARG1,ATACANTE
7,F. Girotti,Talleres Córdoba,24,ARG1,ATACANTE
8,I. Pussetto,Huracán,28,ARG1,ATACANTE
9,L. Heredia,Argentinos Juniors,28,ARG1,ATACANTE
10,S. Pierotti,Lecce,23,ARG1,ATACANTE
11,R. Martínez,Racing Club,29,ARG1,ATACANTE
12,J. Toledo,Colón,38,ARG1,ATACANTE
13,S. Rodríguez,Instituto,26,ARG1,ATACANTE
14,B. Romero,Vélez Sarsfield,32,ARG1,ATACANTE
15,V. Depietri,Talleres Córdoba,23,ARG1,ATACANTE
16,J. Morales,Unión Santa Fe,21,ARG1,ATACANTE
17,N. Bustos,Talleres Córdoba,25,ARG1,ATACANTE
18,M. Borja,River Plate,31,ARG1,ATACANTE
19,F. Londoño,Tigre,23,ARG1,ATACANTE
20,M. Cauteruccio,Sporting Cristal,37,ARG1,ATACANTE
21,M. Méndez,Estudiantes,25,ARG1,ATACANTE
22,L. Passerini,Belgrano,29,ARG1,ATACANTE
23,P. Solari,River Plate,23,ARG1,ATACANTE
24,A. Canelo,Independiente,32,ARG1,ATACANTE
25,A. Domínguez,Barracas Central,27,ARG1,ATACANTE
26,G. Hauche,Unión La Calera,37,ARG1,ATACANTE
27,S. Castro,Bologna,19,ARG1,ATACANTE
28,B. Sepúlveda,Banfield,31,ARG1,ATACANTE
29,N. Fernández,Defensa y Justicia,28,ARG1,ATACANTE
30,M. Merentiel,Boca Juniors,28,ARG1,ATACANTE
31,M. Estigarribia,Atlético Tucumán,29,ARG1,ATACANTE
32,R. Ábila,Barracas Central,34,ARG1,ATACANTE
33,S. Rodríguez,Godoy Cruz,24,ARG1,ATACANTE
34,G. Ávalos,Independiente,32,ARG1,ATACANTE
35,L. Díaz,Lanús,31,ARG1,ATACANTE
36,E. Ramírez,Gimnasia La Plata,27,ARG1,ATACANTE
37,M. Cóccaro,CF Montréal,26,ARG1,ATACANTE
38,R. Martínez,Platense,28,ARG1,ATACANTE
39,J. Recalde,Ceará,32,ARG1,ATACANTE
40,J. Dómina,Unión Santa Fe,18,ARG1,ATACANTE
41,M. Giménez,Independiente,25,ARG1,ATACANTE
42,A. Bareiro,San Lorenzo,27,ARG1,ATACANTE
43,M. Coronel,Atlético Tucumán,25,ARG1,ATACANTE
