,Atleta,Equipe Janela Análise,Posição,Liga,Dribles bem sucedidos /90,Dribles bem sucedidos /90_percentil,Drible,Drible_percentil
0,A. Marinelli,Platense,ATACANTE,ARG1,0.71,86,0.71,86
1,S. Rondón,Pachuca,ATACANTE,ARG1,-0.68,28,-0.68,28
2,P. Vegetti,Vasco da Gama,ATACANTE,ARG1,-0.78,14,-0.78,14
3,L. Pratto,Olimpia,ATACANTE,ARG1,-0.58,36,-0.58,36
4,A. Fontana,Sarmiento,ATACANTE,ARG1,-0.5,42,-0.5,42
5,M. Romero,Argentinos Juniors,ATACANTE,ARG1,-0.99,8,-0.99,8
6,M. Pellegrino,Platense,ATACANTE,ARG1,-0.52,40,-0.52,40
7,F. Girotti,Talleres Córdoba,ATACANTE,ARG1,-0.71,24,-0.71,24
8,I. Pussetto,Huracán,ATACANTE,ARG1,0.98,88,0.98,88
9,L. Heredia,Argentinos Juniors,ATACANTE,ARG1,-0.44,44,-0.44,44
10,S. Pierotti,Lecce,ATACANTE,ARG1,2.89,98,2.89,98
11,R. Martínez,Racing Club,ATACANTE,ARG1,1.59,90,1.59,90
12,J. Toledo,Colón,ATACANTE,ARG1,-1.02,6,-1.02,6
13,S. Rodríguez,Instituto,ATACANTE,ARG1,1.72,94,1.72,94
14,B. Romero,Vélez Sarsfield,ATACANTE,ARG1,0.21,68,0.21,68
15,V. Depietri,Talleres Córdoba,ATACANTE,ARG1,3.45,100,3.45,100
16,J. Morales,Unión Santa Fe,ATACANTE,ARG1,-1.12,4,-1.12,4
17,N. Bustos,Talleres Córdoba,ATACANTE,ARG1,-0.78,16,-0.78,16
18,M. Borja,River Plate,ATACANTE,ARG1,-0.95,10,-0.95,10
19,F. Londoño,Tigre,ATACANTE,ARG1,-0.87,12,-0.87,12
20,M. Cauteruccio,Sporting Cristal,ATACANTE,ARG1,-1.13,2,-1.13,2
21,M. Méndez,Estudiantes,ATACANTE,ARG1,-0.29,52,-0.29,52
22,L. Passerini,Belgrano,ATACANTE,ARG1,-0.25,58,-0.25,58
23,P. Solari,River Plate,ATACANTE,ARG1,2.13,96,2.13,96
24,A. Canelo,Independiente,ATACANTE,ARG1,0.3,72,0.3,72
25,A. Domínguez,Barracas Central,ATACANTE,ARG1,-0.72,22,-0.72,22
26,G. Hauche,Unión La Calera,ATACANTE,ARG1,-0.59,32,-0.59,32
27,S. Castro,Bologna,ATACANTE,ARG1,0.51,80,0.51,80
28,B. Sepúlveda,Banfield,ATACANTE,ARG1,-0.74,18,-0.74,18
29,N. Fernández,Defensa y Justicia,ATACANTE,ARG1,-0.41,46,-0.41,46
30,M. Merentiel,Boca Juniors,ATACANTE,ARG1,-0.03,64,-0.03,64
31,M. Estigarribia,Atlético Tucumán,ATACANTE,ARG1,-0.73,20,-0.73,20
32,R. Ábila,Barracas Central,ATACANTE,ARG1,-0.26,56,-0.26,56
33,S. Rodríguez,Godoy Cruz,ATACANTE,ARG1,-0.71,26,-0.71,26
34,G. Ávalos,Independiente,ATACANTE,ARG1,-0.16,62,-0.16,62
35,L. Díaz,Lanús,ATACANTE,ARG1,-0.28,54,-0.28,54
36,E. Ramírez,Gimnasia La Plata,ATACANTE,ARG1,0.32,74,0.32,74
37,M. Cóccaro,CF Montréal,ATACANTE,ARG1,0.34,76,0.34,76
38,R. Martínez,Platense,ATACANTE,ARG1,-0.37,48,-0.37,48
39,J. Recalde,Ceará,ATACANTE,ARG1,-0.59,34,-0.59,34
40,J. Dómina,Unión Santa Fe,ATACANTE,ARG1,0.7,84,0.7,84
41,M. Giménez,Independiente,ATACANTE,ARG1,0.45,78,0.45,78
42,A. Bareiro,San Lorenzo,ATACANTE,ARG1,-0.32,50,-0.32,50
43,M. Coronel,Atlético Tucumán,ATACANTE,ARG1,0.54,82,0.54,82
44,L. Gondou,Argentinos Juniors,ATACANTE,ARG1,0.23,70,0.23,70
45,L. Gamba,Unión Santa Fe,ATACANTE,ARG1,0.16,66,0.16,66
46,C. Tarragona,San Lorenzo,ATACANTE,ARG1,-0.57,38,-0.57,38
47,M. Giménez,Banfield,ATACANTE,ARG1,-0.22,60,-0.22,60
48,W. Mazzantti,Huracán,ATACANTE,ARG1,1.7,92,1.7,92
