,Atleta,Equipe Janela Análise,Posição,Liga,Dribles bem sucedidos /90,Dribles bem sucedidos /90_percentil,Drible,Drible_percentil
49,A. Martínez,Racing Club,ATACANTE,ARG1,-0.62,30,-0.62,30
50,M. Acosta,San Martín Tucumán,ATACANTE,ARG2,-0.76,25,-0.76,25
51,M. Peralta,Defensores Unidos,ATACANTE,ARG2,-0.66,34,-0.66,34
52,D. Sayago,Defensores de Belgrano,ATACANTE,ARG2,-0.45,44,-0.45,44
53,T. Bolzicco,LFA Reggio Calabria,ATACANTE,ARG2,-0.66,32,-0.66,32
54,Luis Leal,Almagro,ATACANTE,ARG2,-0.67,32,-0.67,32
55,F. Bordagaray,Quilmes,ATACANTE,ARG2,-1.32,3,-1.32,3
56,J. Juncos,Club Atlético Mitre,ATACANTE,ARG2,-0.78,23,-0.78,23
57,J. Berón,Estudiantes Caseros,ATACANTE,ARG2,0.58,74,0.58,74
58,T. Blanco,UCV,ATACANTE,ARG2,-0.18,53,-0.18,53
59,M. Sosa,Deportivo Maipú,ATACANTE,ARG2,2.25,96,2.25,96
60,S. Ayala,Tristán Suárez,ATACANTE,ARG2,-0.28,50,-0.28,50
61,F. Posse,Club Atlético Mitre,ATACANTE,ARG2,-0.77,24,-0.77,24
62,I. Maggi,Nueva Chicago,ATACANTE,ARG2,-0.67,31,-0.67,31
63,G. Rossi,Chaco For Ever,ATACANTE,ARG2,0.38,70,0.38,70
64,G. Klusener,San Martín Tucumán,ATACANTE,ARG2,-1.25,5,-1.25,5
65,A. Díaz,CRB,ATACANTE,ARG2,0.82,80,0.82,80
66,T. Cervera,Rosario Central,ATACANTE,ARG2,0.87,81,0.87,81
67,G. Sánchez,Alvarado,ATACANTE,ARG2,1.55,92,1.55,92
68,J. Molina,Villa Dálmine,ATACANTE,ARG2,-0.29,49,-0.29,49
69,I. Russo,Instituto,ATACANTE,ARG2,-1.18,9,-1.18,9
70,M. Giménez,Quilmes,ATACANTE,ARG2,0.06,61,0.06,61
71,O. Belinetz,Alvarado,ATACANTE,ARG2,-0.39,45,-0.39,45
72,N. Silva,Cusco,ATACANTE,ARG2,1.09,87,1.09,87
73,N. Molina,Talleres Remedios,ATACANTE,ARG2,-0.52,39,-0.52,39
74,A. Luna,Independiente,ATACANTE,ARG2,2.97,100,2.97,100
75,I. Costantino,Atlanta,ATACANTE,ARG2,-1.12,10,-1.12,10
76,M. Asenjo,Independiente Rivadavia,ATACANTE,ARG2,-0.56,38,-0.56,38
77,L. Albertengo,Atlético Rafaela,ATACANTE,ARG2,0.8,79,0.8,79
78,E. Alderete,Estudiantes de Mérida,ATACANTE,ARG2,-0.83,21,-0.83,21
79,C. Sánchez,San Miguel,ATACANTE,ARG2,0.36,69,0.36,69
80,M. Galeano,Guillermo Brown,ATACANTE,ARG2,-0.63,36,-0.63,36
81,N. Mazzola,Xinabajul,ATACANTE,ARG2,-0.16,56,-0.16,56
82,S. Sala,Deportivo Morón,ATACANTE,ARG2,0.65,76,0.65,76
83,P. Cucchi,Agropecuario,ATACANTE,ARG2,-0.82,21,-0.82,21
84,A. Spetale,Gimnasia Mendoza,ATACANTE,ARG2,-1.3,4,-1.3,4
85,F. Torres,Club Atlético Güemes,ATACANTE,ARG2,0.91,82,0.91,82
86,C. Riaño,Aldosivi,ATACANTE,ARG2,-1.07,12,-1.07,12
87,M. Donato,Talleres Remedios,ATACANTE,ARG2,-0.89,15,-0.89,15
88,J. Arias,San Martín Tucumán,ATACANTE,ARG2,-0.71,26,-0.71,26
89,V. Ramis,Independiente Rivadavia,ATACANTE,ARG2,0.28,68,0.28,68
90,F. Ayunta,San Telmo,ATACANTE,ARG2,-0.86,18,-0.86,18
91,J. Tévez,Cusco,ATACANTE,ARG2,-0.64,35,-0.64,35
92,S. Rosales,PAS Giannina,ATACANTE,ARG2,0.82,79,0.82,79
93,F. Rojas,Gimnasia y Tiro,ATACANTE,ARG2,0.94,83,0.94,83
94,N. Bazán,Nacional Asunción,ATACANTE,ARG2,-0.37,46,-0.37,46
95,M. Garnerone,San Luis,ATACANTE,ARG2,0.57,73,0.57,73
96,L. Romero,Deportes Iquique,ATACANTE,ARG2,-0.32,48,-0.32,48
97,T. González,Quilmes,ATACANTE,ARG2,1.26,88,1.26,88
98,F. Pulicastro,Brown de Adrogué,ATACANTE,ARG2,-1.18,8,-1.18,8
99,F. Tissera,San Telmo,ATACANTE,ARG2,-0.4,44,-0.4,44
100,F. Molina,Gimnasia Jujuy,ATACANTE,ARG2,2.76,99,2.76,99
101,F. Bisanz,Atlanta,ATACANTE,ARG2,2.31,97,2.31,97
102,A. Arce,LDU Quito,ATACANTE,ARG2,0.07,62,0.07,62
103,W. Herrera,Orense,ATACANTE,ARG2,0.33,68,0.33,68
104,I. Sandoval,Estudiantes Caseros,ATACANTE,ARG2,-0.72,26,-0.72,26
105,L. Cano,Sport Huancayo,ATACANTE,ARG2,0.43,72,0.43,72
106,P. Bonacci,Almirante Brown,ATACANTE,ARG2,-0.87,16,-0.87,16
107,T. Calone,All Boys,ATACANTE,ARG2,1.67,93,1.67,93
108,L. Gordillo,Gimnasia y Tiro,ATACANTE,ARG2,-0.27,50,-0.27,50
109,M. Romero,Deportivo Morón,ATACANTE,ARG2,-1.21,7,-1.21,7
110,J. Mendoza,Almagro,ATACANTE,ARG2,-1.01,13,-1.01,13
111,F. Melivillo,San Miguel,ATACANTE,ARG2,0.11,65,0.11,65
112,F. Krüger,Temperley,ATACANTE,ARG2,-1.35,2,-1.35,2
113,F. Anselmo,Universitatea Cluj,ATACANTE,ARG2,-1.34,3,-1.34,3
114,E. Torres,Aldosivi,ATACANTE,ARG2,-0.08,56,-0.08,56
115,D. Romero,Club Atlético Mitre,ATACANTE,ARG2,-1.1,11,-1.1,11
116,P. Vidal,Atlético Rafaela,ATACANTE,ARG2,-0.61,38,-0.61,38
117,T. Ortiz,Arsenal,ATACANTE,ARG2,0.07,62,0.07,62
118,S. Ramírez,Huracán,ATACANTE,ARG2,0.21,66,0.21,66
119,M. Pino,Godoy Cruz,ATACANTE,ARG2,-0.7,27,-0.7,27
120,E. Naya,Estudiantes,ATACANTE,ARG2,-0.47,42,-0.47,42
121,F. Lonardi,Defensores Unidos,ATACANTE,ARG2,-0.24,52,-0.24,52
122,F. Fagúndez,Estudiantes Caseros,ATACANTE,ARG2,1.0,85,1.0,85
123,L. Giménez,Cuiabá,ATACANTE,ARG2,1.36,90,1.36,90
124,J. Dellarossa,Chaco For Ever,ATACANTE,ARG2,-0.66,33,-0.66,33
125,J. Herrera,Deportivo Riestra,ATACANTE,ARG2,-0.78,22,-0.78,22
126,F. Curuchet,Racing Córdoba,ATACANTE,ARG2,2.66,98,2.66,98
127,A. Cuello,San Lorenzo,ATACANTE,ARG2,1.08,86,1.08,86
128,N. Benegas,Deportivo Riestra,ATACANTE,ARG2,-0.04,58,-0.04,58
129,E. Bodencer,Atlanta,ATACANTE,ARG2,0.1,64,0.1,64
130,F. García,Ferro Carril Oeste,ATACANTE,ARG2,0.08,63,0.08,63
131,S. Vera,Almirante Brown,ATACANTE,ARG2,1.5,91,1.5,91
132,M. Nouet,Brown de Adrogué,ATACANTE,ARG2,-0.48,41,-0.48,41
133,M. Bajamich,Atlético Tucumán,ATACANTE,ARG2,1.43,91,1.43,91
134,B. Ferreyra,Deportivo Madryn,ATACANTE,ARG2,-0.69,29,-0.69,29
135,M. Viguet,Deportivo Maipú,ATACANTE,ARG2,0.95,84,0.95,84
136,G. Fernández,Deportivo Riestra,ATACANTE,ARG2,-0.16,55,-0.16,55
137,A. Colazo,Aldosivi,ATACANTE,ARG2,-0.17,54,-0.17,54
138,N. Retamar,Ferro Carril Oeste,ATACANTE,ARG2,0.21,67,0.21,67
139,G. Villalba,Estudiantes Río Cuarto,ATACANTE,ARG2,0.76,77,0.76,77
140,M. Levato,Ferro Carril Oeste,ATACANTE,ARG2,-0.62,37,-0.62,37
141,E. Dening,Şanlıurfaspor,ATACANTE,ARG2,1.0,85,1.0,85
142,A. Gagliardi,Agropecuario,ATACANTE,ARG2,-0.07,57,-0.07,57
143,N. Fúnez,Atlético Rafaela,ATACANTE,ARG2,-0.48,40,-0.48,40
144,S. González,Sporting Cristal,ATACANTE,ARG2,2.08,95,2.08,95
145,M. Batallini,San Miguel,ATACANTE,ARG2,-0.83,20,-0.83,20
146,F. Castro,Nueva Chicago,ATACANTE,ARG2,-0.84,19,-0.84,19
147,M. Albertengo,Gimnasia Jujuy,ATACANTE,ARG2,0.04,60,0.04,60
148,D. Diellos,Deportivo Madryn,ATACANTE,ARG2,-0.7,28,-0.7,28
149,E. Almirón,Deportivo Maipú,ATACANTE,ARG2,-1.15,9,-1.15,9
150,G. Rivero,Almirante Brown,ATACANTE,ARG2,-0.35,47,-0.35,47
151,L. Marinucci,Atlanta,ATACANTE,ARG2,1.35,89,1.35,89
152,F. Toloza,All Boys,ATACANTE,ARG2,-0.68,30,-0.68,30
153,L. López,Temperley,ATACANTE,ARG2,-0.87,15,-0.87,15
154,A. Melo,Agropecuario,ATACANTE,ARG2,2.26,97,2.26,97
155,M. Fernández,Guillermo Brown,ATACANTE,ARG2,1.93,94,1.93,94
156,A. Lavezzi,Tristán Suárez,ATACANTE,ARG2,0.62,74,0.62,74
157,J. Velázquez,Defensores Unidos,ATACANTE,ARG2,-0.89,14,-0.89,14
158,M. Arturia,Temperley,ATACANTE,ARG2,0.78,78,0.78,78
159,E. Rescaldani,Deportivo Morón,ATACANTE,ARG2,-1.22,6,-1.22,6
160,L. Silba,Gimnasia Mendoza,ATACANTE,ARG2,-0.86,17,-0.86,17
161,N. Romano,Gimnasia Mendoza,ATACANTE,ARG2,0.39,71,0.39,71
162,E. Aguirre,Defensores de Belgrano,ATACANTE,ARG2,-0.24,51,-0.24,51
163,F. Coronel,Patronato,ATACANTE,ARG2,-0.03,59,-0.03,59
164,B. Nasta,Racing Córdoba,ATACANTE,ARG2,-0.46,43,-0.46,43
165,J. Marcioni,Agropecuario,ATACANTE,ARG2,0.63,75,0.63,75
166,C. Bieler,Agropecuario,ATACANTE,ARG2,-1.36,1,-1.36,1
167,J. Kucharski,Sydney,ATACANTE,AUS,0.94,84,0.94,84
168,D. Williams,Perth Glory,ATACANTE,AUS,-0.04,64,-0.04,64
169,C. Ikonomidis,Melbourne Victory,ATACANTE,AUS,2.9,100,2.9,100
170,L. Jovanovic,Adelaide United,ATACANTE,AUS,1.45,92,1.45,92
171,Marco Túlio,Kyoto Sanga,ATACANTE,AUS,0.35,76,0.35,76
172,B. Borrello,Western Sydney Wanderers,ATACANTE,AUS,-0.09,60,-0.09,60
173,T. Buhagiar,Newcastle Jets,ATACANTE,AUS,-0.71,20,-0.71,20
174,F. Bérenguer,Brisbane Roar,ATACANTE,AUS,-1.18,8,-1.18,8
175,S. Colakovski,Perth Glory,ATACANTE,AUS,-0.51,36,-0.51,36
176,N. Botić,Western United,ATACANTE,AUS,-0.4,40,-0.4,40
177,M. Ruhs,Western United,ATACANTE,AUS,0.23,72,0.23,72
178,T. Waddingham,Brisbane Roar,ATACANTE,AUS,-0.94,12,-0.94,12
179,A. Kuol,Central Coast Mariners,ATACANTE,AUS,-0.29,56,-0.29,56
180,H. Ibusuki,Adelaide United,ATACANTE,AUS,-0.8,16,-0.8,16
181,D. Ball,Wellington Phoenix,ATACANTE,AUS,-0.39,48,-0.39,48
182,M. Antonsson,Western Sydney Wanderers,ATACANTE,AUS,-0.71,24,-0.71,24
183,Fábio Gomes,Sydney,ATACANTE,AUS,-0.39,52,-0.39,52
184,R. Mak,Sydney,ATACANTE,AUS,1.2,88,1.2,88
185,U. Dávila,Macarthur,ATACANTE,AUS,1.97,96,1.97,96
186,A. Stamatelopoulos,Newcastle Jets,ATACANTE,AUS,-0.69,28,-0.69,28
187,A. Taggart,Perth Glory,ATACANTE,AUS,-0.4,44,-0.4,44
188,B. Fornaroli,Melbourne Victory,ATACANTE,AUS,0.54,80,0.54,80
189,J. Maclaren,Melbourne City,ATACANTE,AUS,-1.45,4,-1.45,4
190,V. Germain,Macarthur,ATACANTE,AUS,-0.57,32,-0.57,32
191,K. Barbarouses,Wellington Phoenix,ATACANTE,AUS,-0.02,68,-0.02,68
192,N. Dorgeles,Salzburg,ATACANTE,AUT,0.77,79,0.77,79
193,S. Koita,Salzburg,ATACANTE,AUT,0.09,55,0.09,55
194,F. Asllani,Austria Wien,ATACANTE,AUT,0.57,67,0.57,67
195,A. Schmid,Austria Lustenau,ATACANTE,AUT,0.91,82,0.91,82
196,B. Zimmermann,Wolfsberger AC,ATACANTE,AUT,-0.86,30,-0.86,30
197,M. Biereth,Sturm Graz,ATACANTE,AUT,-1.22,9,-1.22,9
198,N. Cissé,Austria Lustenau,ATACANTE,AUT,-0.23,52,-0.23,52
199,M. Bamba,Wolfsberger AC,ATACANTE,AUT,1.53,91,1.53,91
200,S. Włodarczyk,Sturm Graz,ATACANTE,AUT,-1.57,3,-1.57,3
201,P. Ratkov,Salzburg,ATACANTE,AUT,-1.03,15,-1.03,15
202,F. Jaritz,Austria Klagenfurt,ATACANTE,AUT,-1.48,6,-1.48,6
203,F. Mayulu,Rapid Wien,ATACANTE,AUT,-0.58,39,-0.58,39
204,А. Buksa,WSG Swarovski Tirol,ATACANTE,AUT,-0.94,21,-0.94,21
205,Gustavo Santos,Rheindorf Altach,ATACANTE,AUT,1.93,97,1.93,97
206,M. Sarkaria,Sturm Graz,ATACANTE,AUT,0.75,76,0.75,76
207,M. Husković,Austria Wien,ATACANTE,AUT,0.65,73,0.65,73
208,R. Providence,Hartberg,ATACANTE,AUT,0.95,88,0.95,88
209,R. Šimić,Salzburg,ATACANTE,AUT,-0.39,48,-0.39,48
210,J. Arweiler,Austria Klagenfurt,ATACANTE,AUT,-0.82,33,-0.82,33
211,M. Diarra,WSG Swarovski Tirol,ATACANTE,AUT,-0.45,42,-0.45,42
212,W. Bøving,Sturm Graz,ATACANTE,AUT,0.32,61,0.32,61
213,G. Burgstaller,Rapid Wien,ATACANTE,AUT,-0.88,27,-0.88,27
214,L. Fridrikas,Austria Lustenau,ATACANTE,AUT,0.26,58,0.26,58
215,A. Nuhiu,Rheindorf Altach,ATACANTE,AUT,-0.88,24,-0.88,24
216,K. Konaté,Salzburg,ATACANTE,AUT,0.62,70,0.62,70
217,M. Entrup,Hartberg,ATACANTE,AUT,-1.04,12,-1.04,12
218,Ronivaldo,Blau-Weiß Linz,ATACANTE,AUT,-0.76,36,-0.76,36
219,S. Karweina,Austria Klagenfurt,ATACANTE,AUT,0.52,64,0.52,64
220,Y. Diaby,Austria Lustenau,ATACANTE,AUT,2.14,100,2.14,100
221,M. Ljubičić,LASK ,ATACANTE,AUT,-0.96,18,-0.96,18
222,D. Avdijaj,Hartberg,ATACANTE,AUT,0.92,85,0.92,85
223,T. Ballo,Wolfsberger AC,ATACANTE,AUT,1.57,94,1.57,94
224,N. Prelec,WSG Swarovski Tirol,ATACANTE,AUT,-0.42,45,-0.42,45
225,M. El Idrissy,Kortrijk,ATACANTE,BEL1,-0.27,52,-0.27,52
226,N. Opoku,OH Leuven,ATACANTE,BEL1,0.22,64,0.22,64
227,M. Fernandez-Pardo,Gent,ATACANTE,BEL1,2.18,95,2.18,95
228,N. Bassette,Mechelen,ATACANTE,BEL1,0.64,79,0.64,79
229,Y. Matsuo,Urawa Reds,ATACANTE,BEL1,-0.26,55,-0.26,55
230,G. Orban,Olympique Lyonnais,ATACANTE,BEL1,0.38,71,0.38,71
231,A. Zeqiri,Genk,ATACANTE,BEL1,0.24,67,0.24,67
232,Y. Badji,Charleroi,ATACANTE,BEL1,-0.86,14,-0.86,14
233,L. Vázquez,Anderlecht,ATACANTE,BEL1,-0.57,36,-0.57,36
234,K. Yeboah,Standard Liège,ATACANTE,BEL1,0.95,88,0.95,88
235,Y. Sor,Genk,ATACANTE,BEL1,0.8,83,0.8,83
236,A. Finnbogason,Eupen,ATACANTE,BEL1,-1.34,2,-1.34,2
237,D. Eckert Ayensa,Union Saint-Gilloise,ATACANTE,BEL1,-0.08,60,-0.08,60
238,L. Stassin,Westerlo,ATACANTE,BEL1,-0.41,50,-0.41,50
239,J. Braut Brunes,OH Leuven,ATACANTE,BEL1,-1.25,5,-1.25,5
240,M. Maertens,OH Leuven,ATACANTE,BEL1,-0.84,17,-0.84,17
241,M. Frigan,Westerlo,ATACANTE,BEL1,-0.98,10,-0.98,10
242,K. Sowah,Standard Liège,ATACANTE,BEL1,-0.65,29,-0.65,29
243,N. Nsingi,OH Leuven,ATACANTE,BEL1,0.87,86,0.87,86
244,F. Kaya,Sint-Truiden,ATACANTE,BEL1,-0.46,48,-0.46,48
245,G. Ilenikhena,Antwerp,ATACANTE,BEL1,-0.6,31,-0.6,31
246,K. Zahiroleslam,Sint-Truiden,ATACANTE,BEL1,-0.56,38,-0.56,38
247,H. Cuypers,Chicago Fire,ATACANTE,BEL1,-0.71,26,-0.71,26
248,F. Avenatti,Kortrijk,ATACANTE,BEL1,-1.08,7,-1.08,7
249,Ferrán Jutglà,Club Brugge,ATACANTE,BEL1,0.6,76,0.6,76
250,M. Biron,RWD Molenbeek,ATACANTE,BEL1,1.01,90,1.01,90
251,R. Charles-Cook,Eupen,ATACANTE,BEL1,0.44,74,0.44,74
252,Oday Dabbagh,Charleroi,ATACANTE,BEL1,-0.18,57,-0.18,57
253,L. Lauberbach,Mechelen,ATACANTE,BEL1,-0.83,19,-0.83,19
254,M. Amoura,Union Saint-Gilloise,ATACANTE,BEL1,3.29,100,3.29,100
255,I. Davies,Kortrijk,ATACANTE,BEL1,0.36,69,0.36,69
256,T. Tissoudali,Gent,ATACANTE,BEL1,1.07,93,1.07,93
257,T. Arokodare,Genk,ATACANTE,BEL1,-0.92,12,-0.92,12
258,J. Þorsteinsson,OH Leuven,ATACANTE,BEL1,2.62,98,2.62,98
259,G. Nilsson,Union Saint-Gilloise,ATACANTE,BEL1,-0.58,33,-0.58,33
260,I. Nuhu,Eupen,ATACANTE,BEL1,0.69,81,0.69,81
261,Thiago,Club Brugge,ATACANTE,BEL1,-0.52,43,-0.52,43
262,M. Gueye,RWD Molenbeek,ATACANTE,BEL1,-0.71,24,-0.71,24
263,K. Dolberg,Anderlecht,ATACANTE,BEL1,-0.54,40,-0.54,40
264,V. Janssen,Antwerp,ATACANTE,BEL1,-0.51,45,-0.51,45
265,W. Kanga,Standard Liège,ATACANTE,BEL1,-0.81,21,-0.81,21
266,K. Denkey,Cercle Brugge,ATACANTE,BEL1,0.17,62,0.17,62
267,B. Faraas,Club Brugge II,ATACANTE,BEL2,-0.88,22,-0.88,22
268,K. Goto,Anderlecht II,ATACANTE,BEL2,-1.13,10,-1.13,10
269,D. Atanga,Oostende,ATACANTE,BEL2,-0.19,56,-0.19,56
270,J. Soladio,Dender,ATACANTE,BEL2,-1.03,15,-1.03,15
271,R. Vermant,Westerlo,ATACANTE,BEL2,-0.62,39,-0.62,39
272,N. Makembo,Standard Liège II,ATACANTE,BEL2,-0.74,29,-0.74,29
273,Igor Vetokele,Lommel SK,ATACANTE,BEL2,-0.67,34,-0.67,34
274,T. Chevalier,Mons,ATACANTE,BEL2,-0.28,51,-0.28,51
275,O. Sow,Lierse Kempenzonen,ATACANTE,BEL2,2.8,100,2.8,100
276,Diego Rosa,Lommel SK,ATACANTE,BEL2,-0.99,17,-0.99,17
277,E. Kehrer,Deinze,ATACANTE,BEL2,1.14,88,1.14,88
278,N. Rajsel,Dender,ATACANTE,BEL2,0.94,80,0.94,80
279,A. Ndour,Zulte-Waregem,ATACANTE,BEL2,0.61,76,0.61,76
280,E. Sam,Patro Eisden,ATACANTE,BEL2,-0.35,44,-0.35,44
281,Zinho Gano,Zulte-Waregem,ATACANTE,BEL2,-1.42,2,-1.42,2
282,J. Attah Kadiri,Francs Borains,ATACANTE,BEL2,-0.83,24,-0.83,24
283,D. Pérez,Oostende,ATACANTE,BEL2,-0.34,49,-0.34,49
284,R. Ure,Anderlecht II,ATACANTE,BEL2,-0.26,54,-0.26,54
285,E. Soumah-Abbad,RFC Seraing,ATACANTE,BEL2,0.49,68,0.49,68
286,Z. Atteri,Liège,ATACANTE,BEL2,0.54,71,0.54,71
287,R. Mirisola,Genk II,ATACANTE,BEL2,0.19,66,0.19,66
288,Matheus Machado,Zulte-Waregem,ATACANTE,BEL2,1.96,98,1.96,98
289,S. Sigurdarson,Patro Eisden,ATACANTE,BEL2,-1.29,5,-1.29,5
290,A. De Bruyn,Lierse Kempenzonen,ATACANTE,BEL2,-0.35,46,-0.35,46
291,Víctor Barberá,Club Brugge,ATACANTE,BEL2,0.09,61,0.09,61
292,G. De Schryver,Deinze,ATACANTE,BEL2,-0.64,37,-0.64,37
293,V. Beniangba,Genk II,ATACANTE,BEL2,0.6,73,0.6,73
294,S. Anne,Deinze,ATACANTE,BEL2,1.49,93,1.49,93
295,A. Bertaccini,Sint-Truiden,ATACANTE,BEL2,1.0,85,1.0,85
296,O. Oularé,Lierse Kempenzonen,ATACANTE,BEL2,-0.96,20,-0.96,20
297,C. Keita,Beerschot-Wilrijk,ATACANTE,BEL2,-0.37,41,-0.37,41
298,E. Ocansey,Lierse Kempenzonen,ATACANTE,BEL2,0.0,59,0.0,59
299,S. Benjdida,Standard Liège II,ATACANTE,BEL2,0.16,63,0.16,63
300,Arthur Sales,Lommel SK,ATACANTE,BEL2,-0.69,32,-0.69,32
301,P. Fall,RFC Seraing,ATACANTE,BEL2,-0.82,27,-0.82,27
302,L. Mertens,Deinze,ATACANTE,BEL2,-1.04,12,-1.04,12
303,B. Ghalidi,Standard Liège II,ATACANTE,BEL2,1.87,95,1.87,95
304,G. Koyalipou,SK Beveren,ATACANTE,BEL2,1.49,90,1.49,90
305,M. Berte,Oostende,ATACANTE,BEL2,0.71,78,0.71,78
306,B. Nsimba,Dender,ATACANTE,BEL2,0.96,83,0.96,83
307,J. Vossen,Zulte-Waregem,ATACANTE,BEL2,-1.17,7,-1.17,7
308,D. Pinto,Blooming,ATACANTE,BOL,-1.05,14,-1.05,14
309,R. Monteiro,Universitario de Vinto,ATACANTE,BOL,-1.19,9,-1.19,9
310,J. Sinisterra,Sportivo Trinidense,ATACANTE,BOL,1.12,91,1.12,91
311,F. Luna,Ferro Carril Oeste LP,ATACANTE,BOL,3.92,100,3.92,100
312,R. Ramírez,Atlántida,ATACANTE,BOL,0.23,69,0.23,69
313,F. Callejo,Nacional Potosí,ATACANTE,BOL,-0.82,26,-0.82,26
314,L. Hurtado,Independiente Petrolero,ATACANTE,BOL,-0.07,49,-0.07,49
315,Y. Taborga,Gualberto Villarroel SJ,ATACANTE,BOL,0.31,74,0.31,74
316,J. Orozco,Real Tomayapo,ATACANTE,BOL,-1.01,20,-1.01,20
317,M. Chajtur,Guabirá,ATACANTE,BOL,1.38,97,1.38,97
318,V. Castellón,Real Tomayapo,ATACANTE,BOL,-1.38,3,-1.38,3
319,B. Miranda,The Strongest,ATACANTE,BOL,0.07,54,0.07,54
320,J. Rojas,Oriente Petrolero,ATACANTE,BOL,0.13,60,0.13,60
321,G. Rodríguez,Cobreloa,ATACANTE,BOL,-0.2,40,-0.2,40
322,G. Álvarez,Oriente Petrolero,ATACANTE,BOL,-0.42,34,-0.42,34
323,P. Taborga,Vaca Díez,ATACANTE,BOL,0.19,63,0.19,63
324,Daniel Passira,San Antonio Bulo Bulo,ATACANTE,BOL,0.34,77,0.34,77
325,W. Álvarez,Nacional Potosí,ATACANTE,BOL,-1.22,6,-1.22,6
