Atleta,Equipe Janela Análise,Posição,Liga,Participação,Recomposição,Retenção Posse,Arranque,Bola aérea,Último passe,Finalização,Drible,Oportunismo,Participação_percentil,Recomposição_percentil,Retenção_posse_percentil,Arranque_percentil,Bola_aérea_percentil,ùltimo_passe_percentil,Finalização_percentil,Drible_percentil,Oportunismo_percentil
M. Quiroga,Platense,ATACANTE,ARG1,-0.93,-2.63,-0.27,-0.16,0.1,3.15,-0.8,-1.34,-0.63,26,7,47,56,56,97,34,1,42
D. Barrea,Godoy Cruz,ATACANTE,ARG1,-0.19,0.29,-0.33,1.33,-0.46,-2.35,-1.03,0.82,-1.91,49,62,41,84,41,7,26,88,15
A. Marinelli,Sarmiento,ATACANTE,ARG1,-0.52,4.08,-2.71,-0.49,-2.66,-0.65,-4.44,0.58,-4.28,37,97,3,41,3,34,1,82,1
L. Leal,Arsenal,ATACANTE,ARG1,-2.25,-1.58,-1.57,-1.47,-1.19,-2.55,1.17,0.26,-0.03,7,18,7,8,29,1,78,68,56
R. Martínez,Racing Club,ATACANTE,ARG1,-0.21,-1.46,-0.11,-0.63,-1.43,0.62,-0.3,1.15,-1.99,47,21,52,34,18,74,40,90,12
F. Castelli,Delfin,ATACANTE,ARG1,0.2,1.64,0.16,1.33,-0.1,-0.47,-1.17,0.65,-0.56,58,82,62,85,51,45,19,84,47
Mateo Pellegrino,Platense,ATACANTE,ARG1,-0.63,-1.38,-0.09,-0.27,0.93,-2.46,-3.13,-0.55,-2.65,34,25,53,49,71,5,4,32,3
T. Nuss,Argentinos Juniors,ATACANTE,ARG1,0.57,1.73,-0.32,1.58,-1.43,-1.02,-2.78,0.5,-2.16,68,84,42,90,19,25,5,79,8
T. Badaloni,Tigre,ATACANTE,ARG1,-0.96,-0.73,-0.17,-0.05,1.65,-0.38,-1.17,-0.44,-1.21,25,38,51,59,88,49,21,38,30
G. Carrillo,Estudiantes,ATACANTE,ARG1,1.63,-0.94,2.23,-0.98,5.84,-0.18,-0.92,-0.73,-1.42,89,37,95,21,100,58,32,22,21
A. Chávez,Nasaf,ATACANTE,ARG1,-1.29,-2.06,-0.93,-0.31,-0.08,-1.8,-1.81,0.37,-0.14,16,12,19,47,52,12,11,75,55
J. Benítez,Colón,ATACANTE,ARG1,2.12,1.98,1.43,0.11,2.36,-2.54,0.3,1.18,-0.15,93,85,90,60,96,3,55,92,53
J. Morales,Unión Santa Fe,ATACANTE,ARG1,-3.49,-2.86,-3.22,-2.57,-2.13,-1.82,0.62,-1.18,1.15,1,1,1,1,5,11,63,4,71
N. Reniero,Tigre,ATACANTE,ARG1,0.55,0.87,0.18,-0.56,-1.37,1.51,-1.52,0.3,-1.65,67,74,63,38,22,85,15,73,18
F. Pons,Arsenal,ATACANTE,ARG1,1.12,0.88,0.36,-0.83,-0.41,-0.85,-0.95,-0.29,-0.21,81,75,70,26,44,26,30,52,52
F. Jara,Belgrano,ATACANTE,ARG1,0.77,2.38,-0.28,-0.73,-1.85,0.91,-0.27,-0.14,-0.9,75,93,45,30,12,78,41,56,34
L. Melano,Neftchi,ATACANTE,ARG1,0.35,0.36,-0.43,1.27,-1.52,0.57,1.59,0.66,0.63,60,64,33,82,16,73,88,85,63
A. Canelo,Independiente,ATACANTE,ARG1,0.37,0.48,0.22,0.89,-0.99,1.91,0.92,0.14,-0.73,63,66,64,78,32,90,71,63,37
L. Passerini,Belgrano,ATACANTE,ARG1,-1.02,-2.0,-0.83,-0.56,0.69,-0.23,3.39,-0.35,4.62,22,15,22,40,67,56,100,48,100
L. Heredia,Argentinos Juniors,ATACANTE,ARG1,1.43,-0.06,2.56,0.17,1.06,0.54,1.51,-0.56,1.59,86,52,97,62,77,71,84,30,81
V. Depietri,Talleres Córdoba,ATACANTE,ARG1,4.12,2.26,3.52,4.94,-0.56,1.54,-2.5,3.18,-2.15,100,89,99,100,38,86,8,99,10
N. Cordero,Querétaro,ATACANTE,ARG1,-0.64,-0.7,-0.58,-1.68,2.42,-2.2,0.62,-0.93,1.04,33,40,29,5,97,8,64,11,67
S. Sosa,Banfield,ATACANTE,ARG1,-0.46,2.62,-0.36,-1.25,4.61,-0.35,-0.88,-1.21,-1.32,42,95,38,14,99,51,33,3,25
R. Ruiz Rodríguez,Atlético Tucumán,ATACANTE,ARG1,0.35,0.81,0.47,0.27,-0.32,2.53,-2.62,0.99,-2.54,62,71,71,66,45,95,7,89,4
D. Benedetto,Boca Juniors,ATACANTE,ARG1,-1.33,-1.43,-1.11,-1.57,-0.68,-0.67,0.13,-0.76,1.15,14,22,15,7,37,33,47,19,73
L. Beltrán,Fiorentina,ATACANTE,ARG1,2.53,2.19,1.51,-0.72,-1.2,5.56,2.82,0.27,2.31,95,88,93,32,27,99,97,70,90
S. Rondón,River Plate,ATACANTE,ARG1,-0.12,0.11,0.61,-0.13,0.98,-0.12,1.57,-0.61,1.28,52,55,75,58,74,59,86,29,75
G. Verón,Argentinos Juniors,ATACANTE,ARG1,3.06,-0.51,4.02,0.65,0.76,-0.24,-3.15,-0.02,-2.34,99,47,100,73,70,55,3,62,7
N. Bustos,Talleres Córdoba,ATACANTE,ARG1,-0.47,-1.1,-0.17,-0.95,-0.97,-1.09,1.35,-0.74,2.0,41,32,49,22,33,22,82,21,89
L. López,Sarmiento,ATACANTE,ARG1,0.44,2.28,-0.04,0.19,0.48,-1.06,-1.06,-0.4,-1.3,64,90,55,63,63,23,25,42,26
F. Londoño,Arsenal,ATACANTE,ARG1,-0.69,1.26,-0.41,0.6,1.98,-2.13,-1.54,-0.87,-1.27,29,77,34,71,93,10,14,14,27
A. Domínguez,Barracas Central,ATACANTE,ARG1,0.28,-0.28,0.7,2.47,1.0,-1.26,-0.98,-0.7,-0.53,59,48,78,97,75,19,27,23,48
M. Borja,River Plate,ATACANTE,ARG1,-1.3,-1.12,-0.48,-0.33,-0.41,-0.62,1.69,-1.05,1.98,15,30,32,45,42,36,90,5,88
M. Méndez,Estudiantes,ATACANTE,ARG1,-1.1,-0.27,-0.68,-0.74,0.6,-0.7,0.24,-0.48,1.03,19,49,26,29,64,32,51,37,66
S. Castro,Vélez Sarsfield,ATACANTE,ARG1,0.6,1.47,0.06,1.59,0.97,-0.54,0.58,0.75,0.27,70,81,59,92,73,44,60,86,62
A. Osorio,Vélez Sarsfield,ATACANTE,ARG1,0.48,1.28,0.16,-0.45,1.41,-1.35,-1.42,0.35,-2.12,66,78,60,42,85,18,16,74,11
P. Solari,River Plate,ATACANTE,ARG1,2.65,2.05,2.31,1.69,-1.24,6.73,0.99,1.94,-0.65,96,86,96,93,26,100,75,96,40
B. Armoa,Tigre,ATACANTE,ARG1,-0.52,-1.17,-0.39,0.8,1.11,-0.6,-1.54,0.25,-1.55,40,27,37,77,79,37,12,67,19
A. Véliz,Tottenham Hotspur,ATACANTE,ARG1,-1.8,-0.6,-0.5,-0.76,1.89,-2.54,1.89,-0.95,2.92,8,42,30,27,92,4,93,10,96
M. Santos,Juárez,ATACANTE,ARG1,-2.54,-2.72,-2.24,-0.33,-1.87,2.11,1.92,-0.18,2.4,4,4,4,44,11,92,95,55,93
N. Servetto,Platense,ATACANTE,ARG1,-1.36,-1.05,-1.27,-1.17,-1.04,-0.83,0.72,-0.81,2.34,12,34,12,16,30,27,67,18,92
