Atleta,Equipe Janela Análise,Posição,Liga,Participação,Recomposição,Retenção Posse,Arranque,Bola aérea,Último passe,Finalização,Drible,Oportunismo,Participação_percentil,Recomposição_percentil,Retenção_posse_percentil,Arranque_percentil,Bola_aérea_percentil,ùltimo_passe_percentil,Finalização_percentil,Drible_percentil,Oportunismo_percentil
M. Romero,Racing Club,ATACANTE,ARG1,-3.07,-2.31,-1.6,-1.2,2.2,-0.34,0.1,-1.01,-0.78,3,8,5,15,95,52,45,7,36
M. Retegui,Genoa,ATACANTE,ARG1,-0.8,-1.15,-0.4,-0.27,0.37,-0.58,0.63,-0.04,1.75,27,29,36,51,62,38,66,60,84
I. Machuca,Fortaleza,ATACANTE,ARG1,1.38,-0.12,-1.01,1.58,-2.52,0.36,-0.16,4.68,-0.97,85,51,18,89,4,68,44,100,33
M. Merentiel,Boca Juniors,ATACANTE,ARG1,-1.21,-2.7,-1.47,-2.21,-1.97,1.36,2.88,-0.3,4.42,18,5,8,3,8,84,99,51,99
S. Rodríguez,Instituto,ATACANTE,ARG1,1.55,0.81,0.59,-0.28,-1.94,2.56,-0.97,1.74,-1.98,88,73,74,48,10,96,29,95,14
L. Pratto,Defensa y Justicia,ATACANTE,ARG1,0.8,1.43,1.42,-0.2,1.77,-0.71,1.65,-0.23,-0.5,77,79,89,55,89,30,89,53,49
J. Dómina,Unión Santa Fe,ATACANTE,ARG1,-0.97,-2.02,-1.4,-1.08,-1.4,-0.39,-1.33,0.42,-1.41,23,14,11,19,21,48,18,77,22
J. Toledo,Colón,ATACANTE,ARG1,-0.18,-1.99,0.28,0.52,1.18,0.64,-1.08,-0.96,-0.49,51,16,66,70,81,75,23,8,51
E. Ramírez,Gimnasia La Plata,ATACANTE,ARG1,1.2,3.57,0.0,-0.25,-0.3,0.19,-0.49,0.47,-0.71,82,96,56,53,47,63,37,78,38
G. Hauche,Racing Club,ATACANTE,ARG1,1.7,-0.52,0.74,-0.26,-3.34,1.0,0.35,-0.53,0.07,90,45,81,52,1,79,56,34,58
W. Mazzantti,Huracán,ATACANTE,ARG1,1.91,4.84,0.0,0.22,-1.56,0.84,0.78,1.4,-0.58,92,99,58,64,15,77,70,93,45
R. Martínez,Platense,ATACANTE,ARG1,-0.27,0.55,0.32,1.46,1.39,-0.56,-0.19,-0.36,-1.23,44,68,68,88,84,40,42,47,29
M. Estigarribia,Atlético Tucumán,ATACANTE,ARG1,0.89,0.36,1.47,1.23,1.51,-0.29,0.59,-0.85,1.47,79,63,92,81,86,53,62,15,79
P. Vegetti,Vasco da Gama,ATACANTE,ARG1,-0.68,-1.47,0.3,0.91,1.88,-1.39,0.93,-0.34,1.88,30,19,67,79,90,16,73,49,86
M. Cauteruccio,Independiente,ATACANTE,ARG1,-2.38,-2.11,-1.44,-1.16,-1.25,-0.46,2.33,-0.91,3.04,5,11,10,18,25,47,96,12,97
S. Pierotti,Colón,ATACANTE,ARG1,2.79,4.89,1.27,1.36,-0.25,-0.55,-2.26,2.02,-2.38,97,100,86,86,48,41,10,97,5
N. Fernández,Defensa y Justicia,ATACANTE,ARG1,-0.53,0.28,-0.9,-0.6,-2.07,1.18,0.41,0.21,1.43,36,60,21,36,7,82,59,64,78
R. Ábila,Colón,ATACANTE,ARG1,-1.76,-2.81,-0.8,-0.95,-0.73,2.4,1.32,-0.54,1.13,10,3,23,23,34,93,81,33,70
M. Giménez,Banfield,ATACANTE,ARG1,-0.52,2.37,-1.26,-1.47,-0.73,-1.44,-0.47,-0.38,0.23,38,92,14,10,36,14,38,44,60
M. Cóccaro,Huracán,ATACANTE,ARG1,-0.05,-1.06,-0.36,-0.66,0.74,-0.55,0.73,-0.05,1.73,55,33,40,33,68,42,68,58,82
G. Ávalos,Argentinos Juniors,ATACANTE,ARG1,-0.1,-1.41,1.41,2.93,0.15,1.72,1.88,-0.44,1.75,53,23,88,99,58,88,92,40,85
B. Sepúlveda,Barracas Central,ATACANTE,ARG1,-0.21,0.14,1.09,1.9,0.26,0.14,0.2,-0.64,-0.58,48,56,85,95,60,62,49,27,44
S. Rodríguez,Godoy Cruz,ATACANTE,ARG1,-1.37,-0.63,-1.06,-1.36,0.25,0.31,-1.16,-0.68,-1.33,11,41,16,11,59,67,22,26,23
C. Tarragona,Gimnasia La Plata,ATACANTE,ARG1,0.65,0.49,0.76,0.65,-0.2,-1.15,0.2,-0.49,0.21,73,67,82,74,49,21,48,36,59
L. Gamba,Central Córdoba SdE,ATACANTE,ARG1,0.85,-0.97,0.52,0.65,-1.83,1.83,0.36,-0.04,-1.67,78,36,73,75,14,89,58,59,16
A. Bareiro,San Lorenzo,ATACANTE,ARG1,0.05,0.09,-0.21,-1.26,1.35,-1.41,1.0,-0.36,1.35,56,53,48,12,82,15,77,45,77
L. Díaz,Lanús,ATACANTE,ARG1,-1.06,-2.14,-0.62,-0.58,0.07,1.07,1.53,-0.43,2.62,21,10,27,37,53,81,85,41,95
M. Giménez,Independiente,ATACANTE,ARG1,1.21,0.24,0.95,0.43,-0.53,0.29,0.29,0.23,0.71,84,59,84,68,40,66,53,66,64
J. Recalde,Newell's Old Boys,ATACANTE,ARG1,-0.66,-1.28,-0.28,-1.99,1.09,-0.01,-0.49,-0.69,-0.64,32,26,44,4,78,60,36,25,41
L. Gondou,Argentinos Juniors,ATACANTE,ARG1,0.68,0.62,0.64,0.38,0.64,-0.75,0.94,0.27,1.05,74,70,77,67,66,29,74,71,68
M. Coronel,Atlético Tucumán,ATACANTE,ARG1,0.62,-0.53,0.74,2.27,-1.28,0.19,0.27,0.57,-1.07,71,44,79,96,23,64,52,81,32
A. Martínez,Instituto,ATACANTE,ARG1,-0.22,0.19,-0.71,-0.91,0.08,0.4,1.18,-0.83,1.17,45,58,25,25,55,70,79,16,74
D. Lamkel Zé,Kortrijk,ATACANTE,BEL1,1.33,-3.15,2.08,1.91,-0.16,0.7,-1.49,0.67,-2.0,88,2,96,92,54,67,17,77,15
V. Bayo,Charleroi,ATACANTE,BEL1,2.05,1.73,2.6,1.56,0.5,0.49,-0.49,-0.71,0.4,94,85,100,88,71,62,40,29,69
Y. Matsuo,Westerlo,ATACANTE,BEL1,-0.32,0.13,-1.01,1.52,-2.11,2.45,-3.06,0.44,-3.09,48,56,23,85,4,94,4,75,4
R. Yaremchuk,Club Brugge,ATACANTE,BEL1,-0.51,-2.2,1.05,0.22,-0.56,1.3,-0.79,-0.67,-1.03,38,6,79,56,46,77,25,31,23
I. Vetokele,Westerlo,ATACANTE,BEL1,-1.08,-0.2,-1.08,-2.35,2.26,-0.3,1.49,-0.52,1.28,17,48,21,4,90,50,85,40,79
L. Depoitre,Gent,ATACANTE,BEL1,-0.76,-1.36,0.57,0.29,1.71,0.3,0.85,-1.12,0.46,29,27,69,60,83,56,75,4,73
D. Drăguş,Standard Liège,ATACANTE,BEL1,1.85,2.31,-0.16,-0.59,-1.98,-0.41,-0.62,0.84,-0.5,90,90,46,35,8,48,35,81,42
I. Nuhu,Eupen,ATACANTE,BEL1,0.58,1.29,0.32,1.24,-1.4,-0.43,-2.08,0.93,-2.48,67,81,58,79,21,46,10,85,8
G. Nilsson,Union Saint-Gilloise,ATACANTE,BEL1,-0.05,2.36,-0.05,-0.73,3.15,-2.47,0.07,-0.86,-0.42,52,92,50,33,96,2,54,21,44
Y. Malede,Mechelen,ATACANTE,BEL1,0.53,0.93,-0.48,0.68,-1.16,0.95,-2.38,1.91,-2.24,65,73,40,69,27,71,8,96,10
M. Stroeykens,Anderlecht,ATACANTE,BEL1,2.94,3.69,1.16,-1.55,-1.8,0.42,-0.72,-0.05,-0.04,100,98,81,15,12,60,31,60,58
N. Nsingi,OH Leuven,ATACANTE,BEL1,-2.17,-0.69,-2.43,-1.37,-0.57,-1.44,0.05,-0.12,-0.67,6,42,4,19,44,21,50,56,29
S. Perica,Standard Liège,ATACANTE,BEL1,-2.3,-1.63,-2.11,-1.45,-1.76,-1.01,1.0,-0.9,1.76,4,23,6,17,15,29,81,15,88
P. Onuachu,Genk,ATACANTE,BEL1,-0.04,-0.74,0.76,-0.59,2.12,-1.88,4.05,-0.42,5.58,54,40,73,38,88,12,100,48,100
G. Orban,Gent,ATACANTE,BEL1,-0.88,-1.68,-0.08,1.41,-2.04,1.91,2.11,-0.37,1.57,23,19,48,83,6,85,94,50,85
Y. Badji,Charleroi,ATACANTE,BEL1,0.7,1.18,1.67,0.79,3.6,-2.32,0.25,-0.99,1.34,77,79,92,71,98,6,60,12,81
P. Guèye,Kortrijk,ATACANTE,BEL1,-0.52,-0.06,-0.19,1.82,-0.54,-1.63,-0.55,-0.53,-0.62,35,50,42,90,48,19,38,38,33
A. Ndour,Zulte-Waregem,ATACANTE,BEL1,0.61,3.74,-0.65,0.38,-1.04,1.5,0.24,1.52,-0.35,73,100,35,65,31,81,58,92,46
N. Ohio,Standard Liège,ATACANTE,BEL1,-1.5,-2.74,-1.35,-1.85,-1.14,0.78,-0.74,-0.1,-1.13,15,4,19,8,29,69,27,58,21
K. Sowah,Club Brugge,ATACANTE,BEL1,2.86,3.35,2.46,-1.09,-1.04,2.78,-3.52,-0.6,-3.15,98,96,98,27,33,100,2,33,2
K. Vaesen,Westerlo,ATACANTE,BEL1,-0.98,1.08,-0.78,-0.52,1.4,-1.25,0.17,-0.85,0.2,21,75,33,40,79,27,56,23,62
Vagner,RFC Seraing,ATACANTE,BEL1,0.97,1.39,0.05,0.82,-1.43,-0.92,-0.89,1.15,0.25,79,83,52,73,19,33,23,88,65
Fábio Silva,Anderlecht,ATACANTE,BEL1,-0.38,-1.6,-0.85,0.29,-0.62,0.52,0.06,0.25,-0.59,46,25,31,58,42,65,52,69,38
J. Ngoy,Mechelen,ATACANTE,BEL1,-2.09,-1.16,-2.45,-1.11,-1.88,-2.13,0.6,0.29,-0.13,8,29,2,25,10,8,71,71,52
Z. Gano,Zulte-Waregem,ATACANTE,BEL1,-0.66,-0.37,0.82,0.2,2.65,-1.35,1.96,-1.05,2.53,31,46,75,54,92,25,90,10,92
L. Foster,Westerlo,ATACANTE,BEL1,0.18,-1.06,0.09,0.41,-0.33,2.55,0.29,0.42,-0.85,58,35,54,67,50,96,65,73,25
A. Samatta,Genk,ATACANTE,BEL1,-0.64,-0.04,-0.94,-2.0,3.04,-0.46,-0.15,-0.42,-0.56,33,52,27,6,94,44,46,46,40
D. Vanzeir,Union Saint-Gilloise,ATACANTE,BEL1,-1.57,-1.99,-1.46,-1.11,-0.77,2.43,0.89,-0.2,0.45,12,10,15,23,38,92,77,54,71
F. Hornby,Oostende,ATACANTE,BEL1,1.03,0.68,1.5,1.92,1.63,-0.69,-0.08,-0.56,-0.22,83,65,85,94,81,38,48,35,48
B. Messaoudi,Kortrijk,ATACANTE,BEL1,0.58,-0.64,0.16,2.25,-1.17,-1.43,-2.78,1.56,-2.84,71,44,56,96,25,23,6,94,6
Mario González,OH Leuven,ATACANTE,BEL1,-2.81,-1.72,-1.92,-1.6,-0.13,-1.82,3.52,-0.89,3.82,2,15,8,10,58,17,98,19,98
A. Bernier,RFC Seraing,ATACANTE,BEL1,-0.43,0.76,-1.67,1.1,-2.32,-0.63,-1.56,0.84,-1.69,44,67,12,77,2,40,12,83,19
N. Dorgeles,Westerlo,ATACANTE,BEL1,2.0,2.13,1.62,2.28,-1.64,1.5,0.99,0.75,0.08,92,88,90,98,17,83,79,79,60
M. Mouandilmadji,RFC Seraing,ATACANTE,BEL1,-1.74,-1.7,-1.4,-1.26,-0.02,-2.39,1.8,-1.11,2.99,10,17,17,21,60,4,88,6,94
D. Hayashi,Sint-Truiden,ATACANTE,BEL1,-0.8,0.8,-1.73,-0.52,0.32,-1.83,0.74,-0.74,-0.11,27,69,10,42,69,15,73,25,54
F. Avenatti,Kortrijk,ATACANTE,BEL1,1.0,0.62,1.59,-0.17,3.83,-0.7,0.26,-1.08,-0.15,81,62,88,48,100,35,62,8,50
S. Prevljak,Eupen,ATACANTE,BEL1,-1.0,-1.12,-0.95,-2.43,-0.15,-1.98,-0.73,-0.9,-0.74,19,31,25,2,56,10,29,17,27
G. Bruno,Sint-Truiden,ATACANTE,BEL1,0.04,0.14,0.51,-0.2,-1.01,-0.53,2.2,-0.51,3.05,56,58,67,46,35,42,96,42,96
K. N’Dri,Eupen,ATACANTE,BEL1,0.58,0.92,-0.56,2.73,-0.25,-0.04,-1.35,3.15,-2.03,69,71,38,100,52,54,19,100,12
Ferrán Jutglà,Club Brugge,ATACANTE,BEL1,-0.46,-1.92,0.48,0.02,0.06,1.41,0.37,0.18,0.66,42,12,65,50,62,79,67,67,75
I. Mbenza,Charleroi,ATACANTE,BEL1,1.18,-1.67,1.38,-0.43,-1.23,2.7,-1.54,0.15,-1.78,85,21,83,44,23,98,15,65,17
T. Ambrose,Oostende,ATACANTE,BEL1,2.75,0.39,1.93,1.28,0.29,2.15,-0.68,2.79,-0.66,96,60,94,81,67,90,33,98,31
J. Vossen,Zulte-Waregem,ATACANTE,BEL1,-0.49,1.1,-0.18,-1.57,0.8,-0.25,-0.2,-1.22,0.32,40,77,44,12,77,52,44,2,67
K. Denkey,Cercle Brugge,ATACANTE,BEL1,0.49,-0.93,0.37,0.07,-0.66,2.04,-0.31,-0.05,-0.06,62,38,60,52,40,88,42,62,56
V. Boniface,Union Saint-Gilloise,ATACANTE,BEL1,-0.27,-2.08,0.46,0.85,2.05,1.03,-0.93,1.16,-0.59,50,8,62,75,85,75,21,90,35
V. Janssen,Antwerp,ATACANTE,BEL1,0.42,-0.02,0.93,-0.83,0.23,0.31,0.39,-0.42,0.78,60,54,77,31,65,58,69,44,77
H. Cuypers,Gent,ATACANTE,BEL1,0.67,2.83,0.75,0.35,0.54,0.99,2.08,-0.71,1.81,75,94,71,62,73,73,92,27,90
A. Ueda,Cercle Brugge,ATACANTE,BEL1,-0.88,-1.08,-0.85,-1.05,0.73,-0.92,1.18,-0.33,1.4,25,33,29,29,75,31,83,52,83
Alef Manga,Pafos,ATACANTE,BRA1,0.16,-1.62,0.95,1.51,-0.54,0.58,0.08,0.7,0.01,59,17,85,88,49,78,49,90,54
I. Slimani,Coritiba,ATACANTE,BRA1,-0.9,-0.35,0.12,-1.11,2.37,0.21,0.58,-1.21,-0.04,32,46,56,32,95,71,63,2,51
Pedro Raul,Toluca,ATACANTE,BRA1,-0.57,0.56,-0.22,-0.53,1.62,-1.8,-1.31,-0.85,-1.37,39,68,44,44,80,10,20,17,22
Matheus Peixoto,Atlético GO,ATACANTE,BRA1,-1.62,-0.12,-1.28,-3.25,1.67,-1.27,-0.98,-0.86,-0.12,12,54,17,2,83,22,29,15,46
Matheus Babi,Goiás,ATACANTE,BRA1,0.78,2.57,-0.14,-1.18,2.93,-1.6,0.42,-0.54,0.06,68,90,46,27,100,15,56,41,56
I. Pitta,Cuiabá,ATACANTE,BRA1,-0.13,-1.43,0.46,1.87,-0.01,-0.14,1.81,0.12,0.59,49,22,71,90,59,56,85,61,61
João Magno,Goiás,ATACANTE,BRA1,-1.19,1.29,-1.28,-1.18,2.11,-0.19,-0.64,-0.53,-2.09,24,83,15,29,88,51,37,46,7
Gilberto,Cruzeiro,ATACANTE,BRA1,-0.04,0.35,-0.88,-0.66,-0.65,-2.0,-1.86,-1.03,-1.98,51,66,32,37,44,2,12,7,12
M. Benítez,América Mineiro,ATACANTE,BRA1,3.16,1.2,3.13,-0.28,0.59,3.48,-1.21,1.71,-1.7,100,78,100,54,68,93,27,93,20
Alex Teixeira,Vasco da Gama,ATACANTE,BRA1,1.07,0.72,0.5,0.05,2.08,0.73,-2.63,0.1,-2.03,78,73,73,59,85,85,7,59,10
Lelê,Fluminense,ATACANTE,BRA1,0.18,3.68,-0.38,1.24,1.02,0.7,-2.03,-0.4,-0.73,61,98,37,83,71,83,10,51,32
Juan,São Paulo,ATACANTE,BRA1,1.39,3.0,-0.05,1.01,-2.14,-0.41,-2.68,0.35,-3.86,85,95,51,78,5,44,5,71,5
Róger Guedes,Al Rayyan,ATACANTE,BRA1,1.19,-0.6,2.66,3.09,1.37,-0.69,0.47,0.36,-0.32,80,37,98,95,76,37,59,73,41
Luiz Adriano,Internacional,ATACANTE,BRA1,-1.94,-0.52,-1.7,-2.79,-0.07,-0.56,-0.37,-0.91,-1.0,5,41,7,5,56,41,41,12,29
J. Calleri,São Paulo,ATACANTE,BRA1,-0.49,-0.19,0.89,0.8,2.23,0.42,1.93,-0.17,1.6,41,49,78,73,90,73,90,56,83
John Kennedy,Fluminense,ATACANTE,BRA1,0.83,0.87,-0.13,-1.52,-0.71,-0.04,-0.31,2.09,-0.08,71,76,49,12,39,61,44,95,49
Pablo,Athletico Paranaense,ATACANTE,BRA1,0.86,2.6,0.39,-0.56,-0.74,-0.05,0.34,-0.55,0.8,76,93,68,39,37,59,54,37,63
E. Valencia,Internacional,ATACANTE,BRA1,-1.25,-1.7,-1.28,0.79,-1.87,-0.21,1.63,0.57,1.73,22,12,20,71,10,49,83,88,85
T. Borbas,Red Bull Bragantino,ATACANTE,BRA1,0.62,1.23,-0.36,-0.45,-0.68,0.45,1.3,-0.53,1.05,66,80,39,46,41,76,78,44,68
Y. Soteldo,Santos,ATACANTE,BRA1,2.57,-0.04,0.93,3.88,-3.32,6.38,-3.83,3.86,-4.01,98,59,83,100,2,100,2,100,2
Gabriel Barbosa,Flamengo,ATACANTE,BRA1,-0.35,-3.39,0.0,-0.55,-1.41,-0.15,-0.58,-0.71,1.13,44,2,54,41,17,54,39,20,71
Endrick,Palmeiras,ATACANTE,BRA1,0.27,-0.03,-1.11,1.51,-2.06,-0.34,2.23,0.55,1.57,63,61,29,85,7,46,98,85,80
Rony,Palmeiras,ATACANTE,BRA1,-1.35,-0.62,-1.15,1.09,-1.11,-1.44,-0.79,-0.5,-1.86,20,34,27,80,27,20,32,49,17
Vitor Roque,Athletico Paranaense,ATACANTE,BRA1,-0.72,-0.93,-1.33,-1.45,-0.19,0.09,2.04,0.52,1.87,34,32,10,15,54,68,95,83,95
Felipe Azevedo,América Mineiro,ATACANTE,BRA1,1.46,4.2,0.64,0.64,-0.44,-1.15,-1.59,0.45,-1.93,90,100,76,66,51,29,15,76,15
G. Mastriani,América Mineiro,ATACANTE,BRA1,-2.0,-1.73,-1.26,-1.31,0.55,-1.23,1.99,-1.04,3.47,2,10,22,20,66,24,93,5,100
P. Vegetti,Vasco da Gama,ATACANTE,BRA1,-0.59,0.2,0.19,-1.18,2.34,-1.76,0.55,-0.62,1.84,37,63,61,24,93,12,61,24,90
Thiago Galhardo,Fortaleza,ATACANTE,BRA1,-0.26,-0.08,-0.39,-0.29,-0.9,0.61,-1.45,0.33,-0.37,46,56,34,51,34,80,17,68,39
J. Lucero,Fortaleza,ATACANTE,BRA1,-1.66,-1.4,-1.73,-1.34,-1.21,-1.99,0.88,-0.56,1.46,10,24,5,17,24,5,71,34,73
Pedro,Flamengo,ATACANTE,BRA1,-1.46,-0.43,-1.23,-1.69,-1.23,-1.14,1.39,-0.54,1.87,17,44,24,10,22,32,80,39,93
Everaldo,Bahia,ATACANTE,BRA1,-1.18,-2.53,0.36,0.18,1.44,-0.57,0.63,-0.59,0.09,27,7,66,61,78,39,66,29,59
Eduardo Sasha,Red Bull Bragantino,ATACANTE,BRA1,0.13,-1.08,0.15,0.19,-1.41,1.41,1.01,-0.63,1.56,56,27,59,63,20,90,73,22,78
Tiquinho Soares,Botafogo,ATACANTE,BRA1,0.84,-0.55,1.48,-0.02,1.21,0.01,1.81,-0.31,2.21,73,39,88,56,73,63,88,54,98
G. Cano,Fluminense,ATACANTE,BRA1,-1.56,-1.06,-1.29,-1.73,-0.59,-1.97,-0.65,-0.93,-0.15,15,29,12,7,46,7,34,10,44
Marcos Leonardo,Santos,ATACANTE,BRA1,-1.93,-1.64,-1.9,-1.3,-1.73,-0.99,0.68,0.19,1.82,7,15,2,22,12,34,68,66,88
Yuri Alberto,Corinthians,ATACANTE,BRA1,0.04,0.67,-0.25,-0.43,0.37,-1.44,-1.25,-0.56,-1.24,54,71,41,49,63,17,22,32,24
L. Suárez,Grêmio,ATACANTE,BRA1,1.41,-2.57,1.62,0.71,-1.01,4.24,0.23,0.14,-0.67,88,5,90,68,32,98,51,63,34
Bruno Rodrigues,Cruzeiro,ATACANTE,BRA1,1.38,1.4,0.93,3.02,-1.58,1.22,-1.24,0.48,-1.12,83,85,80,93,15,88,24,80,27
